Cell	Subpopulation
SA1106-A96168B-R55-C09	1
SA1106-A96168B-R55-C22	1
SA1106-A96168B-R55-C24	2
SA1106-A96168B-R55-C32	2
SA1106-A96168B-R55-C37	2
SA1106-A96168B-R55-C42	2
SA1106-A96168B-R55-C47	3
SA1106-A96168B-R55-C55	3
SA1106-A96168B-R56-C09	2
SA1106-A96168B-R56-C11	1
SA1106-A96168B-R56-C18	3
SA1106-A96168B-R56-C23	1
SA1106-A96168B-R56-C34	1
SA1106-A96168B-R56-C38	2
SA1106-A96168B-R56-C47	2
SA1106-A96168B-R56-C50	3
SA1106-A96168B-R56-C52	1
SA1106-A96168B-R56-C55	1
SA1106-A96168B-R56-C60	3
SA1106-A96168B-R56-C61	1
SA1106-A96168B-R56-C70	1
SA1106-A96168B-R57-C07	3
SA1106-A96168B-R57-C08	1
SA1106-A96168B-R57-C22	3
SA1106-A96168B-R57-C23	2
SA1106-A96168B-R58-C28	3
SA1106-A96168B-R58-C30	1
SA1106-A96168B-R58-C33	1
SA1106-A96168B-R58-C34	2
SA1106-A96168B-R58-C35	3
SA1106-A96168B-R58-C36	2
SA1106-A96168B-R58-C39	2
SA1106-A96168B-R58-C70	1
SA1106-A96168B-R59-C09	1
SA1106-A96168B-R59-C16	2
SA1106-A96168B-R59-C17	1
SA1106-A96168B-R59-C21	1
SA1106-A96168B-R59-C22	1
SA1106-A96168B-R59-C28	3
SA1106-A96168B-R59-C30	2
SA1106-A96168B-R59-C33	2
SA1106-A96168B-R59-C35	1
SA1106-A96168B-R59-C42	2
SA1106-A96168B-R59-C43	1
SA1106-A96168B-R59-C48	1
SA1106-A96168B-R59-C49	1
SA1106-A96168B-R59-C51	2
SA1106-A96168B-R59-C54	2
SA1106-A96168B-R59-C61	2
SA1106-A96168B-R59-C62	2
SA1106-A96168B-R59-C63	1
SA1106-A96168B-R59-C64	2
SA1106-A96168B-R59-C65	2
SA1106-A96168B-R59-C66	1
SA1106-A96168B-R60-C22	1
SA1106-A96168B-R60-C36	1
SA1106-A96168B-R60-C46	1
SA1106-A96168B-R60-C59	2
SA1106-A96168B-R61-C38	1
SA1106-A96168B-R68-C48	1
SA1106-A96168B-R69-C37	2
SA1106-A96168B-R69-C39	2
SA1106-A96168B-R69-C43	2
SA1106-A96168B-R69-C45	3
SA1106-A96168B-R69-C47	1
SA1106-A96168B-R69-C48	2
SA1106-A96168B-R69-C49	2
SA1106-A96168B-R69-C57	2
SA1106-A96168B-R70-C13	1
SA1106-A96168B-R70-C21	2
SA1106-A96168B-R70-C26	3
SA1106-A96168B-R70-C41	2
SA1106-A96222A-R19-C31	1
SA1106-A96222A-R19-C36	1
SA1106-A96222A-R19-C48	2
SA1106-A96222A-R19-C65	1
SA1106-A96222A-R20-C24	1
SA1106-A96222A-R20-C28	1
SA1106-A96222A-R20-C40	1
SA1106-A96222A-R20-C41	1
SA1106-A96222A-R20-C45	1
SA1106-A96222A-R20-C47	1
SA1106-A96222A-R20-C49	1
SA1106-A96222A-R20-C51	1
SA1106-A96222A-R20-C52	2
SA1106-A96222A-R20-C56	3
SA1106-A96222A-R20-C61	3
SA1106-A96222A-R20-C62	2
SA1106-A96222A-R20-C64	3
SA1106-A96222A-R21-C13	3
SA1106-A96222A-R21-C21	1
SA1106-A96222A-R21-C26	2
SA1106-A96222A-R21-C51	1
SA1106-A96222A-R21-C54	1
SA1106-A96222A-R21-C57	1
SA1106-A96222A-R21-C60	2
SA1106-A96222A-R21-C69	1
SA1106-A96222A-R22-C12	1
SA1106-A96222A-R22-C21	2
SA1106-A96222A-R22-C25	3
SA1106-A96222A-R22-C31	2
SA1106-A96222A-R22-C35	1
SA1106-A96222A-R22-C38	3
SA1106-A96222A-R22-C46	1
SA1106-A96222A-R22-C49	1
SA1106-A96222A-R22-C51	2
SA1106-A96222A-R22-C52	1
SA1106-A96222A-R22-C54	2
SA1106-A96222A-R22-C60	2
SA1106-A96222A-R22-C67	1
