Cell	Subpopulation
SA1090-A96213A-R20-C11	1
SA1090-A96213A-R20-C19	1
SA1090-A96213A-R20-C22	1
SA1090-A96213A-R20-C35	1
SA1090-A96213A-R20-C57	1
SA1090-A96213A-R20-C61	1
SA1090-A96213A-R20-C65	1
SA1090-A96213A-R22-C21	1
SA1090-A96213A-R22-C24	1
SA1090-A96213A-R22-C34	1
SA1090-A96213A-R22-C47	1
SA1090-A96213A-R22-C48	1
SA1090-A96213A-R22-C50	1
SA1090-A96213A-R24-C13	1
SA1090-A96213A-R24-C14	1
SA1090-A96213A-R24-C20	1
SA1090-A96213A-R24-C22	1
SA1090-A96213A-R24-C23	1
SA1090-A96213A-R24-C39	1
SA1090-A96213A-R24-C43	1
SA1090-A96213A-R24-C44	1
SA1090-A96213A-R24-C46	1
SA1090-A96213A-R24-C53	1
SA1090-A96213A-R24-C54	1
SA1090-A96213A-R24-C59	1
SA1090-A96213A-R24-C63	1
SA1090-A96213A-R24-C66	1
SA1090-A96213A-R24-C70	1
SA1090-A96213A-R25-C23	1
SA1090-A96213A-R25-C24	1
SA1090-A96213A-R25-C67	1
SA1090-A96213A-R26-C33	1
SA1090-A96213A-R26-C37	1
SA1090-A96213A-R26-C43	1
SA1090-A96213A-R26-C45	1
SA1090-A96213A-R26-C64	1
SA1090-A96213A-R26-C65	1
SA1090-A96213A-R27-C62	1
SA1090-A96213A-R27-C63	1
SA1090-A96213A-R27-C64	1
SA1090-A96213A-R28-C08	1
SA1090-A96213A-R28-C09	1
SA1090-A96213A-R28-C11	1
SA1090-A96213A-R28-C16	1
SA1090-A96213A-R28-C22	1
SA1090-A96213A-R28-C25	1
SA1090-A96213A-R28-C26	1
SA1090-A96213A-R28-C30	1
SA1090-A96213A-R28-C32	1
SA1090-A96213A-R28-C33	1
SA1090-A96213A-R28-C34	1
SA1090-A96213A-R28-C38	1
SA1090-A96213A-R28-C42	1
SA1090-A96213A-R28-C43	1
SA1090-A96213A-R28-C50	1
SA1090-A96213A-R28-C55	1
SA1090-A96213A-R28-C57	1
SA1090-A96213A-R28-C63	1
SA1090-A96213A-R28-C65	1
SA1090-A96213A-R28-C66	1
SA1090-A96213A-R28-C69	1
SA1090-A96213A-R29-C15	1
SA1090-A96213A-R29-C16	1
SA1090-A96213A-R29-C18	1
SA1090-A96213A-R29-C36	1
SA1090-A96213A-R29-C40	1
SA1090-A96213A-R29-C42	1
SA1090-A96213A-R29-C44	1
SA1090-A96213A-R29-C46	1
SA1090-A96213A-R29-C49	1
SA1090-A96213A-R29-C59	1
SA1090-A96213A-R29-C65	1
SA1090-A96213A-R29-C69	1
SA1090-A96213A-R30-C08	1
SA1090-A96213A-R30-C10	1
SA1090-A96213A-R30-C11	1
SA1090-A96213A-R30-C14	1
SA1090-A96213A-R30-C17	1
SA1090-A96213A-R30-C41	1
SA1090-A96213A-R30-C44	1
SA1090-A96213A-R30-C56	1
SA1090-A96213A-R30-C58	1
SA1090-A96213A-R30-C64	1
SA1090-A96213A-R31-C09	1
SA1090-A96213A-R31-C10	1
SA1090-A96213A-R31-C13	1
SA1090-A96213A-R31-C16	1
SA1090-A96213A-R31-C36	1
SA1090-A96213A-R31-C37	1
SA1090-A96213A-R31-C39	1
SA1090-A96213A-R31-C41	1
SA1090-A96213A-R31-C42	1
SA1090-A96213A-R31-C43	1
SA1090-A96213A-R31-C49	1
SA1090-A96213A-R31-C56	1
SA1090-A96213A-R31-C60	1
SA1090-A96213A-R31-C62	1
SA1090-A96213A-R31-C64	1
SA1090-A96213A-R31-C70	1
SA1090-A96213A-R32-C10	1
SA1090-A96213A-R32-C13	1
SA1090-A96213A-R32-C14	1
SA1090-A96213A-R32-C15	1
SA1090-A96213A-R32-C47	1
SA1090-A96213A-R32-C49	1
SA1090-A96213A-R32-C53	1
SA1090-A96213A-R32-C63	1
SA1090-A96213A-R32-C68	1
SA1090-A96213A-R32-C69	1
SA1090-A96213A-R33-C10	1
SA1090-A96213A-R33-C20	1
SA1090-A96213A-R33-C27	1
SA1090-A96213A-R33-C28	1
SA1090-A96213A-R33-C32	1
SA1090-A96213A-R33-C33	1
SA1090-A96213A-R33-C34	1
SA1090-A96213A-R33-C37	1
SA1090-A96213A-R33-C46	1
SA1090-A96213A-R33-C55	1
SA1090-A96213A-R33-C57	1
SA1090-A96213A-R33-C58	1
SA1090-A96213A-R33-C60	1
SA1090-A96213A-R33-C61	1
SA1090-A96213A-R33-C64	1
SA1090-A96213A-R33-C70	1
SA1090-A96213A-R34-C13	1
SA1090-A96213A-R34-C15	1
SA1090-A96213A-R34-C16	1
SA1090-A96213A-R34-C29	1
SA1090-A96213A-R34-C37	1
SA1090-A96213A-R34-C44	1
SA1090-A96213A-R34-C45	1
SA1090-A96213A-R34-C46	1
SA1090-A96213A-R34-C49	1
SA1090-A96213A-R34-C50	1
SA1090-A96213A-R34-C70	1
SA1090-A96213A-R35-C12	1
SA1090-A96213A-R35-C14	1
SA1090-A96213A-R35-C15	1
SA1090-A96213A-R35-C22	1
SA1090-A96213A-R35-C24	1
SA1090-A96213A-R35-C33	1
SA1090-A96213A-R35-C36	1
SA1090-A96213A-R35-C45	1
SA1090-A96213A-R35-C47	1
SA921-A90554A-R03-C08	3
SA921-A90554A-R03-C09	3
SA921-A90554A-R03-C13	2
SA921-A90554A-R03-C14	2
SA921-A90554A-R03-C16	3
SA921-A90554A-R03-C19	2
SA921-A90554A-R03-C21	2
SA921-A90554A-R03-C24	2
SA921-A90554A-R03-C26	2
SA921-A90554A-R03-C27	2
SA921-A90554A-R03-C28	2
SA921-A90554A-R03-C34	3
SA921-A90554A-R03-C35	3
SA921-A90554A-R03-C36	2
SA921-A90554A-R03-C42	3
SA921-A90554A-R03-C44	3
SA921-A90554A-R03-C51	2
SA921-A90554A-R03-C56	2
SA921-A90554A-R03-C58	3
SA921-A90554A-R03-C64	3
SA921-A90554A-R03-C65	3
SA921-A90554A-R03-C67	2
SA921-A90554A-R04-C07	2
SA921-A90554A-R04-C08	2
SA921-A90554A-R04-C10	3
SA921-A90554A-R04-C13	3
SA921-A90554A-R04-C16	2
SA921-A90554A-R04-C20	2
SA921-A90554A-R04-C21	3
SA921-A90554A-R04-C22	2
SA921-A90554A-R04-C24	3
SA921-A90554A-R04-C29	3
SA921-A90554A-R04-C33	3
SA921-A90554A-R04-C34	2
SA921-A90554A-R04-C40	2
SA921-A90554A-R04-C44	3
SA921-A90554A-R04-C45	3
SA921-A90554A-R04-C49	2
SA921-A90554A-R04-C51	3
SA921-A90554A-R04-C52	3
SA921-A90554A-R04-C53	3
SA921-A90554A-R04-C56	2
SA921-A90554A-R04-C57	3
SA921-A90554A-R04-C64	2
SA921-A90554A-R04-C65	2
SA921-A90554A-R04-C66	3
SA921-A90554A-R04-C67	2
SA921-A90554A-R04-C68	2
SA921-A90554A-R04-C69	2
SA921-A90554A-R05-C07	2
SA921-A90554A-R05-C09	3
SA921-A90554A-R05-C10	3
SA921-A90554A-R05-C11	3
SA921-A90554A-R05-C12	2
SA921-A90554A-R05-C14	2
SA921-A90554A-R05-C16	3
SA921-A90554A-R05-C18	2
SA921-A90554A-R05-C19	3
SA921-A90554A-R05-C20	3
SA921-A90554A-R05-C25	3
SA921-A90554A-R05-C27	2
SA921-A90554A-R05-C34	2
SA921-A90554A-R05-C35	2
SA921-A90554A-R05-C37	3
SA921-A90554A-R05-C38	3
SA921-A90554A-R05-C44	3
SA921-A90554A-R05-C45	2
SA921-A90554A-R05-C51	2
SA921-A90554A-R05-C52	2
SA921-A90554A-R05-C56	3
SA921-A90554A-R05-C57	3
SA921-A90554A-R05-C58	3
SA921-A90554A-R05-C61	3
SA921-A90554A-R05-C64	2
SA921-A90554A-R05-C68	2
SA921-A90554A-R05-C69	3
SA921-A90554A-R05-C70	2
SA921-A90554A-R06-C09	3
SA921-A90554A-R06-C13	2
SA921-A90554A-R06-C18	3
SA921-A90554A-R06-C20	3
SA921-A90554A-R06-C24	2
SA921-A90554A-R06-C25	3
SA921-A90554A-R06-C27	3
SA921-A90554A-R06-C45	3
SA921-A90554A-R06-C46	3
SA921-A90554A-R06-C51	3
SA921-A90554A-R06-C58	2
SA921-A90554A-R06-C59	2
SA921-A90554A-R06-C60	3
SA921-A90554A-R06-C64	3
SA921-A90554A-R06-C66	2
SA921-A90554A-R06-C69	2
SA921-A90554A-R06-C70	3
SA921-A90554A-R07-C08	3
SA921-A90554A-R07-C10	2
SA921-A90554A-R07-C16	3
SA921-A90554A-R07-C18	3
SA921-A90554A-R07-C19	2
SA921-A90554A-R07-C22	2
SA921-A90554A-R07-C25	2
SA921-A90554A-R07-C30	2
SA921-A90554A-R07-C34	3
SA921-A90554A-R07-C40	2
SA921-A90554A-R07-C41	3
SA921-A90554A-R07-C48	2
SA921-A90554A-R07-C49	3
SA921-A90554A-R07-C52	2
SA921-A90554A-R07-C56	2
SA921-A90554A-R07-C61	3
SA921-A90554A-R07-C64	3
SA921-A90554A-R07-C66	2
SA921-A90554A-R07-C67	2
SA921-A90554A-R07-C69	3
SA921-A90554A-R08-C08	2
SA921-A90554A-R08-C10	3
SA921-A90554A-R08-C11	3
SA921-A90554A-R08-C12	2
SA921-A90554A-R08-C21	3
SA921-A90554A-R08-C22	2
SA921-A90554A-R08-C25	2
SA921-A90554A-R08-C26	2
SA921-A90554A-R08-C28	2
SA921-A90554A-R08-C38	2
SA921-A90554A-R08-C41	2
SA921-A90554A-R08-C42	2
SA921-A90554A-R08-C43	2
SA921-A90554A-R08-C48	2
SA921-A90554A-R08-C49	2
SA921-A90554A-R08-C51	2
SA921-A90554A-R08-C52	2
SA921-A90554A-R08-C65	3
SA921-A90554A-R08-C66	3
SA921-A90554A-R08-C67	2
SA921-A90554A-R08-C68	2
SA921-A90554A-R08-C70	2
SA921-A90554A-R09-C07	2
SA921-A90554A-R09-C10	3
SA921-A90554A-R09-C12	3
SA921-A90554A-R09-C13	3
SA921-A90554A-R09-C14	3
SA921-A90554A-R09-C16	2
SA921-A90554A-R09-C22	2
SA921-A90554A-R09-C30	2
SA921-A90554A-R09-C33	2
SA921-A90554A-R09-C37	2
SA921-A90554A-R09-C41	2
SA921-A90554A-R09-C48	3
SA921-A90554A-R09-C51	2
SA921-A90554A-R09-C57	3
SA921-A90554A-R09-C58	2
SA921-A90554A-R09-C59	3
SA921-A90554A-R09-C61	3
SA921-A90554A-R09-C65	3
SA921-A90554A-R09-C66	2
SA921-A90554A-R09-C68	3
SA921-A90554A-R10-C09	3
SA921-A90554A-R10-C11	2
SA921-A90554A-R10-C13	3
SA921-A90554A-R10-C14	2
SA921-A90554A-R10-C16	3
SA921-A90554A-R10-C18	3
SA921-A90554A-R10-C22	2
SA921-A90554A-R10-C24	2
SA921-A90554A-R10-C28	3
SA921-A90554A-R10-C30	3
SA921-A90554A-R10-C36	2
SA921-A90554A-R10-C43	3
SA921-A90554A-R10-C44	2
SA921-A90554A-R10-C48	3
SA921-A90554A-R10-C49	3
SA921-A90554A-R10-C56	3
SA921-A90554A-R10-C57	3
SA921-A90554A-R10-C58	2
SA921-A90554A-R10-C59	2
SA921-A90554A-R10-C62	3
SA921-A90554A-R10-C64	3
SA921-A90554A-R10-C65	2
SA921-A90554A-R10-C68	3
SA921-A90554A-R11-C11	2
SA921-A90554A-R11-C14	2
SA921-A90554A-R11-C20	3
SA921-A90554A-R11-C25	3
SA921-A90554A-R11-C26	2
SA921-A90554A-R11-C34	2
SA921-A90554A-R11-C35	3
SA921-A90554A-R11-C38	2
SA921-A90554A-R11-C40	2
SA921-A90554A-R11-C41	2
SA921-A90554A-R11-C52	2
SA921-A90554A-R11-C57	2
SA921-A90554A-R11-C58	2
SA921-A90554A-R11-C60	3
SA921-A90554A-R11-C64	3
SA921-A90554A-R11-C68	2
SA921-A90554A-R11-C70	2
SA921-A90554A-R12-C10	2
SA921-A90554A-R12-C11	3
SA921-A90554A-R12-C13	3
SA921-A90554A-R12-C14	2
SA921-A90554A-R12-C17	2
SA921-A90554A-R12-C19	3
SA921-A90554A-R12-C20	3
SA921-A90554A-R12-C24	2
