Cell	Subpopulation
SA039-A73047D-R39-C53	1
SA039-A73047D-R40-C27	1
SA039-A73047D-R40-C60	1
SA039-A73047D-R40-C70	1
SA039-A73047D-R41-C24	1
SA039-A73047D-R41-C50	1
SA039-A73047D-R41-C61	1
SA039-A73047D-R42-C27	1
SA039-A73047D-R42-C29	2
SA039-A73047D-R42-C53	1
SA039-A73047D-R42-C56	2
SA039-A73047D-R43-C28	2
SA039-A73047D-R43-C33	2
SA039-A73047D-R43-C35	1
SA039-A73047D-R43-C53	1
SA039-A73047D-R43-C62	1
SA039-A73047D-R43-C63	1
SA039-A73047D-R44-C09	1
SA039-A73047D-R44-C17	2
SA039-A73047D-R44-C33	1
SA039-A73047D-R44-C62	1
SA039-A73047D-R44-C65	2
SA039-A73047D-R45-C23	2
SA039-A73047D-R45-C24	2
SA039-A73047D-R45-C28	1
SA039-A73047D-R45-C34	1
SA039-A73047D-R45-C45	1
SA039-A73047D-R45-C47	1
SA039-A73047D-R45-C65	1
SA039-A73047D-R46-C11	2
SA039-A73047D-R46-C20	2
SA039-A73047D-R46-C45	1
SA039-A73047D-R46-C62	2
SA039-A73047D-R46-C65	1
SA039-A73047D-R47-C62	2
SA039-A73047D-R47-C65	1
SA039-A73047D-R48-C10	1
SA039-A73047D-R48-C19	2
SA039-A73047D-R48-C38	1
SA039-A73047D-R48-C62	1
SA039-A73047D-R49-C11	1
SA039-A73047D-R49-C19	2
SA039-A73047D-R49-C23	1
SA039-A73047D-R49-C27	2
SA039-A73047D-R49-C32	1
SA039-A73047D-R49-C33	2
SA039-A73047D-R49-C55	2
SA039-A73047D-R49-C60	2
SA039-A73047D-R49-C61	2
SA039-A73047D-R50-C14	1
SA039-A73047D-R50-C24	1
SA039-A73047D-R50-C25	1
SA039-A73047D-R50-C32	1
SA039-A73047D-R50-C33	1
SA039-A73047D-R50-C35	1
SA039-A73047D-R50-C50	2
SA039-A73047D-R51-C07	1
SA039-A73047D-R51-C08	2
SA039-A73047D-R51-C10	1
SA039-A73047D-R51-C33	1
SA039-A73047D-R52-C08	1
SA039-A73047D-R52-C09	2
SA039-A73047D-R52-C12	1
SA039-A73047D-R52-C13	2
SA039-A73047D-R52-C15	1
SA039-A73047D-R52-C23	1
SA039-A73047D-R54-C11	2
SA039-A73047D-R54-C13	2
SA039-A73047D-R54-C27	2
SA039-A73047D-R54-C29	2
SA039-A73047D-R54-C34	2
SA039-A73047D-R54-C38	2
SA039-A73047D-R54-C45	1
SA039-A73047D-R54-C48	1
SA039-A73047D-R54-C50	1
SA039-A73047D-R54-C51	2
SA039-A73047D-R54-C52	1
SA039-A73047D-R54-C58	1
SA039-A73047D-R54-C59	2
SA039-A73047D-R54-C63	2
SA039-A73047D-R54-C65	1
SA039-A73047D-R55-C08	2
SA039-A73047D-R55-C13	1
SA039-A73047D-R55-C15	1
SA039-A73047D-R55-C19	1
SA039-A73047D-R55-C25	2
SA039-A73047D-R55-C26	1
SA039-A73047D-R55-C29	2
SA039-A73047D-R55-C31	1
SA039-A73047D-R55-C34	1
SA039-A73047D-R55-C35	1
SA039-A73047D-R55-C38	1
SA039-A73047D-R55-C40	1
SA039-A73047D-R55-C41	2
SA039-A73047D-R55-C42	2
SA039-A73047D-R55-C47	2
SA039-A73047D-R55-C48	2
SA039-A73047D-R55-C50	1
SA039-A73047D-R55-C52	1
