Cell	Subpopulation
SA906-A96175C-R49-C69	1
SA906-A96175C-R50-C17	1
SA906-A96175C-R50-C33	1
SA906-A96175C-R50-C56	1
SA906-A96175C-R51-C16	1
SA906-A96175C-R51-C28	1
SA906-A96175C-R53-C08	1
SA906-A96175C-R54-C09	1
SA906-A96175C-R54-C19	1
SA906-A96175C-R54-C25	1
SA906-A96175C-R54-C34	1
SA906-A96175C-R54-C41	1
SA906-A96175C-R54-C43	1
SA906-A96175C-R55-C23	1
SA906-A96175C-R56-C12	1
SA906-A96175C-R58-C16	1
SA906-A96175C-R59-C62	1
SA906-A96175C-R60-C56	1
SA906-A96175C-R60-C58	1
SA906-A96175C-R60-C67	1
SA906-A96175C-R63-C19	1
SA906-A96175C-R63-C69	1
SA906-A96175C-R65-C51	1
SA906-A96175C-R66-C51	1
SA906-A96175C-R67-C19	1
SA906-A96175C-R67-C21	1
SA906-A96175C-R67-C42	1
SA906-A96175C-R67-C46	1
SA906-A96175C-R68-C49	1
SA906-A96175C-R68-C52	1
SA906-A96175C-R69-C65	1
SA906-A96175C-R69-C69	1
SA906-A96180B-R28-C08	1
SA906-A96180B-R28-C10	1
SA906-A96180B-R28-C12	1
SA906-A96180B-R28-C14	1
SA906-A96180B-R28-C20	1
SA906-A96180B-R28-C21	1
SA906-A96180B-R28-C22	1
SA906-A96180B-R28-C23	1
SA906-A96180B-R28-C24	1
SA906-A96180B-R28-C27	1
SA906-A96180B-R28-C35	1
SA906-A96180B-R28-C36	1
SA906-A96180B-R28-C38	1
SA906-A96180B-R28-C41	1
SA906-A96180B-R28-C42	1
SA906-A96180B-R28-C45	1
SA906-A96180B-R28-C46	1
SA906-A96180B-R28-C47	1
SA906-A96180B-R28-C52	1
SA906-A96180B-R28-C53	1
SA906-A96180B-R28-C55	1
SA906-A96180B-R28-C56	1
SA906-A96180B-R28-C57	1
SA906-A96180B-R28-C58	1
SA906-A96180B-R28-C59	1
SA906-A96180B-R28-C60	1
SA906-A96180B-R28-C62	1
SA906-A96180B-R28-C64	1
SA906-A96180B-R28-C66	1
SA906-A96180B-R28-C68	1
SA906-A96180B-R28-C69	1
SA906-A96180B-R29-C12	1
SA906-A96180B-R29-C34	1
