Cell	Phase	Subpopulation
SA1101-A96193B-R28-C07.bam	G1	1
SA1101-A96193B-R28-C09.bam	S	1
SA1101-A96193B-R28-C10.bam	G1	2
SA1101-A96193B-R28-C15.bam	G1	1
SA1101-A96193B-R28-C16.bam	G1	1
SA1101-A96193B-R28-C17.bam	G1	1
SA1101-A96193B-R28-C18.bam	S	1
SA1101-A96193B-R28-C20.bam	G1	1
SA1101-A96193B-R28-C21.bam	G1	1
SA1101-A96193B-R28-C23.bam	G1	2
SA1101-A96193B-R28-C25.bam	G1	1
SA1101-A96193B-R28-C26.bam	G1	2
SA1101-A96193B-R28-C28.bam	S	1
SA1101-A96193B-R28-C31.bam	G1	1
SA1101-A96193B-R28-C36.bam	G1	1
SA1101-A96193B-R28-C37.bam	G1	1
SA1101-A96193B-R28-C38.bam	G1	1
SA1101-A96193B-R28-C39.bam	G1	2
SA1101-A96193B-R28-C40.bam	G1	2
SA1101-A96193B-R28-C41.bam	G1	1
SA1101-A96193B-R28-C44.bam	S	1
SA1101-A96193B-R28-C46.bam	G1	1
SA1101-A96193B-R28-C47.bam	S	1
SA1101-A96193B-R28-C51.bam	S	1
SA1101-A96193B-R28-C54.bam	G1	2
SA1101-A96193B-R28-C56.bam	S	1
SA1101-A96193B-R28-C58.bam	S	1
SA1101-A96193B-R28-C59.bam	S	1
SA1101-A96193B-R28-C60.bam	G1	1
SA1101-A96193B-R29-C08.bam	G1	1
SA1101-A96193B-R29-C09.bam	S	1
SA1101-A96193B-R29-C12.bam	G1	2
SA1101-A96193B-R29-C13.bam	G1	1
SA1101-A96193B-R29-C15.bam	G1	1
SA1101-A96193B-R29-C16.bam	G1	1
SA1101-A96193B-R29-C17.bam	G1	2
SA1101-A96193B-R29-C18.bam	G1	2
SA1101-A96193B-R29-C19.bam	G1	1
SA1101-A96193B-R29-C20.bam	S	1
SA1101-A96193B-R29-C22.bam	G1	1
SA1101-A96193B-R29-C23.bam	S	1
SA1101-A96193B-R29-C24.bam	G1	1
SA1101-A96193B-R29-C25.bam	G1	1
SA1101-A96193B-R29-C26.bam	G1	1
SA1101-A96193B-R29-C28.bam	G1	1
SA1101-A96193B-R29-C30.bam	S	1
SA1101-A96193B-R29-C31.bam	S	1
SA1101-A96193B-R29-C32.bam	G1	1
SA1101-A96193B-R29-C34.bam	S	1
SA1101-A96193B-R29-C35.bam	S	1
SA1101-A96193B-R29-C37.bam	S	1
SA1101-A96193B-R29-C38.bam	S	1
SA1101-A96193B-R29-C39.bam	G1	1
SA1101-A96193B-R29-C40.bam	S	1
SA1101-A96193B-R29-C41.bam	G1	1
SA1101-A96193B-R29-C42.bam	G1	1
SA1101-A96193B-R29-C43.bam	G1	1
SA1101-A96193B-R29-C44.bam	G1	1
SA1101-A96193B-R29-C46.bam	G1	1
SA1101-A96193B-R29-C48.bam	G1	1
SA1101-A96193B-R29-C51.bam	G1	1
SA1101-A96193B-R29-C52.bam	G1	2
SA1101-A96193B-R29-C54.bam	G1	1
SA1101-A96193B-R29-C55.bam	G1	1
SA1101-A96193B-R29-C56.bam	G1	1
SA1101-A96193B-R29-C57.bam	G1	2
SA1101-A96193B-R29-C59.bam	S	1
SA1101-A96193B-R29-C61.bam	G1	2
SA1101-A96193B-R29-C62.bam	G1	2
SA1101-A96193B-R29-C63.bam	G1	2
SA1101-A96193B-R29-C64.bam	G1	1
SA1101-A96193B-R29-C66.bam	S	1
SA1101-A96193B-R30-C08.bam	G1	1
SA1101-A96193B-R30-C09.bam	G1	1
SA1101-A96193B-R30-C10.bam	S	1
SA1101-A96193B-R30-C12.bam	G1	1
SA1101-A96193B-R30-C13.bam	S	1
SA1101-A96193B-R30-C15.bam	S	1
SA1101-A96193B-R30-C16.bam	G1	2
SA1101-A96193B-R30-C17.bam	G1	1
SA1101-A96193B-R30-C18.bam	G1	2
SA1101-A96193B-R30-C19.bam	G1	1
SA1101-A96193B-R30-C21.bam	G1	1
SA1101-A96193B-R30-C22.bam	G1	1
SA1101-A96193B-R30-C23.bam	G1	1
SA1101-A96193B-R30-C25.bam	G1	2
SA1101-A96193B-R30-C26.bam	S	1
SA1101-A96193B-R30-C27.bam	G1	1
SA1101-A96193B-R30-C28.bam	G1	1
SA1101-A96193B-R30-C29.bam	G1	1
SA1101-A96193B-R30-C30.bam	G1	1
SA1101-A96193B-R30-C31.bam	G1	1
SA1101-A96193B-R30-C32.bam	S	1
SA1101-A96193B-R30-C34.bam	S	1
SA1101-A96193B-R30-C35.bam	G1	1
SA1101-A96193B-R30-C36.bam	G1	1
SA1101-A96193B-R30-C37.bam	G1	1
SA1101-A96193B-R30-C39.bam	S	1
SA1101-A96193B-R30-C40.bam	G1	1
SA1101-A96193B-R30-C41.bam	G1	2
SA1101-A96193B-R30-C43.bam	S	1
SA1101-A96193B-R30-C44.bam	S	1
SA1101-A96193B-R30-C46.bam	G1	1
SA1101-A96193B-R30-C50.bam	G1	1
SA1101-A96193B-R30-C51.bam	G1	1
SA1101-A96193B-R30-C57.bam	G1	1
SA1101-A96193B-R30-C58.bam	S	1
SA1101-A96193B-R30-C60.bam	S	1
SA1101-A96193B-R30-C65.bam	S	1
SA1101-A96193B-R31-C07.bam	G1	1
SA1101-A96193B-R31-C08.bam	G1	1
SA1101-A96193B-R31-C09.bam	G1	2
SA1101-A96193B-R31-C10.bam	G1	2
SA1101-A96193B-R31-C11.bam	G1	1
SA1101-A96193B-R31-C12.bam	G1	1
SA1101-A96193B-R31-C13.bam	G1	1
SA1101-A96193B-R31-C14.bam	S	1
SA1101-A96193B-R31-C15.bam	S	1
SA1101-A96193B-R31-C16.bam	G1	1
SA1101-A96193B-R31-C17.bam	G1	2
SA1101-A96193B-R31-C20.bam	G1	2
SA1101-A96193B-R31-C21.bam	G1	1
SA1101-A96193B-R31-C22.bam	S	1
SA1101-A96193B-R31-C23.bam	G1	1
SA1101-A96193B-R31-C24.bam	S	1
SA1101-A96193B-R31-C25.bam	G1	1
