Cell	Phase
SA906-A73046B-R39-C07.bam	G1
SA906-A73046B-R39-C08.bam	S
SA906-A73046B-R39-C09.bam	G1
SA906-A73046B-R39-C11.bam	S
SA906-A73046B-R39-C12.bam	S
SA906-A73046B-R39-C13.bam	G1
SA906-A73046B-R39-C14.bam	G1
SA906-A73046B-R39-C15.bam	G1
SA906-A73046B-R39-C16.bam	G1
SA906-A73046B-R39-C17.bam	G1
SA906-A73046B-R39-C18.bam	S
SA906-A73046B-R39-C19.bam	S
SA906-A73046B-R39-C21.bam	G1
SA906-A73046B-R39-C22.bam	G1
SA906-A73046B-R39-C23.bam	S
SA906-A73046B-R39-C24.bam	G1
SA906-A73046B-R39-C25.bam	G1
SA906-A73046B-R39-C26.bam	G1
SA906-A73046B-R39-C28.bam	G1
SA906-A73046B-R39-C29.bam	G1
SA906-A73046B-R39-C30.bam	G1
SA906-A73046B-R39-C31.bam	G1
SA906-A73046B-R39-C32.bam	G1
SA906-A73046B-R39-C34.bam	S
SA906-A73046B-R39-C35.bam	G1
SA906-A73046B-R39-C38.bam	S
SA906-A73046B-R39-C39.bam	S
SA906-A73046B-R39-C40.bam	S
SA906-A73046B-R39-C41.bam	G1
SA906-A73046B-R39-C42.bam	S
SA906-A73046B-R39-C43.bam	G1
SA906-A73046B-R39-C44.bam	S
SA906-A73046B-R39-C46.bam	G1
SA906-A73046B-R39-C48.bam	S
SA906-A73046B-R39-C49.bam	S
SA906-A73046B-R39-C50.bam	G1
SA906-A73046B-R39-C51.bam	S
SA906-A73046B-R39-C52.bam	G1
SA906-A73046B-R39-C55.bam	S
SA906-A73046B-R39-C57.bam	S
SA906-A73046B-R39-C59.bam	S
SA906-A73046B-R39-C60.bam	G1
SA906-A73046B-R39-C61.bam	G1
SA906-A73046B-R39-C63.bam	G1
SA906-A73046B-R39-C64.bam	S
SA906-A73046B-R40-C07.bam	G1
SA906-A73046B-R40-C10.bam	S
SA906-A73046B-R40-C11.bam	G1
SA906-A73046B-R40-C12.bam	S
SA906-A73046B-R40-C13.bam	G1
