Cell	Phase
SA532X4XB00273-A95732B-R24-C08.bam	G1
SA532X4XB00273-A95732B-R24-C09.bam	G1
SA532X4XB00273-A95732B-R24-C10.bam	G1
SA532X4XB00273-A95732B-R24-C11.bam	G1
SA532X4XB00273-A95732B-R24-C13.bam	S
SA532X4XB00273-A95732B-R24-C14.bam	G1
SA532X4XB00273-A95732B-R24-C15.bam	G1
SA532X4XB00273-A95732B-R24-C18.bam	G1
SA532X4XB00273-A95732B-R24-C19.bam	G1
SA532X4XB00273-A95732B-R24-C20.bam	G1
SA532X4XB00273-A95732B-R24-C22.bam	G1
SA532X4XB00273-A95732B-R24-C23.bam	G1
SA532X4XB00273-A95732B-R24-C26.bam	G1
SA532X4XB00273-A95732B-R24-C27.bam	G1
SA532X4XB00273-A95732B-R24-C30.bam	G1
SA532X4XB00273-A95732B-R24-C31.bam	S
SA532X4XB00273-A95732B-R24-C32.bam	G1
SA532X4XB00273-A95732B-R24-C33.bam	S
SA532X4XB00273-A95732B-R24-C34.bam	G1
SA532X4XB00273-A95732B-R24-C35.bam	G1
SA532X4XB00273-A95732B-R24-C38.bam	G1
SA532X4XB00273-A95732B-R24-C43.bam	G1
SA532X4XB00273-A95732B-R24-C44.bam	G1
SA532X4XB00273-A95732B-R24-C47.bam	G1
SA532X4XB00273-A95732B-R24-C48.bam	G1
SA532X4XB00273-A95732B-R24-C49.bam	G1
SA532X4XB00273-A95732B-R24-C50.bam	G1
SA532X4XB00273-A95732B-R24-C52.bam	G1
SA532X4XB00273-A95732B-R24-C54.bam	G1
SA532X4XB00273-A95732B-R24-C55.bam	G1
SA532X4XB00273-A95732B-R24-C57.bam	S
SA532X4XB00273-A95732B-R24-C58.bam	G1
SA532X4XB00273-A95732B-R24-C60.bam	G1
SA532X4XB00273-A95732B-R24-C61.bam	G1
SA532X4XB00273-A95732B-R24-C62.bam	G1
SA532X4XB00273-A95732B-R24-C63.bam	G1
SA532X4XB00273-A95732B-R24-C65.bam	G1
SA532X4XB00273-A95732B-R24-C66.bam	G1
SA532X4XB00273-A95732B-R24-C67.bam	G1
SA532X4XB00273-A95732B-R24-C69.bam	G1
SA532X4XB00273-A95732B-R25-C07.bam	G1
SA532X4XB00273-A95732B-R25-C09.bam	G1
SA532X4XB00273-A95732B-R25-C10.bam	G1
SA532X4XB00273-A95732B-R25-C12.bam	G1
SA532X4XB00273-A95732B-R25-C14.bam	G1
SA532X4XB00273-A95732B-R25-C15.bam	G1
SA532X4XB00273-A95732B-R25-C17.bam	G1
SA532X4XB00273-A95732B-R25-C18.bam	G1
SA532X4XB00273-A95732B-R25-C19.bam	S
SA532X4XB00273-A95732B-R25-C20.bam	G1
SA532X4XB00273-A95732B-R25-C22.bam	G1
SA532X4XB00273-A95732B-R25-C23.bam	G1
SA532X4XB00273-A95732B-R25-C26.bam	G1
SA532X4XB00273-A95732B-R25-C27.bam	G1
SA532X4XB00273-A95732B-R25-C28.bam	G1
SA532X4XB00273-A95732B-R25-C30.bam	G1
SA532X4XB00273-A95732B-R25-C31.bam	G1
SA532X4XB00273-A95732B-R25-C32.bam	G1
SA532X4XB00273-A95732B-R25-C33.bam	G1
SA532X4XB00273-A95732B-R25-C35.bam	G1
SA532X4XB00273-A95732B-R25-C38.bam	G1
SA532X4XB00273-A95732B-R25-C39.bam	G1
SA532X4XB00273-A95732B-R25-C40.bam	S
SA532X4XB00273-A95732B-R25-C41.bam	S
SA532X4XB00273-A95732B-R25-C44.bam	G1
SA532X4XB00273-A95732B-R25-C46.bam	G1
SA532X4XB00273-A95732B-R25-C48.bam	G1
SA532X4XB00273-A95732B-R25-C49.bam	G1
SA532X4XB00273-A95732B-R25-C51.bam	G1
SA532X4XB00273-A95732B-R25-C52.bam	G1
SA532X4XB00273-A95732B-R25-C55.bam	S
SA532X4XB00273-A95732B-R25-C56.bam	S
SA532X4XB00273-A95732B-R25-C57.bam	G1
SA532X4XB00273-A95732B-R25-C58.bam	G1
SA532X4XB00273-A95732B-R25-C60.bam	G1
SA532X4XB00273-A95732B-R25-C61.bam	G1
SA532X4XB00273-A95732B-R25-C62.bam	S
SA532X4XB00273-A95732B-R25-C63.bam	G1
SA532X4XB00273-A95732B-R25-C66.bam	G1
SA532X4XB00273-A95732B-R25-C67.bam	G1
SA532X4XB00273-A95732B-R25-C68.bam	G1
SA532X4XB00273-A95732B-R25-C69.bam	S
SA532X4XB00273-A95732B-R25-C70.bam	G1
SA532X4XB00273-A95732B-R26-C08.bam	G1
SA532X4XB00273-A95732B-R26-C11.bam	S
SA532X4XB00273-A95732B-R26-C12.bam	G1
SA532X4XB00273-A95732B-R26-C13.bam	G1
SA532X4XB00273-A95732B-R26-C14.bam	G1
SA532X4XB00273-A95732B-R26-C16.bam	G1
SA532X4XB00273-A95732B-R26-C21.bam	G1
SA532X4XB00273-A95732B-R26-C22.bam	S
SA532X4XB00273-A95732B-R26-C23.bam	G1
SA532X4XB00273-A95732B-R26-C25.bam	G1
SA532X4XB00273-A95732B-R26-C28.bam	G1
SA532X4XB00273-A95732B-R26-C29.bam	G1
SA532X4XB00273-A95732B-R26-C30.bam	G1
SA532X4XB00273-A95732B-R26-C31.bam	G1
SA532X4XB00273-A95732B-R26-C32.bam	G1
SA532X4XB00273-A95732B-R26-C35.bam	G1
SA532X4XB00273-A95732B-R26-C39.bam	S
SA532X4XB00273-A95732B-R26-C40.bam	G1
SA532X4XB00273-A95732B-R26-C41.bam	G1
SA532X4XB00273-A95732B-R26-C42.bam	G1
SA532X4XB00273-A95732B-R26-C43.bam	G1
SA532X4XB00273-A95732B-R26-C46.bam	G1
SA532X4XB00273-A95732B-R26-C47.bam	G1
SA532X4XB00273-A95732B-R26-C48.bam	G1
SA532X4XB00273-A95732B-R26-C50.bam	G1
SA532X4XB00273-A95732B-R26-C52.bam	G1
SA532X4XB00273-A95732B-R26-C54.bam	S
SA532X4XB00273-A95732B-R26-C55.bam	S
SA532X4XB00273-A95732B-R26-C56.bam	G1
SA532X4XB00273-A95732B-R26-C57.bam	G1
SA532X4XB00273-A95732B-R26-C58.bam	G1
SA532X4XB00273-A95732B-R26-C60.bam	G1
SA532X4XB00273-A95732B-R26-C61.bam	G1
SA532X4XB00273-A95732B-R26-C63.bam	G1
SA532X4XB00273-A95732B-R26-C64.bam	G1
SA532X4XB00273-A95732B-R26-C66.bam	G1
SA532X4XB00273-A95732B-R26-C68.bam	S
SA532X4XB00273-A95732B-R27-C07.bam	S
SA532X4XB00273-A95732B-R27-C09.bam	G1
SA532X4XB00273-A95732B-R27-C11.bam	S
SA532X4XB00273-A95732B-R27-C13.bam	G1
SA532X4XB00273-A95732B-R27-C14.bam	G1
SA532X4XB00273-A95732B-R27-C15.bam	G1
SA532X4XB00273-A95732B-R27-C16.bam	G1
SA532X4XB00273-A95732B-R27-C17.bam	G1
SA532X4XB00273-A95732B-R27-C19.bam	G1
SA532X4XB00273-A95732B-R27-C20.bam	G1
SA532X4XB00273-A95732B-R27-C21.bam	G1
SA532X4XB00273-A95732B-R27-C22.bam	S
SA532X4XB00273-A95732B-R27-C23.bam	G1
SA532X4XB00273-A95732B-R27-C24.bam	G1
SA532X4XB00273-A95732B-R27-C29.bam	G1
SA532X4XB00273-A95732B-R27-C30.bam	G1
SA532X4XB00273-A95732B-R27-C31.bam	G1
SA532X4XB00273-A95732B-R27-C35.bam	G1
SA532X4XB00273-A95732B-R27-C40.bam	G1
SA532X4XB00273-A95732B-R27-C41.bam	S
SA532X4XB00273-A95732B-R27-C42.bam	G1
SA532X4XB00273-A95732B-R27-C44.bam	S
SA532X4XB00273-A95732B-R27-C48.bam	G1
SA532X4XB00273-A95732B-R27-C52.bam	G1
SA532X4XB00273-A95732B-R27-C56.bam	G1
SA532X4XB00273-A95732B-R27-C58.bam	G1
SA532X4XB00273-A95732B-R27-C61.bam	G1
SA532X4XB00273-A95732B-R27-C64.bam	G1
SA532X4XB00273-A95732B-R28-C08.bam	G1
SA532X4XB00273-A95732B-R28-C09.bam	G1
SA532X4XB00273-A95732B-R28-C11.bam	G1
SA532X4XB00273-A95732B-R28-C13.bam	G1
SA532X4XB00273-A95732B-R28-C14.bam	G1
SA532X4XB00273-A95732B-R28-C19.bam	G1
SA532X4XB00273-A95732B-R28-C22.bam	G1
SA532X4XB00273-A95732B-R28-C28.bam	G1
SA532X4XB00273-A95732B-R28-C29.bam	G1
SA532X4XB00273-A95732B-R28-C35.bam	G1
SA532X4XB00273-A95732B-R28-C37.bam	G1
SA532X4XB00273-A95732B-R28-C39.bam	G1
SA532X4XB00273-A95732B-R28-C44.bam	G1
SA532X4XB00273-A95732B-R29-C69.bam	G1
