Cell	Phase	Subpopulation
SA611X3XB00821-A96176A-R07-C15.bam	G1	1
SA611X3XB00821-A96176A-R07-C33.bam	G1	1
SA611X3XB00821-A96176A-R07-C47.bam	G1	1
SA611X3XB00821-A96176A-R07-C50.bam	S	1
SA611X3XB00821-A96176A-R07-C55.bam	S	1
SA611X3XB00821-A96176A-R07-C70.bam	G1	1
SA611X3XB00821-A96176A-R08-C10.bam	G1	2
SA611X3XB00821-A96176A-R08-C13.bam	G1	1
SA611X3XB00821-A96176A-R08-C14.bam	G1	2
SA611X3XB00821-A96176A-R08-C15.bam	G1	2
SA611X3XB00821-A96176A-R08-C19.bam	S	2
SA611X3XB00821-A96176A-R08-C21.bam	G1	2
SA611X3XB00821-A96176A-R08-C30.bam	S	2
SA611X3XB00821-A96176A-R08-C36.bam	G1	2
SA611X3XB00821-A96176A-R08-C41.bam	S	1
SA611X3XB00821-A96176A-R08-C43.bam	G1	2
SA611X3XB00821-A96176A-R08-C47.bam	S	1
SA611X3XB00821-A96176A-R08-C50.bam	G1	1
SA611X3XB00821-A96176A-R08-C66.bam	G1	2
SA611X3XB00821-A96176A-R09-C58.bam	G1	2
SA611X3XB00821-A96176A-R10-C13.bam	G1	1
SA611X3XB00821-A96176A-R10-C27.bam	S	2
SA611X3XB00821-A96176A-R10-C28.bam	G1	2
SA611X3XB00821-A96176A-R10-C46.bam	G1	2
SA611X3XB00821-A96176A-R10-C48.bam	G1	2
SA611X3XB00821-A96176A-R11-C06.bam	G1	2
SA611X3XB00821-A96176A-R11-C07.bam	S	2
SA611X3XB00821-A96176A-R11-C17.bam	G1	2
SA611X3XB00821-A96176A-R11-C20.bam	G1	2
SA611X3XB00821-A96176A-R11-C28.bam	S	1
SA611X3XB00821-A96176A-R11-C43.bam	G1	1
SA611X3XB00821-A96176A-R11-C63.bam	G1	1
SA611X3XB00821-A96176A-R12-C11.bam	S	1
SA611X3XB00821-A96176A-R12-C21.bam	S	1
SA611X3XB00821-A96176A-R12-C31.bam	G1	1
SA611X3XB00821-A96176A-R12-C32.bam	G1	2
SA611X3XB00821-A96176A-R12-C50.bam	G1	2
SA611X3XB00821-A96176A-R12-C62.bam	S	1
SA611X3XB00821-A96176A-R13-C13.bam	G1	2
SA611X3XB00821-A96176A-R13-C15.bam	S	2
SA611X3XB00821-A96176A-R13-C30.bam	G1	2
SA611X3XB00821-A96176A-R14-C18.bam	G1	2
SA611X3XB00821-A96176A-R14-C19.bam	G1	2
SA611X3XB00821-A96176A-R14-C25.bam	G1	2
SA611X3XB00821-A96176A-R14-C27.bam	S	2
SA611X3XB00821-A96176A-R14-C34.bam	G1	1
SA611X3XB00821-A96176A-R14-C39.bam	G1	2
SA611X3XB00821-A96176A-R14-C43.bam	S	2
SA611X3XB00821-A96176A-R14-C48.bam	G1	1
SA611X3XB00821-A96176A-R14-C58.bam	S	1
SA611X3XB00821-A96176A-R15-C14.bam	G1	2
SA611X3XB00821-A96176A-R15-C24.bam	S	1
SA611X3XB00821-A96176A-R15-C26.bam	S	2
SA611X3XB00821-A96176A-R15-C27.bam	S	1
SA611X3XB00821-A96176A-R15-C37.bam	G1	2
SA611X3XB00821-A96176A-R16-C06.bam	G1	1
SA611X3XB00821-A96176A-R16-C14.bam	S	1
SA611X3XB00821-A96176A-R17-C17.bam	S	1
SA611X3XB00821-A96176A-R17-C25.bam	S	2
SA611X3XB00821-A96176A-R17-C34.bam	S	1
SA611X3XB00821-A96176A-R17-C40.bam	S	2
SA611X3XB00821-A96176A-R17-C44.bam	S	1
SA611X3XB00821-A96176A-R17-C46.bam	S	2
SA611X3XB00821-A96176A-R18-C15.bam	G1	1
SA611X3XB00821-A96176A-R18-C19.bam	S	2
SA611X3XB00821-A96176A-R18-C35.bam	G1	1
SA611X3XB00821-A96176A-R18-C49.bam	G1	1
SA611X3XB00821-A96176A-R18-C58.bam	G1	2
SA611X3XB00821-A96176A-R20-C13.bam	G1	2
SA611X3XB00821-A96176A-R20-C21.bam	G1	1
