Cell	Phase	Subpopulation
SA1135-A96199A-R03-C13.bam	G1	1
SA1135-A96199A-R03-C19.bam	G1	2
SA1135-A96199A-R03-C25.bam	G1	2
SA1135-A96199A-R03-C29.bam	S	4
SA1135-A96199A-R03-C30.bam	G1	2
SA1135-A96199A-R03-C32.bam	G1	2
SA1135-A96199A-R03-C34.bam	S	2
SA1135-A96199A-R03-C35.bam	G1	3
SA1135-A96199A-R03-C38.bam	S	3
SA1135-A96199A-R03-C43.bam	S	3
SA1135-A96199A-R03-C46.bam	G1	2
SA1135-A96199A-R03-C47.bam	S	3
SA1135-A96199A-R03-C51.bam	S	2
SA1135-A96199A-R03-C57.bam	G1	1
SA1135-A96199A-R03-C67.bam	G1	2
SA1135-A96199A-R03-C69.bam	G1	4
SA1135-A96199A-R03-C70.bam	G1	1
SA1135-A96199A-R04-C07.bam	G1	3
SA1135-A96199A-R04-C11.bam	G1	2
SA1135-A96199A-R04-C15.bam	S	4
SA1135-A96199A-R04-C18.bam	G1	4
SA1135-A96199A-R04-C21.bam	S	2
SA1135-A96199A-R04-C23.bam	G1	1
SA1135-A96199A-R04-C26.bam	G1	1
SA1135-A96199A-R04-C27.bam	G1	3
SA1135-A96199A-R04-C32.bam	S	4
SA1135-A96199A-R04-C35.bam	S	4
SA1135-A96199A-R04-C37.bam	S	1
SA1135-A96199A-R04-C39.bam	G1	2
SA1135-A96199A-R04-C43.bam	S	4
SA1135-A96199A-R04-C59.bam	G1	2
SA1135-A96199A-R05-C08.bam	G1	2
SA1135-A96199A-R05-C10.bam	G1	2
SA1135-A96199A-R05-C12.bam	G1	3
SA1135-A96199A-R05-C16.bam	S	4
SA1135-A96199A-R05-C18.bam	G1	4
SA1135-A96199A-R05-C21.bam	S	3
SA1135-A96199A-R05-C23.bam	S	2
SA1135-A96199A-R05-C25.bam	G1	3
SA1135-A96199A-R05-C32.bam	S	4
SA1135-A96199A-R05-C35.bam	G1	1
SA1135-A96199A-R05-C36.bam	G1	2
SA1135-A96199A-R05-C38.bam	G1	3
