Cell	Phase
SA1137-A96226B-R46-C09.bam	G1
SA1137-A96226B-R46-C10.bam	G1
SA1137-A96226B-R46-C12.bam	G1
SA1137-A96226B-R46-C13.bam	G1
SA1137-A96226B-R46-C16.bam	G1
SA1137-A96226B-R46-C20.bam	G1
SA1137-A96226B-R46-C21.bam	G1
SA1137-A96226B-R46-C24.bam	G1
SA1137-A96226B-R46-C25.bam	G1
SA1137-A96226B-R46-C27.bam	G1
SA1137-A96226B-R46-C28.bam	G1
SA1137-A96226B-R46-C29.bam	G1
SA1137-A96226B-R46-C31.bam	G1
SA1137-A96226B-R46-C35.bam	S
SA1137-A96226B-R46-C37.bam	G1
SA1137-A96226B-R46-C39.bam	G1
SA1137-A96226B-R46-C42.bam	G1
SA1137-A96226B-R46-C46.bam	G1
SA1137-A96226B-R46-C50.bam	G1
SA1137-A96226B-R46-C52.bam	G1
SA1137-A96226B-R46-C54.bam	G1
SA1137-A96226B-R46-C56.bam	G1
SA1137-A96226B-R46-C63.bam	G1
SA1137-A96226B-R46-C64.bam	G1
SA1137-A96226B-R47-C14.bam	G1
SA1137-A96226B-R47-C22.bam	G1
SA1137-A96226B-R47-C23.bam	G1
SA1137-A96226B-R47-C31.bam	G1
SA1137-A96226B-R47-C40.bam	G1
SA1137-A96226B-R47-C41.bam	G1
SA1137-A96226B-R47-C44.bam	G1
SA1137-A96226B-R47-C46.bam	G1
SA1137-A96226B-R47-C51.bam	G1
SA1137-A96226B-R47-C54.bam	G1
SA1137-A96226B-R47-C57.bam	G1
SA1137-A96226B-R48-C37.bam	G1
SA1137-A96226B-R48-C65.bam	G1
