Cell	Phase
SA928-A73044A-R07-C03.bam	G1
SA928-A73044A-R07-C05.bam	G1
SA928-A73044A-R07-C06.bam	G1
SA928-A73044A-R07-C07.bam	G1
SA928-A73044A-R07-C08.bam	G1
SA928-A73044A-R07-C09.bam	G1
SA928-A73044A-R07-C10.bam	G1
SA928-A73044A-R07-C11.bam	G1
SA928-A73044A-R07-C12.bam	G1
SA928-A73044A-R07-C13.bam	G1
SA928-A73044A-R07-C14.bam	G1
SA928-A73044A-R07-C16.bam	G1
SA928-A73044A-R07-C17.bam	G1
SA928-A73044A-R07-C18.bam	G1
SA928-A73044A-R07-C19.bam	G1
SA928-A73044A-R07-C21.bam	G1
SA928-A73044A-R07-C22.bam	S
SA928-A73044A-R07-C24.bam	G1
SA928-A73044A-R07-C25.bam	G1
SA928-A73044A-R07-C26.bam	G1
SA928-A73044A-R07-C27.bam	G1
SA928-A73044A-R07-C28.bam	G1
SA928-A73044A-R07-C29.bam	S
SA928-A73044A-R07-C30.bam	G1
SA928-A73044A-R07-C32.bam	G1
SA928-A73044A-R07-C33.bam	G1
SA928-A73044A-R07-C34.bam	G1
SA928-A73044A-R07-C35.bam	G1
SA928-A73044A-R07-C37.bam	G1
SA928-A73044A-R07-C40.bam	S
SA928-A73044A-R07-C41.bam	S
SA928-A73044A-R07-C42.bam	S
SA928-A73044A-R07-C44.bam	S
SA928-A73044A-R07-C48.bam	S
SA928-A73044A-R07-C49.bam	S
SA928-A73044A-R07-C50.bam	S
SA928-A73044A-R07-C51.bam	S
SA928-A73044A-R07-C52.bam	S
SA928-A73044A-R07-C57.bam	G1
SA928-A73044A-R07-C58.bam	G1
SA928-A73044A-R07-C59.bam	G1
SA928-A73044A-R07-C60.bam	G1
SA928-A73044A-R07-C61.bam	S
SA928-A73044A-R07-C64.bam	G1
SA928-A73044A-R07-C65.bam	G1
SA928-A73044A-R07-C66.bam	S
SA928-A73044A-R07-C68.bam	S
SA928-A73044A-R07-C69.bam	G1
SA928-A73044A-R07-C70.bam	G1
SA928-A73044A-R08-C03.bam	G1
SA928-A73044A-R08-C05.bam	G1
SA928-A73044A-R08-C06.bam	G1
SA928-A73044A-R08-C07.bam	G1
SA928-A73044A-R08-C08.bam	G1
SA928-A73044A-R08-C09.bam	G1
SA928-A73044A-R08-C10.bam	G1
SA928-A73044A-R08-C11.bam	G1
SA928-A73044A-R08-C12.bam	G1
SA928-A73044A-R08-C13.bam	G1
SA928-A73044A-R08-C14.bam	G1
SA928-A73044A-R08-C16.bam	G1
SA928-A73044A-R08-C17.bam	G1
SA928-A73044A-R08-C18.bam	G1
SA928-A73044A-R08-C19.bam	G1
SA928-A73044A-R08-C21.bam	G1
SA928-A73044A-R08-C22.bam	S
SA928-A73044A-R08-C24.bam	S
SA928-A73044A-R08-C25.bam	G1
SA928-A73044A-R08-C27.bam	G1
SA928-A73044A-R08-C28.bam	S
SA928-A73044A-R08-C29.bam	G1
SA928-A73044A-R08-C30.bam	G1
SA928-A73044A-R08-C32.bam	S
SA928-A73044A-R08-C33.bam	S
SA928-A73044A-R08-C34.bam	G1
SA928-A73044A-R08-C35.bam	G1
SA928-A73044A-R08-C37.bam	G1
SA928-A73044A-R08-C40.bam	S
SA928-A73044A-R08-C41.bam	S
SA928-A73044A-R08-C43.bam	S
SA928-A73044A-R08-C44.bam	S
SA928-A73044A-R08-C45.bam	S
SA928-A73044A-R08-C48.bam	S
SA928-A73044A-R08-C49.bam	S
SA928-A73044A-R08-C50.bam	S
SA928-A73044A-R08-C51.bam	S
SA928-A73044A-R08-C52.bam	S
SA928-A73044A-R08-C56.bam	G1
SA928-A73044A-R08-C58.bam	S
SA928-A73044A-R08-C59.bam	G1
SA928-A73044A-R08-C60.bam	G1
SA928-A73044A-R08-C61.bam	G1
SA928-A73044A-R08-C64.bam	G1
SA928-A73044A-R08-C67.bam	G1
SA928-A73044A-R08-C68.bam	S
SA928-A73044A-R08-C69.bam	G1
SA928-A73044A-R08-C70.bam	G1
SA928-A73044A-R09-C03.bam	G1
SA928-A73044A-R09-C05.bam	G1
SA928-A73044A-R09-C06.bam	G1
SA928-A73044A-R09-C07.bam	G1
SA928-A73044A-R09-C08.bam	G1
