Cell	Phase	Subpopulation
SA922-A90554B-R23-C26.bam	G1	1
SA922-A90554B-R23-C27.bam	G1	2
SA922-A90554B-R23-C28.bam	G1	2
SA922-A90554B-R23-C29.bam	S	2
SA922-A90554B-R23-C38.bam	G1	2
SA922-A90554B-R23-C42.bam	S	2
SA922-A90554B-R23-C43.bam	G1	1
SA922-A90554B-R24-C08.bam	G1	2
SA922-A90554B-R24-C09.bam	G1	1
SA922-A90554B-R24-C12.bam	G1	1
SA922-A90554B-R24-C17.bam	G1	2
SA922-A90554B-R24-C18.bam	S	2
SA922-A90554B-R24-C19.bam	G1	1
SA922-A90554B-R24-C20.bam	G1	1
SA922-A90554B-R24-C22.bam	G1	1
SA922-A90554B-R24-C25.bam	G1	2
SA922-A90554B-R24-C26.bam	G1	2
SA922-A90554B-R24-C28.bam	G1	1
SA922-A90554B-R24-C32.bam	G1	1
SA922-A90554B-R24-C34.bam	G1	2
SA922-A90554B-R24-C40.bam	G1	1
SA922-A90554B-R24-C41.bam	G1	1
SA922-A90554B-R24-C67.bam	G1	1
SA922-A90554B-R24-C68.bam	G1	1
SA922-A90554B-R24-C69.bam	G1	2
SA922-A90554B-R25-C08.bam	G1	2
SA922-A90554B-R25-C09.bam	G1	2
SA922-A90554B-R25-C17.bam	G1	2
SA922-A90554B-R25-C20.bam	G1	1
SA922-A90554B-R25-C22.bam	G1	1
SA922-A90554B-R25-C24.bam	G1	1
SA922-A90554B-R25-C25.bam	S	2
SA922-A90554B-R25-C29.bam	G1	2
SA922-A90554B-R25-C41.bam	G1	1
SA922-A90554B-R25-C43.bam	G1	1
SA922-A90554B-R25-C56.bam	G1	1
SA922-A90554B-R25-C61.bam	S	2
SA922-A90554B-R25-C68.bam	G1	1
SA922-A90554B-R25-C70.bam	G1	1
SA922-A90554B-R26-C07.bam	G1	1
SA922-A90554B-R26-C08.bam	G1	1
SA922-A90554B-R26-C09.bam	S	1
SA922-A90554B-R26-C12.bam	G1	1
SA922-A90554B-R26-C13.bam	G1	1
SA922-A90554B-R26-C14.bam	G1	2
SA922-A90554B-R26-C16.bam	S	2
SA922-A90554B-R26-C20.bam	G1	2
SA922-A90554B-R26-C22.bam	G1	1
SA922-A90554B-R26-C25.bam	S	2
SA922-A90554B-R26-C26.bam	S	2
SA922-A90554B-R26-C32.bam	G1	2
SA922-A90554B-R26-C41.bam	G1	1
SA922-A90554B-R26-C51.bam	G1	2
SA922-A90554B-R26-C56.bam	G1	1
SA922-A90554B-R26-C58.bam	G1	1
