Cell	Phase	Subpopulation
SA921-A90554A-R03-C13.bam	G1	1
SA921-A90554A-R03-C14.bam	G1	1
SA921-A90554A-R03-C21.bam	G1	1
SA921-A90554A-R03-C26.bam	G1	1
SA921-A90554A-R04-C05.bam	G1	1
SA921-A90554A-R04-C08.bam	G1	1
SA921-A90554A-R04-C13.bam	G1	2
SA921-A90554A-R04-C14.bam	G1	1
SA921-A90554A-R04-C16.bam	G1	1
SA921-A90554A-R04-C20.bam	G1	1
SA921-A90554A-R04-C24.bam	G1	2
SA921-A90554A-R04-C25.bam	G1	3
SA921-A90554A-R04-C29.bam	G1	2
SA921-A90554A-R04-C30.bam	G1	1
SA921-A90554A-R04-C34.bam	G1	4
SA921-A90554A-R04-C35.bam	G1	4
SA921-A90554A-R04-C37.bam	G1	3
SA921-A90554A-R04-C41.bam	S	3
SA921-A90554A-R04-C42.bam	G1	3
SA921-A90554A-R04-C48.bam	G1	2
SA921-A90554A-R04-C51.bam	G1	2
SA921-A90554A-R05-C07.bam	G1	1
SA921-A90554A-R05-C09.bam	G1	2
SA921-A90554A-R05-C11.bam	G1	2
SA921-A90554A-R05-C12.bam	G1	1
SA921-A90554A-R05-C14.bam	G1	1
SA921-A90554A-R05-C19.bam	G1	2
SA921-A90554A-R05-C20.bam	G1	2
SA921-A90554A-R05-C25.bam	G1	2
SA921-A90554A-R05-C27.bam	G1	1
SA921-A90554A-R05-C32.bam	G1	1
SA921-A90554A-R05-C38.bam	G1	2
SA921-A90554A-R05-C41.bam	G1	1
SA921-A90554A-R05-C42.bam	S	3
SA921-A90554A-R05-C56.bam	G1	2
SA921-A90554A-R05-C57.bam	G1	2
SA921-A90554A-R05-C61.bam	G1	2
SA921-A90554A-R06-C09.bam	G1	2
SA921-A90554A-R06-C13.bam	G1	1
SA921-A90554A-R06-C14.bam	G1	4
SA921-A90554A-R06-C18.bam	G1	2
SA921-A90554A-R06-C24.bam	G1	4
SA921-A90554A-R06-C25.bam	G1	2
SA921-A90554A-R06-C35.bam	G1	3
SA921-A90554A-R08-C07.bam	G1	3
SA921-A90554A-R08-C08.bam	G1	1
SA921-A90554A-R08-C09.bam	G1	4
SA921-A90554A-R08-C11.bam	G1	2
SA921-A90554A-R08-C16.bam	G1	3
SA921-A90554A-R08-C17.bam	G1	3
SA921-A90554A-R08-C20.bam	G1	3
SA921-A90554A-R08-C24.bam	S	3
SA921-A90554A-R08-C25.bam	G1	1
SA921-A90554A-R08-C26.bam	G1	1
SA921-A90554A-R08-C28.bam	G1	1
SA921-A90554A-R08-C51.bam	G1	1
SA921-A90554A-R09-C16.bam	G1	1
SA921-A90554A-R09-C27.bam	G1	3
SA921-A90554A-R09-C28.bam	G1	1
SA921-A90554A-R10-C11.bam	G1	1
SA921-A90554A-R10-C13.bam	G1	2
SA921-A90554A-R10-C14.bam	G1	1
SA921-A90554A-R10-C16.bam	G1	2
SA921-A90554A-R10-C17.bam	G1	4
SA921-A90554A-R10-C18.bam	G1	2
SA921-A90554A-R10-C28.bam	G1	2
SA921-A90554A-R10-C30.bam	G1	2
SA921-A90554A-R10-C35.bam	S	2
SA921-A90554A-R10-C36.bam	G1	1
SA921-A90554A-R10-C43.bam	G1	4
SA921-A90554A-R11-C09.bam	G1	3
SA921-A90554A-R11-C11.bam	G1	1
SA921-A90554A-R11-C14.bam	G1	1
SA921-A90554A-R11-C16.bam	G1	3
SA921-A90554A-R11-C20.bam	G1	2
SA921-A90554A-R11-C25.bam	G1	2
SA921-A90554A-R11-C26.bam	G1	1
SA921-A90554A-R11-C29.bam	G1	1
SA921-A90554A-R11-C34.bam	G1	4
SA921-A90554A-R11-C35.bam	G1	2
SA921-A90554A-R12-C10.bam	S	2
SA921-A90554A-R12-C11.bam	G1	2
SA921-A90554A-R12-C13.bam	G1	2
SA921-A90554A-R12-C14.bam	G1	1
SA921-A90554A-R12-C18.bam	G1	3
SA921-A90554A-R12-C19.bam	G1	2
SA921-A90554A-R12-C20.bam	G1	2
SA921-A90554A-R12-C24.bam	G1	1
SA921-A90554A-R12-C25.bam	G1	2
SA921-A90554A-R12-C26.bam	G1	2
SA921-A90554A-R12-C28.bam	G1	4
SA921-A90554A-R12-C29.bam	G1	2
SA921-A90554A-R12-C32.bam	G1	1
SA921-A90554A-R13-C08.bam	G1	2
SA921-A90554A-R13-C14.bam	G1	1
SA921-A90554A-R13-C16.bam	G1	1
SA921-A90554A-R13-C26.bam	G1	3
SA921-A90554A-R13-C28.bam	G1	1
SA921-A90554A-R13-C30.bam	G1	4
SA921-A90554A-R13-C35.bam	G1	1
SA921-A90554A-R14-C07.bam	G1	1
SA921-A90554A-R14-C09.bam	G1	2
SA921-A90554A-R14-C12.bam	G1	1
SA921-A90554A-R14-C13.bam	G1	1
SA921-A90554A-R14-C14.bam	G1	1
SA921-A90554A-R14-C16.bam	G1	1
SA921-A90554A-R14-C17.bam	G1	2
SA921-A90554A-R14-C24.bam	G1	2
SA921-A90554A-R14-C25.bam	G1	1
SA921-A90554A-R14-C28.bam	G1	2
SA921-A90554A-R14-C30.bam	G1	2
SA921-A90554A-R14-C35.bam	S	3
SA921-A90554A-R14-C36.bam	G1	1
SA921-A90554A-R15-C08.bam	G1	1
SA921-A90554A-R15-C09.bam	S	3
SA921-A90554A-R15-C10.bam	G1	1
SA921-A90554A-R15-C12.bam	G1	2
SA921-A90554A-R15-C13.bam	G1	4
SA921-A90554A-R15-C18.bam	S	4
SA921-A90554A-R15-C20.bam	G1	1
SA921-A90554A-R15-C21.bam	G1	4
SA921-A90554A-R15-C22.bam	G1	2
SA921-A90554A-R15-C24.bam	G1	1
SA921-A90554A-R15-C27.bam	G1	1
SA921-A90554A-R15-C29.bam	S	4
SA921-A90554A-R15-C30.bam	G1	3
SA921-A90554A-R15-C35.bam	G1	2
SA921-A90554A-R15-C36.bam	G1	4
