Cell	Phase
SA1087-A96150A-R03-C08.bam	G1
SA1087-A96150A-R03-C13.bam	G1
SA1087-A96150A-R03-C14.bam	S
SA1087-A96150A-R03-C16.bam	G1
SA1087-A96150A-R03-C17.bam	G1
SA1087-A96150A-R03-C21.bam	G1
SA1087-A96150A-R03-C23.bam	G1
SA1087-A96150A-R03-C24.bam	G1
SA1087-A96150A-R03-C25.bam	G1
SA1087-A96150A-R03-C26.bam	G1
SA1087-A96150A-R03-C27.bam	G1
SA1087-A96150A-R03-C28.bam	G1
SA1087-A96150A-R03-C29.bam	G1
SA1087-A96150A-R03-C30.bam	S
SA1087-A96150A-R03-C42.bam	G1
SA1087-A96150A-R03-C47.bam	G1
SA1087-A96150A-R04-C08.bam	G1
SA1087-A96150A-R04-C09.bam	S
SA1087-A96150A-R04-C11.bam	S
SA1087-A96150A-R04-C12.bam	G1
SA1087-A96150A-R04-C13.bam	G1
SA1087-A96150A-R04-C14.bam	G1
SA1087-A96150A-R04-C15.bam	G1
SA1087-A96150A-R04-C16.bam	G1
SA1087-A96150A-R04-C17.bam	G1
SA1087-A96150A-R04-C18.bam	G1
SA1087-A96150A-R04-C19.bam	G1
SA1087-A96150A-R04-C20.bam	G1
SA1087-A96150A-R04-C21.bam	G1
SA1087-A96150A-R04-C22.bam	G1
SA1087-A96150A-R04-C23.bam	G1
SA1087-A96150A-R04-C24.bam	G1
SA1087-A96150A-R04-C25.bam	G1
SA1087-A96150A-R04-C26.bam	G1
SA1087-A96150A-R04-C27.bam	G1
SA1087-A96150A-R04-C28.bam	S
SA1087-A96150A-R04-C30.bam	G1
SA1087-A96150A-R04-C32.bam	G1
SA1087-A96150A-R04-C35.bam	G1
SA1087-A96150A-R04-C36.bam	G1
SA1087-A96150A-R05-C46.bam	G1
SA1087-A96150A-R05-C47.bam	G1
SA1087-A96150A-R05-C48.bam	G1
SA1087-A96150A-R05-C49.bam	S
SA1087-A96150A-R05-C51.bam	S
SA1087-A96150A-R10-C16.bam	G1
SA1087-A96150A-R10-C17.bam	G1
SA1087-A96150A-R10-C19.bam	G1
SA1087-A96150A-R10-C20.bam	G1
SA1087-A96150A-R10-C22.bam	G1
SA1087-A96150A-R10-C25.bam	G1
SA1087-A96150A-R10-C26.bam	G1
SA1087-A96150A-R10-C27.bam	G1
SA1087-A96150A-R10-C28.bam	G1
SA1087-A96150A-R10-C29.bam	S
SA1087-A96150A-R10-C30.bam	G1
SA1087-A96150A-R10-C31.bam	G1
SA1087-A96150A-R10-C32.bam	G1
SA1087-A96150A-R10-C33.bam	G1
SA1087-A96150A-R10-C34.bam	S
SA1087-A96150A-R10-C35.bam	G1
SA1087-A96150A-R10-C36.bam	G1
SA1087-A96150A-R10-C37.bam	S
SA1087-A96150A-R10-C39.bam	G1
SA1087-A96150A-R10-C40.bam	G1
SA1087-A96150A-R10-C41.bam	G1
SA1087-A96150A-R10-C42.bam	S
SA1087-A96150A-R10-C43.bam	G1
SA1087-A96150A-R10-C44.bam	G1
SA1087-A96150A-R10-C46.bam	G1
SA1087-A96150A-R10-C47.bam	G1
SA1087-A96150A-R10-C48.bam	G1
SA1087-A96150A-R10-C51.bam	G1
SA1087-A96150A-R10-C54.bam	G1
SA1087-A96150A-R10-C55.bam	G1
SA1087-A96150A-R10-C56.bam	S
SA1087-A96150A-R10-C57.bam	S
SA1087-A96150A-R10-C58.bam	G1
SA1087-A96150A-R10-C59.bam	G1
SA1087-A96150A-R10-C60.bam	G1
SA1087-A96150A-R10-C61.bam	G1
SA1087-A96150A-R10-C63.bam	G1
SA1087-A96150A-R10-C64.bam	G1
SA1087-A96150A-R10-C66.bam	G1
SA1087-A96150A-R10-C68.bam	G1
SA1087-A96150A-R10-C70.bam	G1
SA1087-A96150A-R11-C07.bam	G1
SA1087-A96150A-R11-C09.bam	G1
SA1087-A96150A-R11-C13.bam	G1
SA1087-A96150A-R11-C14.bam	S
SA1087-A96150A-R11-C16.bam	G1
SA1087-A96150A-R11-C17.bam	G1
SA1087-A96150A-R11-C18.bam	G1
SA1087-A96150A-R11-C19.bam	G1
SA1087-A96150A-R11-C20.bam	S
SA1087-A96150A-R11-C21.bam	G1
