Cell	Phase	Subpopulation
SA1088-A96156A-R04-C13.bam	G1	1
SA1088-A96156A-R04-C18.bam	G1	2
SA1088-A96156A-R04-C19.bam	G1	2
SA1088-A96156A-R04-C22.bam	G1	2
SA1088-A96156A-R04-C24.bam	G1	2
SA1088-A96156A-R04-C26.bam	G1	2
SA1088-A96156A-R04-C28.bam	G1	1
SA1088-A96156A-R04-C29.bam	G1	2
SA1088-A96156A-R04-C30.bam	G1	2
SA1088-A96156A-R04-C31.bam	S	2
SA1088-A96156A-R04-C32.bam	G1	2
SA1088-A96156A-R04-C35.bam	G1	2
SA1088-A96156A-R04-C42.bam	G1	2
SA1088-A96156A-R04-C43.bam	G1	1
SA1088-A96156A-R04-C51.bam	G1	2
SA1088-A96156A-R04-C58.bam	G1	1
SA1088-A96156A-R04-C59.bam	G1	2
SA1088-A96156A-R04-C60.bam	G1	2
SA1088-A96156A-R04-C61.bam	G1	2
SA1088-A96156A-R04-C63.bam	G1	1
SA1088-A96156A-R04-C64.bam	G1	1
SA1088-A96156A-R04-C66.bam	G1	2
SA1088-A96156A-R05-C07.bam	G1	1
SA1088-A96156A-R05-C08.bam	G1	1
SA1088-A96156A-R05-C09.bam	G1	2
SA1088-A96156A-R05-C12.bam	G1	2
SA1088-A96156A-R05-C13.bam	G1	2
SA1088-A96156A-R05-C14.bam	G1	1
SA1088-A96156A-R05-C15.bam	G1	2
SA1088-A96156A-R05-C16.bam	G1	2
SA1088-A96156A-R05-C17.bam	G1	2
SA1088-A96156A-R05-C18.bam	G1	2
SA1088-A96156A-R05-C20.bam	G1	2
SA1088-A96156A-R05-C21.bam	G1	1
SA1088-A96156A-R05-C24.bam	G1	2
SA1088-A96156A-R05-C25.bam	G1	2
SA1088-A96156A-R05-C26.bam	G1	2
SA1088-A96156A-R05-C29.bam	G1	2
SA1088-A96156A-R05-C30.bam	G1	1
SA1088-A96156A-R05-C32.bam	G1	2
SA1088-A96156A-R05-C34.bam	G1	1
SA1088-A96156A-R05-C35.bam	G1	1
SA1088-A96156A-R05-C37.bam	G1	2
SA1088-A96156A-R05-C40.bam	G1	2
SA1088-A96156A-R05-C41.bam	G1	1
SA1088-A96156A-R05-C42.bam	G1	1
SA1088-A96156A-R05-C43.bam	G1	2
SA1088-A96156A-R05-C44.bam	G1	2
SA1088-A96156A-R05-C47.bam	G1	2
SA1088-A96156A-R05-C48.bam	G1	2
SA1088-A96156A-R05-C51.bam	G1	2
SA1088-A96156A-R05-C56.bam	G1	2
SA1088-A96156A-R05-C57.bam	G1	2
SA1088-A96156A-R05-C60.bam	G1	1
SA1088-A96156A-R05-C61.bam	G1	2
SA1088-A96156A-R05-C63.bam	G1	2
SA1088-A96156A-R05-C64.bam	G1	1
SA1088-A96156A-R05-C66.bam	G1	2
SA1088-A96156A-R05-C68.bam	G1	1
SA1088-A96156A-R05-C69.bam	G1	2
SA1088-A96156A-R05-C70.bam	G1	1
SA1088-A96156A-R06-C08.bam	G1	2
SA1088-A96156A-R06-C09.bam	G1	2
SA1088-A96156A-R06-C13.bam	G1	1
SA1088-A96156A-R06-C14.bam	G1	2
SA1088-A96156A-R06-C15.bam	G1	2
SA1088-A96156A-R06-C16.bam	G1	2
SA1088-A96156A-R06-C18.bam	G1	1
SA1088-A96156A-R06-C21.bam	G1	1
SA1088-A96156A-R06-C22.bam	G1	2
SA1088-A96156A-R06-C24.bam	G1	2
SA1088-A96156A-R06-C25.bam	G1	1
SA1088-A96156A-R06-C28.bam	G1	2
SA1088-A96156A-R06-C29.bam	G1	2
SA1088-A96156A-R06-C30.bam	G1	2
SA1088-A96156A-R06-C34.bam	G1	2
SA1088-A96156A-R06-C35.bam	G1	2
SA1088-A96156A-R06-C37.bam	G1	2
SA1088-A96156A-R06-C42.bam	G1	2
SA1088-A96156A-R06-C43.bam	G1	2
SA1088-A96156A-R06-C44.bam	G1	2
SA1088-A96156A-R06-C47.bam	G1	1
SA1088-A96156A-R06-C48.bam	G1	1
SA1088-A96156A-R06-C50.bam	G1	1
SA1088-A96156A-R06-C54.bam	G1	1
SA1088-A96156A-R06-C56.bam	G1	2
SA1088-A96156A-R06-C57.bam	G1	1
SA1088-A96156A-R06-C60.bam	G1	2
SA1088-A96156A-R06-C63.bam	G1	2
SA1088-A96156A-R06-C64.bam	G1	2
SA1088-A96156A-R06-C66.bam	G1	2
SA1088-A96156A-R06-C69.bam	G1	1
SA1088-A96156A-R07-C09.bam	G1	1
SA1088-A96156A-R07-C14.bam	G1	2
SA1088-A96156A-R07-C15.bam	G1	2
SA1088-A96156A-R07-C21.bam	G1	2
SA1088-A96156A-R07-C24.bam	G1	2
SA1088-A96156A-R07-C25.bam	G1	2
SA1088-A96156A-R07-C31.bam	G1	2
SA1088-A96156A-R07-C32.bam	G1	2
SA1088-A96156A-R07-C35.bam	G1	2
SA1088-A96156A-R07-C44.bam	G1	1
SA1088-A96156A-R07-C47.bam	G1	2
SA1088-A96156A-R07-C59.bam	G1	1
SA1088-A96156A-R07-C61.bam	G1	2
SA1088-A96156A-R08-C12.bam	G1	2
SA1088-A96156A-R08-C13.bam	G1	2
SA1088-A96156A-R08-C14.bam	G1	2
SA1088-A96156A-R08-C15.bam	G1	2
SA1088-A96156A-R08-C16.bam	G1	2
SA1088-A96156A-R08-C17.bam	G1	2
SA1088-A96156A-R08-C20.bam	G1	1
SA1088-A96156A-R08-C21.bam	G1	1
SA1088-A96156A-R08-C22.bam	G1	2
SA1088-A96156A-R08-C23.bam	G1	2
SA1088-A96156A-R08-C24.bam	G1	2
SA1088-A96156A-R08-C25.bam	G1	2
SA1088-A96156A-R08-C26.bam	G1	1
SA1088-A96156A-R08-C27.bam	G1	2
SA1088-A96156A-R08-C28.bam	G1	2
SA1088-A96156A-R08-C29.bam	G1	2
SA1088-A96156A-R08-C31.bam	G1	2
