Cell	Phase
SA1089-A96156B-R21-C07.bam	G1
SA1089-A96156B-R21-C10.bam	G1
SA1089-A96156B-R21-C13.bam	G1
SA1089-A96156B-R21-C14.bam	G1
SA1089-A96156B-R21-C15.bam	G1
SA1089-A96156B-R21-C16.bam	G1
SA1089-A96156B-R21-C17.bam	G1
SA1089-A96156B-R21-C18.bam	G1
SA1089-A96156B-R21-C19.bam	G1
SA1089-A96156B-R21-C20.bam	G1
SA1089-A96156B-R21-C21.bam	G1
SA1089-A96156B-R21-C22.bam	G1
SA1089-A96156B-R21-C23.bam	G1
SA1089-A96156B-R21-C24.bam	G1
SA1089-A96156B-R21-C26.bam	G1
SA1089-A96156B-R21-C27.bam	G1
SA1089-A96156B-R21-C28.bam	G1
SA1089-A96156B-R21-C29.bam	G1
SA1089-A96156B-R21-C30.bam	G1
SA1089-A96156B-R21-C31.bam	G1
SA1089-A96156B-R21-C32.bam	G1
SA1089-A96156B-R21-C33.bam	G1
SA1089-A96156B-R21-C34.bam	G1
SA1089-A96156B-R21-C35.bam	G1
SA1089-A96156B-R21-C36.bam	G1
SA1089-A96156B-R21-C38.bam	G1
SA1089-A96156B-R21-C39.bam	G1
SA1089-A96156B-R21-C40.bam	G1
SA1089-A96156B-R21-C41.bam	G1
SA1089-A96156B-R21-C42.bam	G1
SA1089-A96156B-R21-C43.bam	G1
SA1089-A96156B-R21-C44.bam	G1
SA1089-A96156B-R21-C46.bam	G1
SA1089-A96156B-R21-C48.bam	G1
SA1089-A96156B-R21-C49.bam	G1
SA1089-A96156B-R21-C50.bam	G1
SA1089-A96156B-R21-C51.bam	G1
SA1089-A96156B-R21-C52.bam	G1
SA1089-A96156B-R21-C54.bam	G1
SA1089-A96156B-R21-C55.bam	G1
SA1089-A96156B-R21-C56.bam	G1
SA1089-A96156B-R21-C58.bam	G1
SA1089-A96156B-R21-C59.bam	G1
SA1089-A96156B-R21-C60.bam	G1
SA1089-A96156B-R21-C62.bam	G1
SA1089-A96156B-R21-C63.bam	G1
