Cell	Phase	Subpopulation
SA1044-A96139A-R03-C07.bam	G1	1
SA1044-A96139A-R03-C09.bam	G1	2
SA1044-A96139A-R03-C13.bam	G1	1
SA1044-A96139A-R03-C15.bam	G1	1
SA1044-A96139A-R03-C17.bam	G1	1
SA1044-A96139A-R03-C18.bam	G1	1
SA1044-A96139A-R03-C24.bam	S	1
SA1044-A96139A-R03-C26.bam	G1	2
SA1044-A96139A-R03-C28.bam	S	1
SA1044-A96139A-R03-C29.bam	G1	1
SA1044-A96139A-R03-C31.bam	S	1
SA1044-A96139A-R03-C34.bam	S	1
SA1044-A96139A-R03-C36.bam	S	1
SA1044-A96139A-R03-C56.bam	S	1
SA1044-A96139A-R03-C57.bam	G1	1
SA1044-A96139A-R03-C58.bam	G1	2
SA1044-A96139A-R03-C59.bam	G1	1
SA1044-A96139A-R03-C60.bam	G1	1
SA1044-A96139A-R03-C63.bam	G1	1
SA1044-A96139A-R03-C64.bam	G1	1
SA1044-A96139A-R03-C65.bam	G1	1
SA1044-A96139A-R03-C66.bam	G1	2
SA1044-A96139A-R03-C67.bam	G1	1
SA1044-A96139A-R04-C07.bam	G1	1
SA1044-A96139A-R04-C08.bam	G1	2
SA1044-A96139A-R04-C11.bam	G1	1
SA1044-A96139A-R04-C13.bam	G1	1
SA1044-A96139A-R04-C16.bam	G1	1
SA1044-A96139A-R04-C17.bam	G1	1
SA1044-A96139A-R04-C18.bam	S	1
SA1044-A96139A-R04-C19.bam	G1	1
SA1044-A96139A-R04-C23.bam	S	1
SA1044-A96139A-R04-C24.bam	S	1
SA1044-A96139A-R04-C25.bam	S	1
SA1044-A96139A-R04-C26.bam	S	1
SA1044-A96139A-R04-C27.bam	G1	1
SA1044-A96139A-R04-C29.bam	S	1
SA1044-A96139A-R04-C33.bam	S	1
SA1044-A96139A-R04-C34.bam	G1	2
SA1044-A96139A-R04-C36.bam	G1	1
SA1044-A96139A-R04-C37.bam	S	1
SA1044-A96139A-R04-C47.bam	G1	1
SA1044-A96139A-R04-C55.bam	G1	2
SA1044-A96139A-R04-C56.bam	G1	1
SA1044-A96139A-R04-C57.bam	G1	1
SA1044-A96139A-R04-C58.bam	G1	1
SA1044-A96139A-R04-C59.bam	G1	1
SA1044-A96139A-R04-C60.bam	G1	1
SA1044-A96139A-R04-C61.bam	S	1
SA1044-A96139A-R04-C64.bam	G1	1
SA1044-A96139A-R04-C65.bam	G1	2
SA1044-A96139A-R04-C66.bam	G1	1
SA1044-A96139A-R04-C67.bam	S	1
SA1044-A96139A-R04-C68.bam	G1	1
SA1044-A96139A-R04-C69.bam	G1	1
SA1044-A96139A-R05-C07.bam	G1	1
SA1044-A96139A-R05-C08.bam	G1	1
SA1044-A96139A-R05-C09.bam	G1	2
SA1044-A96139A-R05-C13.bam	G1	1
SA1044-A96139A-R05-C17.bam	G1	1
SA1044-A96139A-R05-C18.bam	G1	1
SA1044-A96139A-R05-C20.bam	G1	1
SA1044-A96139A-R05-C23.bam	S	1
SA1044-A96139A-R05-C27.bam	S	1
SA1044-A96139A-R05-C28.bam	S	1
SA1044-A96139A-R05-C29.bam	S	1
SA1044-A96139A-R05-C31.bam	S	1
SA1044-A96139A-R05-C32.bam	S	1
SA1044-A96139A-R05-C33.bam	S	1
SA1044-A96139A-R05-C35.bam	S	1
SA1044-A96139A-R05-C36.bam	S	1
SA1044-A96139A-R05-C42.bam	G1	1
SA1044-A96139A-R05-C45.bam	G1	1
SA1044-A96139A-R05-C46.bam	G1	2
SA1044-A96139A-R05-C52.bam	G1	1
SA1044-A96139A-R05-C55.bam	S	1
SA1044-A96139A-R05-C56.bam	G1	1
SA1044-A96139A-R05-C57.bam	G1	1
SA1044-A96139A-R05-C58.bam	G1	1
SA1044-A96139A-R05-C59.bam	G1	1
SA1044-A96139A-R05-C60.bam	G1	1
SA1044-A96139A-R05-C61.bam	S	1
SA1044-A96139A-R05-C62.bam	S	1
SA1044-A96139A-R05-C63.bam	G1	2
SA1044-A96139A-R05-C64.bam	G1	1
SA1044-A96139A-R05-C65.bam	G1	1
SA1044-A96139A-R05-C67.bam	G1	1
SA1044-A96139A-R05-C68.bam	G1	1
SA1044-A96139A-R05-C69.bam	S	1
SA1044-A96139A-R05-C70.bam	G1	1
SA1044-A96139A-R06-C09.bam	G1	1
SA1044-A96139A-R06-C12.bam	G1	1
SA1044-A96139A-R06-C13.bam	G1	1
SA1044-A96139A-R06-C14.bam	G1	1
SA1044-A96139A-R06-C16.bam	G1	2
SA1044-A96139A-R06-C17.bam	G1	1
SA1044-A96139A-R06-C21.bam	G1	1
SA1044-A96139A-R06-C23.bam	G1	1
SA1044-A96139A-R06-C24.bam	G1	1
SA1044-A96139A-R06-C29.bam	S	1
SA1044-A96139A-R06-C31.bam	G1	1
SA1044-A96139A-R06-C32.bam	S	1
SA1044-A96139A-R06-C33.bam	S	1
SA1044-A96139A-R06-C35.bam	S	1
SA1044-A96139A-R06-C36.bam	S	1
SA1044-A96139A-R06-C39.bam	G1	1
SA1044-A96139A-R06-C40.bam	S	1
SA1044-A96139A-R06-C46.bam	G1	2
SA1044-A96139A-R06-C47.bam	G1	1
SA1044-A96139A-R06-C48.bam	G1	1
SA1044-A96139A-R06-C50.bam	G1	1
SA1044-A96139A-R06-C51.bam	G1	1
SA1044-A96139A-R06-C55.bam	G1	1
SA1044-A96139A-R06-C56.bam	S	1
SA1044-A96139A-R06-C58.bam	S	1
SA1044-A96139A-R06-C59.bam	G1	1
SA1044-A96139A-R06-C60.bam	G1	1
SA1044-A96139A-R06-C61.bam	G1	1
SA1044-A96139A-R06-C62.bam	G1	1
SA1044-A96139A-R06-C63.bam	G1	1
SA1044-A96139A-R06-C64.bam	G1	1
SA1044-A96139A-R06-C65.bam	G1	1
SA1044-A96139A-R06-C66.bam	G1	1
SA1044-A96139A-R06-C67.bam	G1	2
SA1044-A96139A-R06-C68.bam	S	1
SA1044-A96139A-R06-C69.bam	G1	1
SA1044-A96139A-R06-C70.bam	G1	1
SA1044-A96139A-R07-C08.bam	G1	1
SA1044-A96139A-R07-C09.bam	G1	1
SA1044-A96139A-R07-C13.bam	G1	1
SA1044-A96139A-R07-C14.bam	G1	1
SA1044-A96139A-R07-C17.bam	G1	1
SA1044-A96139A-R07-C21.bam	G1	1
SA1044-A96139A-R07-C23.bam	G1	2
SA1044-A96139A-R07-C24.bam	S	1
SA1044-A96139A-R07-C25.bam	S	1
SA1044-A96139A-R07-C26.bam	S	1
SA1044-A96139A-R07-C27.bam	G1	1
SA1044-A96139A-R07-C30.bam	G1	2
SA1044-A96139A-R07-C32.bam	S	1
SA1044-A96139A-R07-C39.bam	G1	2
SA1044-A96139A-R07-C42.bam	G1	2
SA1044-A96139A-R07-C45.bam	G1	2
SA1044-A96139A-R07-C46.bam	G1	1
SA1044-A96139A-R07-C47.bam	G1	1
SA1044-A96139A-R07-C48.bam	G1	2
SA1044-A96139A-R07-C49.bam	S	1
SA1044-A96139A-R07-C55.bam	G1	1
SA1044-A96139A-R07-C56.bam	G1	1
SA1044-A96139A-R07-C57.bam	G1	1
SA1044-A96139A-R07-C58.bam	G1	1
SA1044-A96139A-R07-C59.bam	G1	1
SA1044-A96139A-R07-C61.bam	S	1
SA1044-A96139A-R07-C64.bam	G1	2
SA1044-A96139A-R07-C65.bam	G1	1
SA1044-A96139A-R07-C66.bam	S	1
SA1044-A96139A-R07-C67.bam	G1	2
SA1044-A96139A-R07-C68.bam	S	1
SA1044-A96139A-R07-C69.bam	G1	1
SA1044-A96139A-R07-C70.bam	G1	1
SA1044-A96139A-R08-C09.bam	G1	1
SA1044-A96139A-R08-C10.bam	G1	1
SA1044-A96139A-R08-C13.bam	G1	1
SA1044-A96139A-R08-C14.bam	G1	1
SA1044-A96139A-R08-C16.bam	G1	1
SA1044-A96139A-R08-C17.bam	G1	1
SA1044-A96139A-R08-C18.bam	G1	1
SA1044-A96139A-R08-C19.bam	G1	1
SA1044-A96139A-R08-C20.bam	G1	2
SA1044-A96139A-R08-C30.bam	S	1
SA1044-A96139A-R08-C35.bam	G1	1
SA1044-A96139A-R08-C36.bam	S	1
SA1044-A96139A-R08-C42.bam	G1	1
SA1044-A96139A-R08-C52.bam	S	1
SA1044-A96139A-R08-C55.bam	G1	1
SA1044-A96139A-R08-C56.bam	G1	1
SA1044-A96139A-R08-C57.bam	G1	2
SA1044-A96139A-R08-C60.bam	G1	1
SA1044-A96139A-R08-C61.bam	G1	1
SA1044-A96139A-R08-C62.bam	G1	2
SA1044-A96139A-R08-C63.bam	G1	2
SA1044-A96139A-R08-C64.bam	S	2
SA1044-A96139A-R08-C65.bam	G1	1
SA1044-A96139A-R08-C66.bam	G1	1
SA1044-A96139A-R08-C67.bam	G1	2
SA1044-A96139A-R08-C68.bam	G1	1
SA1044-A96139A-R08-C70.bam	G1	2
SA1044-A96139A-R09-C07.bam	G1	1
SA1044-A96139A-R09-C08.bam	G1	1
SA1044-A96139A-R09-C09.bam	G1	1
SA1044-A96139A-R09-C11.bam	G1	1
SA1044-A96139A-R09-C12.bam	G1	1
SA1044-A96139A-R09-C13.bam	G1	1
SA1044-A96139A-R09-C14.bam	G1	1
SA1044-A96139A-R09-C16.bam	G1	1
SA1044-A96139A-R09-C17.bam	G1	2
SA1044-A96139A-R09-C18.bam	G1	1
SA1044-A96139A-R09-C19.bam	G1	1
SA1044-A96139A-R09-C21.bam	G1	1
SA1044-A96139A-R09-C23.bam	S	1
SA1044-A96139A-R09-C24.bam	G1	1
SA1044-A96139A-R09-C28.bam	S	1
SA1044-A96139A-R09-C29.bam	S	1
SA1044-A96139A-R09-C30.bam	G1	2
SA1044-A96139A-R09-C33.bam	G1	2
SA1044-A96139A-R09-C34.bam	S	1
SA1044-A96139A-R09-C36.bam	S	1
SA1044-A96139A-R09-C42.bam	G1	2
SA1044-A96139A-R09-C43.bam	G1	1
SA1044-A96139A-R09-C47.bam	G1	1
SA1044-A96139A-R09-C51.bam	G1	1
SA1044-A96139A-R09-C52.bam	S	1
SA1044-A96139A-R09-C55.bam	G1	1
SA1044-A96139A-R09-C56.bam	G1	1
SA1044-A96139A-R09-C57.bam	G1	1
SA1044-A96139A-R09-C58.bam	G1	1
SA1044-A96139A-R09-C60.bam	S	1
SA1044-A96139A-R09-C61.bam	G1	1
SA1044-A96139A-R09-C63.bam	S	1
SA1044-A96139A-R09-C64.bam	S	1
SA1044-A96139A-R09-C65.bam	G1	1
SA1044-A96139A-R09-C67.bam	G1	1
SA1044-A96139A-R09-C68.bam	G1	1
SA1044-A96139A-R09-C69.bam	G1	1
SA1044-A96139A-R09-C70.bam	G1	1
SA1044-A96139A-R10-C17.bam	S	1
SA1044-A96139A-R10-C24.bam	S	1
SA1044-A96139A-R10-C28.bam	G1	1
SA1044-A96139A-R10-C33.bam	G1	1
SA1044-A96139A-R10-C40.bam	G1	1
SA1044-A96139A-R10-C44.bam	G1	1
SA1044-A96139A-R10-C45.bam	S	1
SA1044-A96139A-R10-C46.bam	S	1
SA1044-A96139A-R10-C49.bam	G1	1
SA1044-A96139A-R10-C55.bam	G1	1
SA1044-A96139A-R10-C56.bam	S	1
SA1044-A96139A-R10-C57.bam	G1	1
SA1044-A96139A-R10-C62.bam	G1	1
SA1044-A96139A-R10-C64.bam	G1	1
SA1044-A96139A-R10-C65.bam	G1	1
SA1044-A96139A-R10-C68.bam	S	1
SA1044-A96139A-R10-C69.bam	G1	1
SA1044-A96139A-R10-C70.bam	G1	1
SA1044-A96139A-R11-C08.bam	G1	2
SA1044-A96139A-R11-C09.bam	G1	1
SA1044-A96139A-R11-C12.bam	G1	1
SA1044-A96139A-R11-C13.bam	G1	1
SA1044-A96139A-R11-C17.bam	G1	1
SA1044-A96139A-R11-C18.bam	G1	1
SA1044-A96139A-R11-C19.bam	G1	1
SA1044-A96139A-R11-C20.bam	G1	2
SA1044-A96139A-R11-C21.bam	G1	1
SA1044-A96139A-R11-C23.bam	G1	1
SA1044-A96139A-R11-C25.bam	S	1
SA1044-A96139A-R11-C26.bam	G1	1
SA1044-A96139A-R11-C30.bam	S	1
SA1044-A96139A-R11-C32.bam	S	1
SA1044-A96139A-R11-C33.bam	S	1
SA1044-A96139A-R11-C40.bam	S	1
SA1044-A96139A-R11-C43.bam	G1	1
SA1044-A96139A-R11-C47.bam	G1	1
SA1044-A96139A-R11-C51.bam	S	1
SA1044-A96139A-R11-C52.bam	G1	1
SA1044-A96139A-R11-C55.bam	G1	1
SA1044-A96139A-R11-C56.bam	G1	1
SA1044-A96139A-R11-C57.bam	G1	1
SA1044-A96139A-R11-C58.bam	G1	2
SA1044-A96139A-R11-C60.bam	G1	1
SA1044-A96139A-R11-C61.bam	G1	1
SA1044-A96139A-R11-C63.bam	G1	2
SA1044-A96139A-R11-C64.bam	G1	1
SA1044-A96139A-R11-C65.bam	G1	1
SA1044-A96139A-R11-C66.bam	G1	1
SA1044-A96139A-R11-C67.bam	G1	1
SA1044-A96139A-R11-C68.bam	G1	1
SA1044-A96139A-R12-C07.bam	G1	1
SA1044-A96139A-R12-C08.bam	G1	2
SA1044-A96139A-R12-C10.bam	G1	1
SA1044-A96139A-R12-C16.bam	G1	1
SA1044-A96139A-R12-C17.bam	G1	2
SA1044-A96139A-R12-C18.bam	G1	2
SA1044-A96139A-R12-C19.bam	G1	1
SA1044-A96139A-R12-C28.bam	S	1
SA1044-A96139A-R12-C31.bam	S	1
SA1044-A96139A-R12-C33.bam	G1	1
SA1044-A96139A-R12-C34.bam	S	1
SA1044-A96139A-R12-C42.bam	G1	1
SA1044-A96139A-R12-C46.bam	G1	1
SA1044-A96139A-R12-C50.bam	G1	2
SA1044-A96139A-R12-C55.bam	G1	1
SA1044-A96139A-R12-C56.bam	G1	1
SA1044-A96139A-R12-C57.bam	S	1
SA1044-A96139A-R12-C58.bam	G1	1
SA1044-A96139A-R12-C59.bam	G1	1
SA1044-A96139A-R12-C60.bam	G1	1
SA1044-A96139A-R12-C61.bam	G1	1
SA1044-A96139A-R12-C62.bam	G1	2
SA1044-A96139A-R12-C64.bam	G1	1
SA1044-A96139A-R12-C65.bam	G1	1
SA1044-A96139A-R12-C66.bam	G1	2
SA1044-A96139A-R12-C67.bam	G1	1
SA1044-A96139A-R12-C69.bam	G1	1
SA1044-A96139A-R12-C70.bam	G1	1
SA1044-A96139A-R13-C07.bam	G1	1
SA1044-A96139A-R13-C08.bam	G1	1
SA1044-A96139A-R13-C09.bam	G1	1
SA1044-A96139A-R13-C10.bam	G1	1
SA1044-A96139A-R13-C12.bam	G1	1
SA1044-A96139A-R13-C14.bam	G1	1
SA1044-A96139A-R13-C15.bam	G1	1
SA1044-A96139A-R13-C16.bam	G1	1
SA1044-A96139A-R13-C17.bam	G1	1
SA1044-A96139A-R13-C18.bam	G1	2
SA1044-A96139A-R13-C30.bam	S	1
SA1044-A96139A-R13-C32.bam	S	1
SA1044-A96139A-R13-C39.bam	G1	1
SA1044-A96139A-R13-C40.bam	G1	2
SA1044-A96139A-R13-C43.bam	G1	1
SA1044-A96139A-R13-C44.bam	S	1
SA1044-A96139A-R13-C47.bam	G1	1
SA1044-A96139A-R13-C48.bam	G1	1
SA1044-A96139A-R13-C50.bam	G1	1
SA1044-A96139A-R13-C52.bam	S	1
SA1044-A96139A-R13-C55.bam	S	1
SA1044-A96139A-R13-C56.bam	S	1
SA1044-A96139A-R13-C57.bam	G1	1
SA1044-A96139A-R13-C58.bam	G1	1
SA1044-A96139A-R13-C59.bam	G1	2
SA1044-A96139A-R13-C61.bam	G1	2
SA1044-A96139A-R13-C63.bam	G1	1
SA1044-A96139A-R13-C64.bam	G1	2
SA1044-A96139A-R13-C65.bam	G1	1
SA1044-A96139A-R13-C66.bam	G1	1
SA1044-A96139A-R13-C68.bam	G1	1
SA1044-A96139A-R13-C69.bam	G1	2
SA1044-A96139A-R13-C70.bam	G1	1
SA1044-A96139A-R14-C12.bam	G1	1
SA1044-A96139A-R14-C26.bam	G1	1
SA1044-A96139A-R14-C31.bam	S	1
SA1044-A96139A-R14-C45.bam	G1	1
SA1044-A96139A-R14-C47.bam	G1	2
SA1044-A96139A-R14-C48.bam	G1	1
SA1044-A96139A-R14-C50.bam	S	1
SA1044-A96139A-R14-C55.bam	G1	1
SA1044-A96139A-R14-C56.bam	G1	1
SA1044-A96139A-R14-C57.bam	G1	1
SA1044-A96139A-R14-C58.bam	G1	1
SA1044-A96139A-R14-C59.bam	G1	1
SA1044-A96139A-R14-C60.bam	G1	1
SA1044-A96139A-R14-C61.bam	G1	2
SA1044-A96139A-R14-C62.bam	G1	1
SA1044-A96139A-R14-C63.bam	S	1
SA1044-A96139A-R14-C64.bam	G1	1
SA1044-A96139A-R14-C65.bam	G1	1
SA1044-A96139A-R14-C66.bam	G1	1
SA1044-A96139A-R14-C67.bam	G1	1
SA1044-A96139A-R14-C68.bam	G1	1
SA1044-A96139A-R15-C07.bam	G1	1
SA1044-A96139A-R15-C08.bam	S	1
SA1044-A96139A-R15-C09.bam	G1	1
SA1044-A96139A-R15-C13.bam	G1	1
SA1044-A96139A-R15-C14.bam	G1	1
SA1044-A96139A-R15-C16.bam	G1	1
SA1044-A96139A-R15-C17.bam	G1	2
SA1044-A96139A-R15-C18.bam	G1	1
SA1044-A96139A-R15-C19.bam	G1	1
SA1044-A96139A-R15-C20.bam	G1	1
SA1044-A96139A-R15-C21.bam	G1	1
SA1044-A96139A-R15-C25.bam	G1	1
SA1044-A96139A-R15-C27.bam	S	1
SA1044-A96139A-R15-C29.bam	S	1
SA1044-A96139A-R15-C30.bam	S	1
SA1044-A96139A-R15-C39.bam	G1	1
SA1044-A96139A-R15-C40.bam	G1	2
SA1044-A96139A-R15-C44.bam	G1	1
SA1044-A96139A-R15-C46.bam	G1	1
SA1044-A96139A-R15-C47.bam	S	1
SA1044-A96139A-R15-C49.bam	G1	2
SA1044-A96139A-R15-C50.bam	G1	2
SA1044-A96139A-R15-C55.bam	G1	1
SA1044-A96139A-R15-C56.bam	G1	1
SA1044-A96139A-R15-C57.bam	G1	1
SA1044-A96139A-R15-C58.bam	S	1
SA1044-A96139A-R15-C59.bam	G1	1
SA1044-A96139A-R15-C60.bam	S	1
SA1044-A96139A-R15-C61.bam	S	1
SA1044-A96139A-R15-C63.bam	G1	1
SA1044-A96139A-R15-C65.bam	G1	1
SA1044-A96139A-R15-C66.bam	G1	1
