Cell	Phase	Subpopulation
SA501X2XB00097-A96171A-R08-C24.bam	G1	1
SA501X2XB00097-A96171A-R08-C52.bam	S	1
SA501X2XB00097-A96171A-R08-C55.bam	G1	2
SA501X2XB00097-A96171A-R09-C62.bam	G1	1
SA501X2XB00097-A96171A-R10-C34.bam	G1	1
SA501X2XB00097-A96171A-R11-C55.bam	G1	2
SA501X2XB00097-A96171A-R11-C64.bam	G1	1
SA501X2XB00097-A96171A-R12-C42.bam	G1	1
SA501X2XB00097-A96171A-R12-C64.bam	G1	1
SA501X2XB00097-A96171A-R14-C50.bam	G1	2
SA501X2XB00097-A96171A-R15-C08.bam	G1	1
SA501X2XB00097-A96171A-R16-C23.bam	G1	2
SA501X2XB00097-A96171A-R16-C37.bam	G1	1
SA501X2XB00097-A96171A-R17-C10.bam	G1	2
SA501X2XB00097-A96171A-R17-C60.bam	G1	1
SA501X2XB00097-A96171A-R21-C12.bam	G1	1
SA501X2XB00097-A96171A-R21-C29.bam	S	2
SA501X2XB00097-A96171A-R22-C11.bam	G1	1
SA501X2XB00097-A96171A-R22-C69.bam	G1	1
SA501X2XB00097-A96171A-R23-C28.bam	G1	1
SA501X2XB00097-A96171A-R23-C41.bam	G1	2
SA501X2XB00097-A96171A-R26-C28.bam	G1	1
SA501X2XB00097-A96171A-R26-C29.bam	G1	1
SA501X2XB00097-A96171A-R26-C49.bam	G1	1
SA501X2XB00097-A96171A-R29-C66.bam	G1	1
SA501X2XB00097-A96171A-R29-C67.bam	G1	2
SA501X2XB00097-A96171A-R31-C52.bam	G1	2
SA501X2XB00097-A96171A-R32-C64.bam	G1	2
SA501X2XB00097-A96171A-R34-C22.bam	G1	1
SA501X2XB00097-A96171A-R35-C59.bam	G1	2
