Cell	Phase
SA501X5XB00877-A95670A-R04-C07.bam	G1
SA501X5XB00877-A95670A-R04-C09.bam	G1
SA501X5XB00877-A95670A-R04-C10.bam	G1
SA501X5XB00877-A95670A-R04-C15.bam	G1
SA501X5XB00877-A95670A-R04-C16.bam	G1
SA501X5XB00877-A95670A-R04-C17.bam	G1
SA501X5XB00877-A95670A-R04-C18.bam	G1
SA501X5XB00877-A95670A-R04-C22.bam	G1
SA501X5XB00877-A95670A-R04-C24.bam	G1
SA501X5XB00877-A95670A-R04-C26.bam	G1
SA501X5XB00877-A95670A-R04-C28.bam	G1
SA501X5XB00877-A95670A-R04-C30.bam	G1
SA501X5XB00877-A95670A-R04-C31.bam	G1
SA501X5XB00877-A95670A-R04-C32.bam	S
SA501X5XB00877-A95670A-R04-C38.bam	G1
SA501X5XB00877-A95670A-R04-C40.bam	G1
SA501X5XB00877-A95670A-R04-C44.bam	G1
SA501X5XB00877-A95670A-R04-C49.bam	G1
SA501X5XB00877-A95670A-R04-C52.bam	G1
SA501X5XB00877-A95670A-R04-C56.bam	G1
SA501X5XB00877-A95670A-R04-C57.bam	G1
SA501X5XB00877-A95670A-R04-C59.bam	G1
SA501X5XB00877-A95670A-R04-C60.bam	G1
SA501X5XB00877-A95670A-R04-C63.bam	G1
SA501X5XB00877-A95670A-R04-C64.bam	G1
SA501X5XB00877-A95670A-R05-C08.bam	G1
SA501X5XB00877-A95670A-R05-C09.bam	G1
SA501X5XB00877-A95670A-R05-C63.bam	G1
SA501X5XB00877-A95670A-R05-C68.bam	G1
SA501X5XB00877-A95670A-R06-C64.bam	G1
SA501X5XB00877-A95670A-R07-C07.bam	G1
SA501X5XB00877-A95670A-R07-C65.bam	G1
SA501X5XB00877-A95670A-R07-C67.bam	G1
SA501X5XB00877-A95670A-R08-C12.bam	G1
SA501X5XB00877-A95670A-R08-C24.bam	G1
SA501X5XB00877-A95670A-R08-C26.bam	G1
SA501X5XB00877-A95670A-R08-C28.bam	G1
SA501X5XB00877-A95670A-R08-C30.bam	G1
SA501X5XB00877-A95670A-R08-C31.bam	G1
SA501X5XB00877-A95670A-R08-C34.bam	G1
SA501X5XB00877-A95670A-R08-C37.bam	G1
SA501X5XB00877-A95670A-R08-C40.bam	G1
SA501X5XB00877-A95670A-R08-C41.bam	G1
SA501X5XB00877-A95670A-R08-C43.bam	G1
SA501X5XB00877-A95670A-R08-C47.bam	G1
SA501X5XB00877-A95670A-R08-C50.bam	G1
SA501X5XB00877-A95670A-R08-C55.bam	G1
SA501X5XB00877-A95670A-R08-C56.bam	G1
SA501X5XB00877-A95670A-R08-C65.bam	G1
SA501X5XB00877-A95670A-R08-C68.bam	G1
SA501X5XB00877-A95670A-R08-C69.bam	G1
SA501X5XB00877-A95670A-R09-C14.bam	S
SA501X5XB00877-A95670A-R09-C22.bam	G1
SA501X5XB00877-A95670A-R09-C29.bam	G1
SA501X5XB00877-A95670A-R09-C35.bam	G1
SA501X5XB00877-A95670A-R09-C46.bam	G1
SA501X5XB00877-A95670A-R09-C47.bam	G1
SA501X5XB00877-A95670A-R09-C60.bam	G1
SA501X5XB00877-A95670A-R10-C07.bam	G1
SA501X5XB00877-A95670A-R10-C10.bam	G1
SA501X5XB00877-A95670A-R10-C11.bam	G1
SA501X5XB00877-A95670A-R10-C12.bam	G1
SA501X5XB00877-A95670A-R10-C13.bam	G1
SA501X5XB00877-A95670A-R10-C14.bam	G1
SA501X5XB00877-A95670A-R10-C15.bam	G1
SA501X5XB00877-A95670A-R10-C16.bam	G1
SA501X5XB00877-A95670A-R10-C18.bam	G1
SA501X5XB00877-A95670A-R10-C20.bam	G1
SA501X5XB00877-A95670A-R10-C22.bam	G1
SA501X5XB00877-A95670A-R10-C25.bam	G1
SA501X5XB00877-A95670A-R10-C27.bam	G1
SA501X5XB00877-A95670A-R10-C29.bam	S
SA501X5XB00877-A95670A-R10-C35.bam	G1
SA501X5XB00877-A95670A-R10-C39.bam	G1
SA501X5XB00877-A95670A-R10-C40.bam	G1
SA501X5XB00877-A95670A-R10-C41.bam	G1
SA501X5XB00877-A95670A-R10-C42.bam	G1
SA501X5XB00877-A95670A-R10-C44.bam	G1
SA501X5XB00877-A95670A-R10-C48.bam	G1
SA501X5XB00877-A95670A-R10-C51.bam	G1
SA501X5XB00877-A95670A-R10-C55.bam	G1
SA501X5XB00877-A95670A-R10-C57.bam	G1
SA501X5XB00877-A95670A-R10-C59.bam	G1
SA501X5XB00877-A95670A-R10-C61.bam	G1
SA501X5XB00877-A95670A-R10-C62.bam	G1
SA501X5XB00877-A95670A-R10-C66.bam	G1
SA501X5XB00877-A95670A-R10-C67.bam	G1
SA501X5XB00877-A95670A-R11-C13.bam	G1
SA501X5XB00877-A95670A-R11-C14.bam	G1
SA501X5XB00877-A95670A-R11-C17.bam	G1
SA501X5XB00877-A95670A-R11-C18.bam	G1
SA501X5XB00877-A95670A-R11-C29.bam	G1
SA501X5XB00877-A95670A-R11-C30.bam	G1
SA501X5XB00877-A95670A-R11-C31.bam	G1
SA501X5XB00877-A95670A-R11-C35.bam	G1
SA501X5XB00877-A95670A-R11-C37.bam	S
SA501X5XB00877-A95670A-R11-C39.bam	G1
SA501X5XB00877-A95670A-R11-C41.bam	G1
SA501X5XB00877-A95670A-R11-C54.bam	G1
SA501X5XB00877-A95670A-R11-C55.bam	G1
SA501X5XB00877-A95670A-R11-C59.bam	G1
SA501X5XB00877-A95670A-R11-C63.bam	G1
SA501X5XB00877-A95670A-R11-C70.bam	G1
SA501X5XB00877-A95670A-R12-C09.bam	G1
SA501X5XB00877-A95670A-R12-C11.bam	G1
SA501X5XB00877-A95670A-R12-C17.bam	G1
SA501X5XB00877-A95670A-R12-C25.bam	G1
SA501X5XB00877-A95670A-R12-C38.bam	G1
SA501X5XB00877-A95670A-R12-C43.bam	G1
SA501X5XB00877-A95670A-R12-C44.bam	G1
SA501X5XB00877-A95670A-R12-C48.bam	G1
SA501X5XB00877-A95670A-R12-C63.bam	G1
SA501X5XB00877-A95670A-R12-C64.bam	G1
SA501X5XB00877-A95670A-R12-C67.bam	G1
SA501X5XB00877-A95670A-R12-C69.bam	G1
SA501X5XB00877-A95670A-R13-C18.bam	G1
SA501X5XB00877-A95670A-R13-C26.bam	G1
SA501X5XB00877-A95670A-R13-C40.bam	G1
SA501X5XB00877-A95670A-R13-C44.bam	G1
SA501X5XB00877-A95670A-R13-C52.bam	G1
SA501X5XB00877-A95670A-R13-C59.bam	G1
SA501X5XB00877-A95670A-R13-C64.bam	G1
SA501X5XB00877-A95670A-R13-C65.bam	G1
SA501X5XB00877-A95670A-R13-C66.bam	G1
SA501X5XB00877-A95670A-R13-C67.bam	G1
SA501X5XB00877-A95670A-R13-C68.bam	G1
SA501X5XB00877-A95670A-R13-C69.bam	G1
SA501X5XB00877-A95670A-R14-C08.bam	G1
SA501X5XB00877-A95670A-R14-C09.bam	G1
SA501X5XB00877-A95670A-R14-C11.bam	G1
SA501X5XB00877-A95670A-R14-C12.bam	G1
SA501X5XB00877-A95670A-R14-C14.bam	G1
SA501X5XB00877-A95670A-R14-C16.bam	G1
SA501X5XB00877-A95670A-R14-C18.bam	G1
SA501X5XB00877-A95670A-R14-C20.bam	G1
SA501X5XB00877-A95670A-R14-C21.bam	G1
SA501X5XB00877-A95670A-R14-C22.bam	S
SA501X5XB00877-A95670A-R14-C25.bam	G1
SA501X5XB00877-A95670A-R14-C27.bam	G1
SA501X5XB00877-A95670A-R14-C28.bam	G1
SA501X5XB00877-A95670A-R14-C29.bam	G1
SA501X5XB00877-A95670A-R14-C32.bam	G1
SA501X5XB00877-A95670A-R14-C36.bam	G1
SA501X5XB00877-A95670A-R14-C38.bam	S
SA501X5XB00877-A95670A-R14-C39.bam	G1
SA501X5XB00877-A95670A-R14-C41.bam	G1
SA501X5XB00877-A95670A-R14-C43.bam	G1
SA501X5XB00877-A95670A-R14-C44.bam	G1
SA501X5XB00877-A95670A-R14-C46.bam	G1
SA501X5XB00877-A95670A-R14-C49.bam	S
SA501X5XB00877-A95670A-R14-C50.bam	G1
SA501X5XB00877-A95670A-R14-C51.bam	G1
SA501X5XB00877-A95670A-R14-C54.bam	G1
SA501X5XB00877-A95670A-R14-C56.bam	G1
SA501X5XB00877-A95670A-R14-C59.bam	G1
SA501X5XB00877-A95670A-R14-C65.bam	G1
SA501X5XB00877-A95670A-R14-C66.bam	G1
SA501X5XB00877-A95670A-R15-C08.bam	G1
SA501X5XB00877-A95670A-R15-C09.bam	G1
SA501X5XB00877-A95670A-R15-C11.bam	G1
SA501X5XB00877-A95670A-R15-C13.bam	G1
SA501X5XB00877-A95670A-R15-C14.bam	G1
SA501X5XB00877-A95670A-R15-C16.bam	G1
SA501X5XB00877-A95670A-R15-C18.bam	G1
SA501X5XB00877-A95670A-R15-C21.bam	G1
SA501X5XB00877-A95670A-R15-C23.bam	G1
SA501X5XB00877-A95670A-R15-C24.bam	G1
SA501X5XB00877-A95670A-R15-C25.bam	G1
SA501X5XB00877-A95670A-R15-C26.bam	S
SA501X5XB00877-A95670A-R15-C35.bam	G1
SA501X5XB00877-A95670A-R15-C37.bam	G1
SA501X5XB00877-A95670A-R15-C39.bam	G1
SA501X5XB00877-A95670A-R15-C40.bam	G1
SA501X5XB00877-A95670A-R15-C43.bam	S
SA501X5XB00877-A95670A-R15-C44.bam	G1
SA501X5XB00877-A95670A-R15-C46.bam	G1
SA501X5XB00877-A95670A-R15-C47.bam	G1
SA501X5XB00877-A95670A-R15-C49.bam	G1
SA501X5XB00877-A95670A-R15-C54.bam	G1
SA501X5XB00877-A95670A-R15-C57.bam	G1
SA501X5XB00877-A95670A-R15-C58.bam	G1
SA501X5XB00877-A95670A-R15-C59.bam	G1
SA501X5XB00877-A95670A-R15-C61.bam	G1
SA501X5XB00877-A95670A-R15-C62.bam	G1
SA501X5XB00877-A95670A-R15-C63.bam	G1
SA501X5XB00877-A95670A-R15-C67.bam	G1
SA501X5XB00877-A95670A-R15-C68.bam	G1
SA501X5XB00877-A95670A-R15-C69.bam	S
SA501X5XB00877-A95670A-R16-C07.bam	G1
SA501X5XB00877-A95670A-R16-C08.bam	G1
SA501X5XB00877-A95670A-R16-C09.bam	G1
SA501X5XB00877-A95670A-R16-C10.bam	G1
SA501X5XB00877-A95670A-R16-C11.bam	G1
SA501X5XB00877-A95670A-R16-C12.bam	G1
SA501X5XB00877-A95670A-R16-C14.bam	G1
SA501X5XB00877-A95670A-R16-C16.bam	G1
