Cell	Phase	Subpopulation
SRR13904735.bam	S	1
SRR13904736.bam	G1	1
SRR13904737.bam	G1	1
SRR13904738.bam	G1	1
SRR13904739.bam	G1	1
SRR13904740.bam	G1	2
SRR13904742.bam	G1	1
SRR13904743.bam	G1	2
SRR13904744.bam	S	1
SRR13904745.bam	S	2
SRR13904746.bam	G1	3
SRR13904748.bam	G1	3
SRR13904751.bam	G1	3
SRR13904752.bam	G1	1
SRR13904753.bam	G1	2
SRR13904754.bam	G1	2
SRR13904756.bam	G1	1
SRR13904757.bam	G1	2
SRR13904758.bam	G1	1
SRR13904759.bam	G1	1
SRR13904760.bam	G1	2
SRR13904761.bam	G1	3
SRR13904762.bam	G1	2
SRR13904763.bam	G1	1
SRR13904764.bam	G1	1
SRR13904765.bam	S	1
SRR13904766.bam	S	3
SRR13904768.bam	S	1
SRR13904770.bam	G1	3
SRR13904771.bam	G1	1
SRR13904772.bam	G1	1
SRR13904773.bam	G1	2
SRR13904776.bam	S	2
SRR13904777.bam	G1	2
SRR13904778.bam	G1	3
SRR13904779.bam	G1	1
SRR13904780.bam	G1	1
SRR13904781.bam	G1	1
SRR13904782.bam	G1	3
SRR13904783.bam	G1	1
SRR13904784.bam	G1	1
SRR13904785.bam	G1	1
SRR13904786.bam	S	3
SRR13904787.bam	S	3
SRR13904788.bam	G1	1
SRR13904790.bam	G1	2
SRR13904791.bam	G1	1
SRR13904792.bam	G1	1
SRR13904793.bam	G1	3
SRR13904794.bam	G1	1
SRR13904795.bam	S	1
SRR13904796.bam	G1	1
SRR13904797.bam	G1	1
SRR13904798.bam	S	1
SRR13904799.bam	G1	1
SRR13904800.bam	G1	1
SRR13904801.bam	G1	1
SRR13904802.bam	G1	1
SRR13904803.bam	G1	3
SRR13904804.bam	G1	1
SRR13904805.bam	G1	1
SRR13904806.bam	G1	1
SRR13904807.bam	G1	1
SRR13904809.bam	G1	1
SRR13904810.bam	G1	1
SRR13904811.bam	G1	1
SRR13904812.bam	G1	1
SRR13904813.bam	G1	1
SRR13904814.bam	S	2
SRR13904815.bam	G1	1
SRR13904816.bam	G1	2
SRR13904817.bam	G1	1
SRR13904818.bam	G1	3
SRR13904820.bam	G1	1
SRR13904821.bam	G1	1
SRR13904822.bam	G1	3
SRR13904823.bam	G1	1
SRR13904825.bam	G1	1
SRR13904826.bam	G1	2
SRR13904827.bam	G1	3
SRR13904828.bam	G1	1
SRR13904829.bam	S	1
SRR13904830.bam	G1	1
SRR13904831.bam	G1	3
SRR13904832.bam	G1	1
SRR13904833.bam	G1	1
SRR13904834.bam	G1	1
SRR13904836.bam	S	1
SRR13904837.bam	G1	2
SRR13904839.bam	G1	2
SRR13904840.bam	G1	3
SRR13904841.bam	G1	1
SRR13904842.bam	G1	1
SRR13904843.bam	G1	1
SRR13904844.bam	G1	1
SRR13904845.bam	G1	1
SRR13904846.bam	G1	1
SRR13904847.bam	G1	1
SRR13904848.bam	G1	2
SRR13904849.bam	G1	1
SRR13904850.bam	S	3
SRR13904851.bam	G1	2
SRR13904852.bam	G1	1
SRR13904853.bam	G1	3
SRR13904854.bam	G1	1
SRR13904855.bam	G1	1
SRR13904856.bam	G1	1
SRR13904858.bam	G1	1
SRR13904859.bam	G1	3
SRR13904860.bam	G1	1
SRR13904861.bam	G1	2
SRR13904862.bam	G1	2
SRR13904863.bam	G1	1
SRR13904864.bam	G1	2
SRR13904865.bam	G1	1
SRR13904866.bam	G1	1
SRR13904867.bam	G1	1
SRR13904868.bam	G1	1
SRR13904869.bam	G1	1
SRR13904870.bam	G1	1
SRR13904871.bam	G1	1
SRR13904872.bam	G1	3
SRR13904873.bam	G1	1
SRR13904874.bam	G1	3
SRR13904875.bam	G1	2
SRR13904876.bam	G1	2
SRR13904877.bam	G1	3
SRR13904878.bam	G1	1
SRR13904879.bam	S	2
SRR13904880.bam	G1	2
SRR13904882.bam	G1	3
SRR13904883.bam	G1	3
SRR13904884.bam	G1	1
SRR13904885.bam	S	2
SRR13904886.bam	S	3
SRR13904887.bam	G1	1
SRR13904888.bam	S	1
SRR13904889.bam	G1	1
SRR13904890.bam	S	1
SRR13904891.bam	G1	3
SRR13904892.bam	G1	1
SRR13904893.bam	S	1
SRR13904894.bam	G1	3
SRR13904895.bam	G1	1
SRR13904896.bam	G1	1
SRR13904897.bam	G1	3
SRR13904898.bam	G1	3
SRR13904899.bam	G1	3
SRR13904900.bam	G1	1
SRR13904901.bam	G1	3
SRR13904903.bam	G1	1
SRR13904904.bam	G1	3
SRR13904905.bam	G1	2
SRR13904906.bam	S	1
SRR13904907.bam	G1	1
SRR13904909.bam	G1	2
SRR13904910.bam	G1	3
SRR13904911.bam	G1	1
SRR13904912.bam	G1	3
SRR13904913.bam	S	1
SRR13904914.bam	G1	1
SRR13904915.bam	G1	1
SRR13904916.bam	G1	3
SRR13904917.bam	G1	3
SRR13904918.bam	S	3
SRR13904919.bam	G1	2
SRR13904920.bam	S	1
SRR13904921.bam	G1	2
SRR13904922.bam	G1	1
SRR13904923.bam	G1	1
SRR13904924.bam	G1	3
SRR13904925.bam	G1	1
SRR13904926.bam	G1	1
SRR13904927.bam	G1	1
SRR13904928.bam	G1	1
SRR13904929.bam	G1	3
SRR13904930.bam	G1	1
SRR13904931.bam	S	1
SRR13904932.bam	G1	1
SRR13904933.bam	S	1
SRR13904934.bam	G1	1
SRR13904935.bam	G1	2
SRR13904936.bam	G1	1
SRR13904937.bam	S	1
SRR13904940.bam	S	1
SRR13904941.bam	G1	3
SRR13904942.bam	G1	3
SRR13904943.bam	G1	1
SRR13904945.bam	G1	2
SRR13904946.bam	G1	1
SRR13904947.bam	G1	2
SRR13904948.bam	S	1
SRR13904949.bam	G1	1
SRR13904950.bam	G1	1
SRR13904951.bam	G1	3
