Cell	Phase	Subpopulation
SRR13908981.bam	S	1
SRR13908983.bam	S	1
SRR13908985.bam	G1	1
SRR13908986.bam	S	1
SRR13908987.bam	G1	1
SRR13908988.bam	S	1
SRR13908989.bam	G1	1
SRR13908991.bam	G1	1
SRR13908993.bam	S	1
SRR13908994.bam	S	1
SRR13908995.bam	S	1
SRR13908996.bam	S	1
SRR13908998.bam	G1	1
SRR13909000.bam	S	1
SRR13909001.bam	S	1
SRR13909002.bam	G1	1
SRR13909003.bam	G1	1
SRR13909004.bam	G1	1
SRR13909005.bam	S	1
SRR13909006.bam	S	1
SRR13909007.bam	S	1
SRR13909008.bam	S	1
SRR13909009.bam	G1	1
SRR13909010.bam	G1	1
SRR13909012.bam	G1	1
SRR13909013.bam	S	1
SRR13909014.bam	G1	1
SRR13909015.bam	S	1
SRR13909016.bam	S	1
SRR13909017.bam	S	1
SRR13909018.bam	G1	1
SRR13909019.bam	S	1
SRR13909020.bam	S	1
SRR13909021.bam	G1	1
SRR13909022.bam	S	1
SRR13909023.bam	S	1
SRR13909024.bam	S	1
SRR13909025.bam	G1	1
SRR13909026.bam	S	1
SRR13909027.bam	S	1
SRR13909028.bam	S	1
SRR13909029.bam	S	1
SRR13909030.bam	S	1
SRR13909032.bam	S	1
SRR13909033.bam	G1	1
SRR13909034.bam	S	1
SRR13909035.bam	S	1
SRR13909036.bam	G1	1
SRR13909037.bam	S	1
SRR13909039.bam	S	1
SRR13909041.bam	S	1
SRR13909043.bam	S	1
SRR13909044.bam	S	1
SRR13909045.bam	G1	1
SRR13909046.bam	G1	1
SRR13909049.bam	S	1
SRR13909050.bam	G1	1
SRR13909051.bam	G1	1
SRR13909052.bam	G1	1
SRR13909053.bam	G1	1
SRR13909055.bam	S	1
SRR13909057.bam	S	1
SRR13909058.bam	S	1
SRR13909060.bam	S	1
SRR13909061.bam	G1	1
SRR13909062.bam	S	1
SRR13909063.bam	S	1
SRR13909064.bam	G1	1
SRR13909065.bam	S	1
SRR13909066.bam	S	1
SRR13909067.bam	S	1
SRR13909068.bam	S	1
