Cell	Phase
siCont_G1_01_trimmed.bam	G1
siCont_mid-S_01_trimmed.bam	S
siCont_mid-S_10_trimmed.bam	S
siCont_mid-S_11_trimmed.bam	S
siCont_mid-S_12_trimmed.bam	S
siCont_mid-S_13_trimmed.bam	S
siCont_mid-S_14_trimmed.bam	S
siCont_mid-S_15_trimmed.bam	S
siCont_mid-S_16_trimmed.bam	S
siCont_mid-S_17_trimmed.bam	S
siCont_mid-S_18_trimmed.bam	S
siCont_mid-S_19_trimmed.bam	S
siCont_G1_02_trimmed.bam	G1
siCont_mid-S_02_trimmed.bam	S
siCont_mid-S_20_trimmed.bam	S
siCont_mid-S_21_trimmed.bam	S
siCont_mid-S_22_trimmed.bam	S
siCont_mid-S_23_trimmed.bam	S
siCont_mid-S_24_trimmed.bam	S
siCont_mid-S_25_trimmed.bam	S
siCont_mid-S_26_trimmed.bam	S
siCont_mid-S_27_trimmed.bam	S
siCont_mid-S_28_trimmed.bam	S
siCont_mid-S_29_trimmed.bam	S
siCont_G1_03_trimmed.bam	G1
siCont_mid-S_03_trimmed.bam	S
siCont_mid-S_30_trimmed.bam	S
siCont_mid-S_31_trimmed.bam	S
siCont_mid-S_32_trimmed.bam	S
siCont_mid-S_33_trimmed.bam	S
siCont_mid-S_04_trimmed.bam	S
siCont_mid-S_05_trimmed.bam	S
siCont_mid-S_06_trimmed.bam	S
siCont_mid-S_07_trimmed.bam	S
siCont_mid-S_08_trimmed.bam	S
siCont_mid-S_09_trimmed.bam	S
siSAF-A_G1_01_trimmed.bam	G1
siSAF-A_mid-S_01_trimmed.bam	S
siSAF-A_mid-S_10_trimmed.bam	S
siSAF-A_mid-S_11_trimmed.bam	S
siSAF-A_mid-S_12_trimmed.bam	S
siSAF-A_mid-S_13_trimmed.bam	S
siSAF-A_mid-S_14_trimmed.bam	S
siSAF-A_mid-S_15_trimmed.bam	S
siSAF-A_mid-S_16_trimmed.bam	S
siSAF-A_mid-S_17_trimmed.bam	S
siSAF-A_mid-S_18_trimmed.bam	S
siSAF-A_mid-S_19_trimmed.bam	S
siSAF-A_G1_02_trimmed.bam	G1
siSAF-A_mid-S_02_trimmed.bam	S
siSAF-A_mid-S_20_trimmed.bam	S
siSAF-A_mid-S_21_trimmed.bam	S
siSAF-A_mid-S_22_trimmed.bam	S
siSAF-A_mid-S_23_trimmed.bam	S
siSAF-A_mid-S_24_trimmed.bam	S
siSAF-A_mid-S_25_trimmed.bam	S
siSAF-A_mid-S_03_trimmed.bam	S
siSAF-A_mid-S_04_trimmed.bam	S
siSAF-A_mid-S_05_trimmed.bam	S
siSAF-A_mid-S_06_trimmed.bam	S
siSAF-A_mid-S_07_trimmed.bam	S
siSAF-A_mid-S_08_trimmed.bam	S
siSAF-A_mid-S_09_trimmed.bam	S
