Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[cell type]	Characteristics[sex]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[RNA interference]	Factor Value[cell cycle phase]	Factor Value[single cell identifier]
Sample 1	ERS5954336	SAMEA8268106	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 1	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 1	sequencing assay	ERX5270288	siCont_G1_01.fastq.gz	siCont_G1_01.fastq.gz	ERR5488851	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/001/ERR5488851/ERR5488851.fastq.gz	scrambled siRNA	G1 phase	siControl G1 cell 1
Sample 6	ERS5954337	SAMEA8268107	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 6	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 6	sequencing assay	ERX5270289	siCont_mid-S_01.fastq.gz	siCont_mid-S_01.fastq.gz	ERR5488852	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/002/ERR5488852/ERR5488852.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 1
Sample 15	ERS5954338	SAMEA8268108	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 15	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 15	sequencing assay	ERX5270290	siCont_mid-S_10.fastq.gz	siCont_mid-S_10.fastq.gz	ERR5488853	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/003/ERR5488853/ERR5488853.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 10
Sample 16	ERS5954339	SAMEA8268109	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 16	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 16	sequencing assay	ERX5270291	siCont_mid-S_11.fastq.gz	siCont_mid-S_11.fastq.gz	ERR5488854	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/004/ERR5488854/ERR5488854.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 11
Sample 17	ERS5954340	SAMEA8268110	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 17	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 17	sequencing assay	ERX5270292	siCont_mid-S_12.fastq.gz	siCont_mid-S_12.fastq.gz	ERR5488855	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/005/ERR5488855/ERR5488855.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 12
Sample 18	ERS5954341	SAMEA8268111	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 18	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 18	sequencing assay	ERX5270293	siCont_mid-S_13.fastq.gz	siCont_mid-S_13.fastq.gz	ERR5488856	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/006/ERR5488856/ERR5488856.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 13
Sample 19	ERS5954342	SAMEA8268112	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 19	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 19	sequencing assay	ERX5270294	siCont_mid-S_14.fastq.gz	siCont_mid-S_14.fastq.gz	ERR5488857	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/007/ERR5488857/ERR5488857.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 14
Sample 20	ERS5954343	SAMEA8268113	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 20	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 20	sequencing assay	ERX5270295	siCont_mid-S_15.fastq.gz	siCont_mid-S_15.fastq.gz	ERR5488858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/008/ERR5488858/ERR5488858.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 15
Sample 21	ERS5954344	SAMEA8268114	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 21	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 21	sequencing assay	ERX5270296	siCont_mid-S_16.fastq.gz	siCont_mid-S_16.fastq.gz	ERR5488859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/009/ERR5488859/ERR5488859.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 16
Sample 22	ERS5954345	SAMEA8268115	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 22	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 22	sequencing assay	ERX5270297	siCont_mid-S_17.fastq.gz	siCont_mid-S_17.fastq.gz	ERR5488860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/000/ERR5488860/ERR5488860.fastq.gz	scrambled siRNA	mid-S phase	siControl mid-S cell 17
