Run	Assay Type	AvgSpotLen	Bases	BIOMATERIAL_PROVIDER	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sex	SRA Study	tissue	Age	Cell_Line	Min_CN	Max_CN	Min_reads	G	S
SRR16352031	WGS	184	1.54E+11	Coriell Institute	PRJNA770772	SAMN10919114	Human	28864274232	CORNELL UNIVERSITY	public	"TenX,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629595	Illumina NovaSeq 6000	GM12878	GM12878-earlyS	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-20T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	1.2	2.8	100	0.7	0.725
SRR16352033	WGS	184	1.27E+11	Coriell Institute	PRJNA770772	SAMN10919114	Human	23666640432	CORNELL UNIVERSITY	public	"TenX,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629593	Illumina NovaSeq 6000	GM12878	GM12878-G1	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-18T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	1.2	2.8	100	1.1	1.125
SRR16352032	WGS	184	1.19E+11	Coriell Institute	PRJNA770772	SAMN10919114	Human	22273583706	CORNELL UNIVERSITY	public	"TenX,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629594	Illumina NovaSeq 6000	GM12878	GM12878-G2	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-21T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	3.25	4.75	50	1.1	1.15
SRR16352029	WGS	184	1.50E+11	Coriell Institute	PRJNA770772	SAMN10919114	Human	28690149704	CORNELL UNIVERSITY	public	"TenX,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629597	Illumina NovaSeq 6000	GM12878	GM12878-lateS	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-16T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	1.2	2.8	100	0.82	0.85
SRR16352030	WGS	184	1.23E+11	Coriell Institute	PRJNA770772	SAMN10919114	Human	22994804065	CORNELL UNIVERSITY	public	"TenX,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629596	Illumina NovaSeq 6000	GM12878	GM12878-S	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-16T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	1.2	2.8	75	0.7	0.75
SRR16352028	WGS	184	1.47E+11	Coriell Institute	PRJNA770772	SAMN10919114	Human	27903567693	CORNELL UNIVERSITY	public	"TenX,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629598	Illumina NovaSeq 6000	GM12878	GM12878-unsorted1	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-19T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	1.2	2.8	120		
SRR16352027	WGS	300	88959795900	Coriell Institute	PRJNA770772	SAMN10919114	Human	36886601111	CORNELL UNIVERSITY	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629599	HiSeq X Ten	GM12878	GM12878-unsorted2	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-15T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	1.2	2.8	25		
SRR16352026	WGS	300	1.06E+11	Coriell Institute	PRJNA770772	SAMN10919114	Human	43005683248	CORNELL UNIVERSITY	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12629600	HiSeq X Ten	GM12878	GM12878-unsorted3	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-15T00:00:00Z	GM12878	female	SRP341378	B-lymphocyte	NA	GM12878	1.2	2.8	20		
SRR16328252	WGS	300	71889113400	Coriell Institute	PRJNA770772	SAMN22234225	Human	29836490122	CORNELL UNIVERSITY	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12606041	HiSeq X Ten	GM12891	GM12891-unsorted-lane1	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-14T00:00:00Z	GM12891	male	SRP341378	B-lymphocyte	NA	GM12891	1.2	2.8	25		
SRR16328251	WGS	300	2.39E+11	Coriell Institute	PRJNA770772	SAMN22234225	Human	79646380321	CORNELL UNIVERSITY	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX12606042	HiSeq X Ten	GM12891	GM12891-unsorted-lane2	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	2021-10-14T00:00:00Z	GM12891	male	SRP341378	B-lymphocyte	NA	GM12891	1.2	2.8	80		
