chr	start	end	RT	group
chr1	800000	1000000	0.8181641360112559	184-hTERT_SA039_S1
chr1	800000	1000000	0.8080445344129554	184-hTERT_SA039_S2
chr1	800000	1000000	0.8165582536656135	184-hTERT_SA039_S3
chr1	1000000	1200000	0.8181641360112559	184-hTERT_SA039_S1
chr1	1000000	1200000	0.8080445344129554	184-hTERT_SA039_S2
chr1	1000000	1200000	0.8165582536656135	184-hTERT_SA039_S3
chr1	1200000	1400000	0.8181641360112559	184-hTERT_SA039_S1
chr1	1200000	1400000	0.8080445344129554	184-hTERT_SA039_S2
chr1	1200000	1400000	0.8165582536656135	184-hTERT_SA039_S3
chr1	1400000	1600000	0.8255413901722496	184-hTERT_SA039_S1
chr1	1400000	1600000	0.8045962585508865	184-hTERT_SA039_S2
chr1	1400000	1600000	0.8256436845282659	184-hTERT_SA039_S3
chr1	1600000	1800000	0.8158717688990827	184-hTERT_SA039_S1
chr1	1600000	1800000	0.8045962585508865	184-hTERT_SA039_S2
chr1	1600000	1800000	0.8256436845282659	184-hTERT_SA039_S3
chr1	1800000	2000000	0.8123706991277637	184-hTERT_SA039_S1
chr1	1800000	2000000	0.7605079394625675	184-hTERT_SA039_S2
chr1	1800000	2000000	0.8229336574279948	184-hTERT_SA039_S3
chr1	2000000	2200000	0.8018674898138068	184-hTERT_SA039_S1
chr1	2000000	2200000	0.7569365108911388	184-hTERT_SA039_S2
chr1	2000000	2200000	0.820755008190522	184-hTERT_SA039_S3
chr1	2200000	2400000	0.7695937395012112	184-hTERT_SA039_S1
chr1	2200000	2400000	0.7569365108911388	184-hTERT_SA039_S2
chr1	2200000	2400000	0.8209404251469028	184-hTERT_SA039_S3
chr1	2400000	2600000	0.7590071713831752	184-hTERT_SA039_S1
chr1	2400000	2600000	0.7569365108911388	184-hTERT_SA039_S2
chr1	2400000	2600000	0.8169414682067694	184-hTERT_SA039_S3
chr1	2600000	2800000	0.7394178524246046	184-hTERT_SA039_S1
chr1	2600000	2800000	0.7356402145948425	184-hTERT_SA039_S2
chr1	2600000	2800000	0.8043524085588861	184-hTERT_SA039_S3
chr1	2800000	3000000	0.7230795268251157	184-hTERT_SA039_S1
chr1	2800000	3000000	0.7202555992102272	184-hTERT_SA039_S2
chr1	2800000	3000000	0.7796526821222325	184-hTERT_SA039_S3
chr1	3000000	3200000	0.7108939852833821	184-hTERT_SA039_S1
chr1	3000000	3200000	0.7202555992102272	184-hTERT_SA039_S2
chr1	3000000	3200000	0.774595524123898	184-hTERT_SA039_S3
chr1	3200000	3400000	0.698681920485805	184-hTERT_SA039_S1
chr1	3200000	3400000	0.7452555992102272	184-hTERT_SA039_S2
chr1	3200000	3400000	0.7761044844716507	184-hTERT_SA039_S3
chr1	3400000	3600000	0.6878452759555319	184-hTERT_SA039_S1
chr1	3400000	3600000	0.725518757104964	184-hTERT_SA039_S2
chr1	3400000	3600000	0.7556783194256865	184-hTERT_SA039_S3
chr1	3600000	3800000	0.6627542759277456	184-hTERT_SA039_S1
chr1	3600000	3800000	0.725518757104964	184-hTERT_SA039_S2
chr1	3600000	3800000	0.7354905563397887	184-hTERT_SA039_S3
chr1	3800000	4000000	0.6443319802262812	184-hTERT_SA039_S1
chr1	3800000	4000000	0.7213978779840848	184-hTERT_SA039_S2
chr1	3800000	4000000	0.7201914695916345	184-hTERT_SA039_S3
chr1	4000000	4200000	0.6222115848529475	184-hTERT_SA039_S1
chr1	4000000	4200000	0.6340870367785069	184-hTERT_SA039_S2
chr1	4000000	4200000	0.6610492775943492	184-hTERT_SA039_S3
chr1	4200000	4400000	0.583837485696387	184-hTERT_SA039_S1
chr1	4200000	4400000	0.5217442139093682	184-hTERT_SA039_S2
chr1	4200000	4400000	0.5814192636073646	184-hTERT_SA039_S3
chr1	4400000	4600000	0.5905213461689052	184-hTERT_SA039_S1
chr1	4400000	4600000	0.5182959380472992	184-hTERT_SA039_S2
chr1	4400000	4600000	0.5686278517073108	184-hTERT_SA039_S3
chr1	4600000	4800000	0.6088754392124867	184-hTERT_SA039_S1
chr1	4600000	4800000	0.5023184944382767	184-hTERT_SA039_S2
chr1	4600000	4800000	0.6994424539709805	184-hTERT_SA039_S3
chr1	4800000	5000000	0.6373146845374471	184-hTERT_SA039_S1
chr1	4800000	5000000	0.513714505834288	184-hTERT_SA039_S2
chr1	4800000	5000000	0.7237505497281437	184-hTERT_SA039_S3
chr1	5000000	5200000	0.683374212827657	184-hTERT_SA039_S1
chr1	5000000	5200000	0.5214068135265958	184-hTERT_SA039_S2
chr1	5000000	5200000	0.75759012818752125	184-hTERT_SA039_S3
chr1	5200000	5400000	0.7331949913988871	184-hTERT_SA039_S1
chr1	5200000	5400000	0.5499782420980244	184-hTERT_SA039_S2
chr1	5200000	5400000	0.7719043172201083	184-hTERT_SA039_S3
chr1	5400000	5600000	0.7722902705119493	184-hTERT_SA039_S1
chr1	5400000	5600000	0.5787993945961278	184-hTERT_SA039_S2
chr1	5400000	5600000	0.8140764820150638	184-hTERT_SA039_S3
chr1	5600000	5800000	0.7842939382993288	184-hTERT_SA039_S1
chr1	5600000	5800000	0.6763959500874202	184-hTERT_SA039_S2
chr1	5600000	5800000	0.9076904554971651	184-hTERT_SA039_S3
chr1	5800000	6000000	0.8178875363431756	184-hTERT_SA039_S1
chr1	5800000	6000000	0.7409033724895794	184-hTERT_SA039_S2
chr1	5800000	6000000	0.9650137759481757	184-hTERT_SA039_S3
chr1	6000000	6200000	0.8637348785866389	184-hTERT_SA039_S1
chr1	6000000	6200000	0.7097362637362638	184-hTERT_SA039_S2
chr1	6000000	6200000	0.972421183355583	184-hTERT_SA039_S3
chr1	6200000	6400000	0.8877422141613979	184-hTERT_SA039_S1
chr1	6200000	6400000	0.7347362637362638	184-hTERT_SA039_S2
chr1	6200000	6400000	0.9776028355960589	184-hTERT_SA039_S3
chr1	6400000	6600000	0.8877422141613979	184-hTERT_SA039_S1
chr1	6400000	6600000	0.7347362637362638	184-hTERT_SA039_S2
chr1	6400000	6600000	0.8663201243133476	184-hTERT_SA039_S3
chr1	6600000	6800000	0.8842411443900788	184-hTERT_SA039_S1
chr1	6600000	6800000	0.7347362637362638	184-hTERT_SA039_S2
chr1	6600000	6800000	0.8663201243133476	184-hTERT_SA039_S3
chr1	6800000	7000000	0.888075649377714	184-hTERT_SA039_S1
chr1	6800000	7000000	0.7137362637362638	184-hTERT_SA039_S2
chr1	6800000	7000000	0.8589127169059402	184-hTERT_SA039_S3
chr1	7000000	7200000	0.8541486161175511	184-hTERT_SA039_S1
chr1	7000000	7200000	0.7173076923076923	184-hTERT_SA039_S2
chr1	7000000	7200000	0.9599534994388317	184-hTERT_SA039_S3
chr1	7200000	7400000	0.8518145696033383	184-hTERT_SA039_S1
chr1	7200000	7400000	0.7120445344129555	184-hTERT_SA039_S2
chr1	7200000	7400000	0.8520169915023238	184-hTERT_SA039_S3
chr1	7400000	7600000	0.8483134998320194	184-hTERT_SA039_S1
chr1	7400000	7600000	0.7620445344129555	184-hTERT_SA039_S2
chr1	7400000	7600000	0.8543810576961772	184-hTERT_SA039_S3
chr1	7600000	7800000	0.8834075563492885	184-hTERT_SA039_S1
chr1	7600000	7800000	0.7697368421052632	184-hTERT_SA039_S2
chr1	7600000	7800000	0.8614483832713937	184-hTERT_SA039_S3
chr1	7800000	8000000	0.898912293907987	184-hTERT_SA039_S1
chr1	7800000	8000000	0.8197368421052631	184-hTERT_SA039_S2
chr1	7800000	8000000	0.8693400626121405	184-hTERT_SA039_S3
chr1	8000000	8200000	0.9165010015686611	184-hTERT_SA039_S1
chr1	8000000	8200000	0.8447368421052631	184-hTERT_SA039_S2
chr1	8000000	8200000	0.8693400626121405	184-hTERT_SA039_S3
chr1	8200000	8400000	0.9165010015686611	184-hTERT_SA039_S1
chr1	8200000	8400000	0.8411654135338346	184-hTERT_SA039_S2
chr1	8200000	8400000	0.9856799318931863	184-hTERT_SA039_S3
chr1	8400000	8600000	0.9250035995847216	184-hTERT_SA039_S1
chr1	8400000	8600000	0.8411654135338346	184-hTERT_SA039_S2
chr1	8400000	8600000	0.9878150081459096	184-hTERT_SA039_S3
chr1	8600000	8800000	0.9165010015686611	184-hTERT_SA039_S1
chr1	8600000	8800000	0.8411654135338346	184-hTERT_SA039_S2
chr1	8600000	8800000	0.9932350623464515	184-hTERT_SA039_S3
chr1	8800000	9000000	0.9165010015686611	184-hTERT_SA039_S1
chr1	8800000	9000000	0.8411654135338346	184-hTERT_SA039_S2
chr1	8800000	9000000	0.9883899589934573	184-hTERT_SA039_S3
chr1	9000000	9200000	0.9285046693560406	184-hTERT_SA039_S1
chr1	9000000	9200000	0.8411654135338346	184-hTERT_SA039_S2
chr1	9000000	9200000	0.9883899589934573	184-hTERT_SA039_S3
chr1	9200000	9400000	0.9094988620260231	184-hTERT_SA039_S1
chr1	9200000	9400000	0.8464285714285714	184-hTERT_SA039_S2
chr1	9200000	9400000	0.9905686082309301	184-hTERT_SA039_S3
chr1	9400000	9600000	0.9024967224833851	184-hTERT_SA039_S1
chr1	9400000	9600000	0.8464285714285714	184-hTERT_SA039_S2
chr1	9400000	9600000	0.9905686082309301	184-hTERT_SA039_S3
chr1	9600000	9800000	0.9024967224833851	184-hTERT_SA039_S1
chr1	9600000	9800000	0.8464285714285714	184-hTERT_SA039_S2
chr1	9600000	9800000	0.9905686082309301	184-hTERT_SA039_S3
chr1	9800000	10000000	0.9103741294688529	184-hTERT_SA039_S1
chr1	9800000	10000000	0.8411654135338346	184-hTERT_SA039_S2
chr1	9800000	10000000	0.9905686082309301	184-hTERT_SA039_S3
chr1	10000000	10200000	0.9123747407667495	184-hTERT_SA039_S1
chr1	10000000	10200000	0.8411654135338346	184-hTERT_SA039_S2
chr1	10000000	10200000	0.9905686082309301	184-hTERT_SA039_S3
chr1	10200000	10400000	0.914375352064646	184-hTERT_SA039_S1
chr1	10200000	10400000	0.8374617098301309	184-hTERT_SA039_S2
chr1	10200000	10400000	0.993278635331201	184-hTERT_SA039_S3
chr1	10400000	10600000	0.90037107297937	184-hTERT_SA039_S1
chr1	10400000	10600000	0.8374617098301309	184-hTERT_SA039_S2
chr1	10400000	10600000	0.8821675242200899	184-hTERT_SA039_S3
chr1	10600000	10800000	0.8854915264512642	184-hTERT_SA039_S1
chr1	10600000	10800000	0.8427248677248678	184-hTERT_SA039_S2
chr1	10600000	10800000	0.8747601168126825	184-hTERT_SA039_S3
chr1	10800000	11000000	0.871153812149672	184-hTERT_SA039_S1
chr1	10800000	11000000	0.8177248677248677	184-hTERT_SA039_S2
chr1	10800000	11000000	0.8747601168126825	184-hTERT_SA039_S3
chr1	11000000	11200000	0.864151672607034	184-hTERT_SA039_S1
chr1	11000000	11200000	0.8177248677248677	184-hTERT_SA039_S2
chr1	11000000	11200000	0.8747601168126825	184-hTERT_SA039_S3
chr1	11200000	11400000	0.8159702838493581	184-hTERT_SA039_S1
chr1	11200000	11400000	0.8177248677248677	184-hTERT_SA039_S2
chr1	11200000	11400000	0.8747601168126825	184-hTERT_SA039_S3
chr1	11400000	11600000	0.7989650878172372	184-hTERT_SA039_S1
chr1	11400000	11600000	0.8177248677248677	184-hTERT_SA039_S2
