chr	start	end	RT	group
chr1	800000	1000000	0.6838464588387189	HeLa Gnan2022
chr1	1000000	1200000	0.6838464588387189	HeLa Gnan2022
chr1	1200000	1400000	0.6777190078583267	HeLa Gnan2022
chr1	1400000	1600000	0.6796634523027711	HeLa Gnan2022
chr1	1600000	1800000	0.6582582235446013	HeLa Gnan2022
chr1	1800000	2000000	0.6643543462041914	HeLa Gnan2022
chr1	2000000	2200000	0.6599425814983091	HeLa Gnan2022
chr1	2200000	2400000	0.633457987660774	HeLa Gnan2022
chr1	2400000	2600000	0.5786167178195042	HeLa Gnan2022
chr1	2600000	2800000	0.39801914545722594	HeLa Gnan2022
chr1	2800000	3000000	0.28991923882790754	HeLa Gnan2022
chr1	3000000	3200000	0.31163492510241736	HeLa Gnan2022
chr1	3200000	3400000	0.4126713396682437	HeLa Gnan2022
chr1	3400000	3600000	0.5278160642247329	HeLa Gnan2022
chr1	3600000	3800000	0.5601092973074397	HeLa Gnan2022
chr1	3800000	4000000	0.48341928797037154	HeLa Gnan2022
chr1	4000000	4200000	0.3010852052144622	HeLa Gnan2022
chr1	4200000	4400000	0.18004608781311568	HeLa Gnan2022
chr1	4400000	4600000	0.10155705663445601	HeLa Gnan2022
chr1	4600000	4800000	0.08610532570284891	HeLa Gnan2022
chr1	4800000	5000000	0.0908112080557901	HeLa Gnan2022
chr1	5000000	5200000	0.09464892735403571	HeLa Gnan2022
chr1	5200000	5400000	0.10793464834099509	HeLa Gnan2022
chr1	5400000	5600000	0.18894142106603407	HeLa Gnan2022
chr1	5600000	5800000	0.4060439758040377	HeLa Gnan2022
chr1	5800000	6000000	0.603471613525793	HeLa Gnan2022
chr1	6000000	6200000	0.8229417349076792	HeLa Gnan2022
chr1	6200000	6400000	0.8555915524104378	HeLa Gnan2022
chr1	6400000	6600000	0.8514248857437712	HeLa Gnan2022
chr1	6600000	6800000	0.8156008894785984	HeLa Gnan2022
chr1	6800000	7000000	0.7773399184235098	HeLa Gnan2022
chr1	7000000	7200000	0.7836891247727161	HeLa Gnan2022
chr1	7200000	7400000	0.8244827755663668	HeLa Gnan2022
chr1	7400000	7600000	0.758530394613986	HeLa Gnan2022
chr1	7600000	7800000	0.7537684898520812	HeLa Gnan2022
chr1	7800000	8000000	0.8090065850901764	HeLa Gnan2022
chr1	8000000	8200000	0.8852367438203351	HeLa Gnan2022
chr1	8200000	8400000	0.8869034104870018	HeLa Gnan2022
chr1	8400000	8600000	0.8935700771536684	HeLa Gnan2022
chr1	8600000	8800000	0.9152367438203352	HeLa Gnan2022
chr1	8800000	9000000	0.8894034104870018	HeLa Gnan2022
chr1	9000000	9200000	0.8501490245220895	HeLa Gnan2022
chr1	9200000	9400000	0.8453871197601848	HeLa Gnan2022
chr1	9400000	9600000	0.8303871197601848	HeLa Gnan2022
chr1	9600000	9800000	0.865109341982407	HeLa Gnan2022
chr1	9800000	10000000	0.882609341982407	HeLa Gnan2022
chr1	10000000	10200000	0.8892760086490736	HeLa Gnan2022
chr1	10200000	10400000	0.8892760086490736	HeLa Gnan2022
chr1	10400000	10600000	0.867609341982407	HeLa Gnan2022
chr1	10600000	10800000	0.7942363261093911	HeLa Gnan2022
chr1	10800000	11000000	0.8255855324585974	HeLa Gnan2022
chr1	11000000	11200000	0.8350299769030419	HeLa Gnan2022
chr1	11200000	11400000	0.7694744213474863	HeLa Gnan2022
chr1	11400000	11600000	0.7694744213474863	HeLa Gnan2022
chr1	11600000	11800000	0.8242363261093911	HeLa Gnan2022
chr1	11800000	12000000	0.857609341982407	HeLa Gnan2022
chr1	12000000	12200000	0.840109341982407	HeLa Gnan2022
chr1	12200000	12400000	0.7837684898520811	HeLa Gnan2022
chr1	12400000	12600000	0.7923399184235097	HeLa Gnan2022
chr1	12600000	12800000	0.6532115828787656	HeLa Gnan2022
chr1	12800000	13000000	0.3325459482038429	HeLa Gnan2022
chr1	13000000	13200000	0.3325459482038429	HeLa Gnan2022
chr1	13200000	13400000	0.3325459482038429	HeLa Gnan2022
chr1	13400000	13600000	0.18896187661667538	HeLa Gnan2022
chr1	13600000	13800000	0.1798041226059802	HeLa Gnan2022
chr1	13800000	14000000	0.17196061678259822	HeLa Gnan2022
chr1	14000000	14200000	0.12952624430952606	HeLa Gnan2022
chr1	14200000	14400000	0.12494291097619271	HeLa Gnan2022
chr1	14400000	14600000	0.14836537086924084	HeLa Gnan2022
chr1	14600000	14800000	0.19522569793467626	HeLa Gnan2022
chr1	14800000	15000000	0.3538139578000259	HeLa Gnan2022
chr1	15000000	15200000	0.5850116210758626	HeLa Gnan2022
chr1	15200000	15400000	0.8381792214493453	HeLa Gnan2022
chr1	15400000	15600000	0.9302571435272674	HeLa Gnan2022
chr1	15600000	15800000	0.9298369754600405	HeLa Gnan2022
chr1	15800000	16000000	0.9268066724297375	HeLa Gnan2022
chr1	16000000	16200000	0.9288900057630708	HeLa Gnan2022
chr1	16200000	16400000	0.9288900057630708	HeLa Gnan2022
chr1	16400000	16600000	0.97312521499828	HeLa Gnan2022
chr1	16600000	16800000	0.5923487026389503	HeLa Gnan2022
chr1	16800000	17000000	0.6019121947024424	HeLa Gnan2022
chr1	17000000	17200000	0.9086014054744704	HeLa Gnan2022
chr1	17200000	17400000	0.9086014054744704	HeLa Gnan2022
chr1	17400000	17600000	0.9019347388078038	HeLa Gnan2022
chr1	17600000	17800000	0.7499342719543958	HeLa Gnan2022
chr1	17800000	18000000	0.49459580323357416	HeLa Gnan2022
chr1	18000000	18200000	0.32340882844365815	HeLa Gnan2022
chr1	18200000	18400000	0.3004233008993071	HeLa Gnan2022
chr1	18400000	18600000	0.31143520566121186	HeLa Gnan2022
chr1	18600000	18800000	0.4106158779301194	HeLa Gnan2022
chr1	18800000	19000000	0.6036480908152735	HeLa Gnan2022
chr1	19000000	19200000	0.7283236276966927	HeLa Gnan2022
chr1	19200000	19400000	0.7634823578554228	HeLa Gnan2022
chr1	19400000	19600000	0.81062521499828	HeLa Gnan2022
chr1	19600000	19800000	0.8242363261093911	HeLa Gnan2022
chr1	19800000	20000000	0.782093468966534	HeLa Gnan2022
chr1	20000000	20200000	0.6431625632709224	HeLa Gnan2022
chr1	20200000	20400000	0.6588301636444052	HeLa Gnan2022
chr1	20400000	20600000	0.7777517322718561	HeLa Gnan2022
chr1	20600000	20800000	0.8445141038871689	HeLa Gnan2022
chr1	20800000	21000000	0.8511807705538356	HeLa Gnan2022
chr1	21000000	21200000	0.8823712467443118	HeLa Gnan2022
chr1	21200000	21400000	0.8757045800776451	HeLa Gnan2022
chr1	21400000	21600000	0.8690379134109785	HeLa Gnan2022
chr1	21600000	21800000	0.8757045800776451	HeLa Gnan2022
chr1	21800000	22000000	0.8823712467443118	HeLa Gnan2022
chr1	22000000	22200000	0.8523712467443118	HeLa Gnan2022
chr1	22200000	22400000	0.6897358592559831	HeLa Gnan2022
chr1	22400000	22600000	0.6812437957639196	HeLa Gnan2022
chr1	22600000	22800000	0.7069580814782053	HeLa Gnan2022
chr1	22800000	23000000	0.8754104624305863	HeLa Gnan2022
chr1	23000000	23200000	0.924577129097253	HeLa Gnan2022
chr1	23200000	23400000	0.9239818910020149	HeLa Gnan2022
chr1	23400000	23600000	0.9239818910020149	HeLa Gnan2022
chr1	23600000	23800000	0.921204113224237	HeLa Gnan2022
chr1	23800000	24000000	0.9103707798909038	HeLa Gnan2022
chr1	24000000	24200000	0.8548315642046292	HeLa Gnan2022
chr1	24200000	24400000	0.8339982308712959	HeLa Gnan2022
chr1	24400000	24600000	0.8264585483316134	HeLa Gnan2022
chr1	24600000	24800000	0.8692363261093912	HeLa Gnan2022
chr1	24800000	25000000	0.7730458499189149	HeLa Gnan2022
chr1	25000000	25200000	0.7726490245220895	HeLa Gnan2022
chr1	25200000	25400000	0.8043156911887562	HeLa Gnan2022
chr1	25400000	25600000	0.7995537864268515	HeLa Gnan2022
chr1	25600000	25800000	0.8047125165855816	HeLa Gnan2022
chr1	25800000	26000000	0.8973315642046292	HeLa Gnan2022
chr1	26000000	26200000	0.8987204530935181	HeLa Gnan2022
chr1	26200000	26400000	0.9139982308712958	HeLa Gnan2022
chr1	26400000	26600000	0.9139982308712958	HeLa Gnan2022
chr1	26600000	26800000	0.9139982308712958	HeLa Gnan2022
chr1	26800000	27000000	0.9139982308712958	HeLa Gnan2022
chr1	27000000	27200000	0.9215379134109785	HeLa Gnan2022
chr1	27200000	27400000	0.9298712467443118	HeLa Gnan2022
chr1	27400000	27600000	0.9298712467443118	HeLa Gnan2022
chr1	27600000	27800000	0.9298712467443118	HeLa Gnan2022
chr1	27800000	28000000	0.9298712467443118	HeLa Gnan2022
chr1	28000000	28200000	0.9215379134109785	HeLa Gnan2022
chr1	28200000	28400000	0.9215379134109785	HeLa Gnan2022
chr1	28400000	28600000	0.9215379134109785	HeLa Gnan2022
chr1	28600000	28800000	0.9215379134109785	HeLa Gnan2022
chr1	28800000	29000000	0.9148712467443118	HeLa Gnan2022
chr1	29000000	29200000	0.8887601356332007	HeLa Gnan2022
chr1	29200000	29400000	0.6927750749422577	HeLa Gnan2022
chr1	29400000	29600000	0.4614000073713696	HeLa Gnan2022
chr1	29600000	29800000	0.3170874490146936	HeLa Gnan2022
chr1	29800000	30000000	0.24238936802791292	HeLa Gnan2022
chr1	30000000	30200000	0.24042858371418743	HeLa Gnan2022
chr1	30200000	30400000	0.2563673276328075	HeLa Gnan2022
chr1	30400000	30600000	0.3681438891346012	HeLa Gnan2022
chr1	30600000	30800000	0.6333212934296526	HeLa Gnan2022
chr1	30800000	31000000	0.8378871197601848	HeLa Gnan2022
chr1	31000000	31200000	0.8723712467443118	HeLa Gnan2022
chr1	31200000	31400000	0.8498712467443118	HeLa Gnan2022
chr1	31400000	31600000	0.8898712467443117	HeLa Gnan2022
chr1	31600000	31800000	0.9065379134109784	HeLa Gnan2022
chr1	31800000	32000000	0.9326490245220895	HeLa Gnan2022
chr1	32000000	32200000	0.9326490245220895	HeLa Gnan2022
chr1	32200000	32400000	0.8926490245220895	HeLa Gnan2022
chr1	32400000	32600000	0.8843156911887562	HeLa Gnan2022
chr1	32600000	32800000	0.9051490245220896	HeLa Gnan2022
chr1	32800000	33000000	0.897093468966534	HeLa Gnan2022
chr1	33000000	33200000	0.8235220403951055	HeLa Gnan2022
chr1	33200000	33400000	0.7182839451570102	HeLa Gnan2022
chr1	33400000	33600000	0.5514025259226497	HeLa Gnan2022
chr1	33600000	33800000	0.34919547643618853	HeLa Gnan2022
chr1	33800000	34000000	0.22374404706061052	HeLa Gnan2022
chr1	34000000	34200000	0.20997985717412962	HeLa Gnan2022
chr1	34200000	34400000	0.22379871805181403	HeLa Gnan2022
chr1	34400000	34600000	0.3510765271020689	HeLa Gnan2022
chr1	34600000	34800000	0.5203030861467394	HeLa Gnan2022
chr1	34800000	35000000	0.6186807705538355	HeLa Gnan2022
chr1	35000000	35200000	0.7623315642046292	HeLa Gnan2022
chr1	35200000	35400000	0.8500696594427245	HeLa Gnan2022
chr1	35400000	35600000	0.8723152243353481	HeLa Gnan2022
chr1	35600000	35800000	0.8837437957639196	HeLa Gnan2022
chr1	35800000	36000000	0.8959660179861418	HeLa Gnan2022
chr1	36000000	36200000	0.9059823578554229	HeLa Gnan2022
chr1	36200000	36400000	0.8984823578554229	HeLa Gnan2022
chr1	36400000	36600000	0.7811807705538356	HeLa Gnan2022
chr1	36600000	36800000	0.5386130768096712	HeLa Gnan2022
chr1	36800000	37000000	0.3926046734483267	HeLa Gnan2022
chr1	37000000	37200000	0.4114468769964126	HeLa Gnan2022
chr1	37200000	37400000	0.5760127033269448	HeLa Gnan2022
chr1	37400000	37600000	0.8284893606565433	HeLa Gnan2022
chr1	37600000	37800000	0.8302750749422576	HeLa Gnan2022
chr1	37800000	38000000	0.8202517322718561	HeLa Gnan2022
chr1	38000000	38200000	0.714156961030026	HeLa Gnan2022
chr1	38200000	38400000	0.5497568676593444	HeLa Gnan2022
chr1	38400000	38600000	0.48197442134748636	HeLa Gnan2022
chr1	38600000	38800000	0.5721775025799793	HeLa Gnan2022
chr1	38800000	39000000	0.7400696594427244	HeLa Gnan2022
chr1	39000000	39200000	0.8396181630546956	HeLa Gnan2022
chr1	39200000	39400000	0.8086657821023147	HeLa Gnan2022
chr1	39400000	39600000	0.7978324487689813	HeLa Gnan2022
chr1	39600000	39800000	0.7911657821023146	HeLa Gnan2022
chr1	39800000	40000000	0.7963245122610447	HeLa Gnan2022
chr1	40000000	40200000	0.7893800678166003	HeLa Gnan2022
chr1	40200000	40400000	0.781046734483267	HeLa Gnan2022
chr1	40400000	40600000	0.7778721313086638	HeLa Gnan2022
chr1	40600000	40800000	0.7900943535308861	HeLa Gnan2022
chr1	40800000	41000000	0.8687054646419972	HeLa Gnan2022
chr1	41000000	41200000	0.8562054646419971	HeLa Gnan2022
chr1	41200000	41400000	0.8053721313086638	HeLa Gnan2022
chr1	41400000	41600000	0.8244991154356479	HeLa Gnan2022
chr1	41600000	41800000	0.7529514963880289	HeLa Gnan2022
chr1	41800000	42000000	0.7169197503562829	HeLa Gnan2022
chr1	42000000	42200000	0.70691975035628285	HeLa Gnan2022
chr1	42200000	42400000	0.6756499090864416	HeLa Gnan2022
chr1	42400000	42600000	0.6867610201975527	HeLa Gnan2022
chr1	42600000	42800000	0.7383716644552558	HeLa Gnan2022
chr1	42800000	43000000	0.7522605533441447	HeLa Gnan2022
chr1	43000000	43200000	0.7903557914393827	HeLa Gnan2022
chr1	43200000	43400000	0.8873796009631922	HeLa Gnan2022
chr1	43400000	43600000	0.9312684898520812	HeLa Gnan2022
chr1	43600000	43800000	0.9446578455943782	HeLa Gnan2022
chr1	43800000	44000000	0.9474356233721559	HeLa Gnan2022
chr1	44000000	44200000	0.9541022900388225	HeLa Gnan2022
chr1	44200000	44400000	0.9499356233721559	HeLa Gnan2022
chr1	44400000	44600000	0.9499356233721559	HeLa Gnan2022
chr1	44600000	44800000	0.9541022900388225	HeLa Gnan2022
chr1	44800000	45000000	0.9516022900388226	HeLa Gnan2022
chr1	45000000	45200000	0.9582689567054892	HeLa Gnan2022
chr1	45200000	45400000	0.9582689567054892	HeLa Gnan2022
chr1	45400000	45600000	0.9582689567054892	HeLa Gnan2022
chr1	45600000	45800000	0.9582689567054892	HeLa Gnan2022
chr1	45800000	46000000	0.9516022900388226	HeLa Gnan2022
chr1	46000000	46200000	0.9543800678166003	HeLa Gnan2022
chr1	46200000	46400000	0.9502134011499337	HeLa Gnan2022
chr1	46400000	46600000	0.9129514963880289	HeLa Gnan2022
chr1	46600000	46800000	0.8162848297213622	HeLa Gnan2022
chr1	46800000	47000000	0.6901737186102511	HeLa Gnan2022
chr1	47000000	47200000	0.7258880043245368	HeLa Gnan2022
chr1	47200000	47400000	0.7595387979753305	HeLa Gnan2022
chr1	47400000	47600000	0.7464435598800924	HeLa Gnan2022
chr1	47600000	47800000	0.7536657821023146	HeLa Gnan2022
chr1	47800000	48000000	0.7656499090864416	HeLa Gnan2022
chr1	48000000	48200000	0.7512054646419971	HeLa Gnan2022
chr1	48200000	48400000	0.5454725047913902	HeLa Gnan2022
chr1	48400000	48600000	0.30791629809818666	HeLa Gnan2022
chr1	48600000	48800000	0.2581936514637753	HeLa Gnan2022
chr1	48800000	49000000	0.2811861818092468	HeLa Gnan2022
chr1	49000000	49200000	0.22426418095148745	HeLa Gnan2022
chr1	49200000	49400000	0.1414987725552741	HeLa Gnan2022
chr1	49400000	49600000	0.12826992838602747	HeLa Gnan2022
chr1	49600000	49800000	0.13053374300278325	HeLa Gnan2022
chr1	49800000	50000000	0.1518645656029557	HeLa Gnan2022
chr1	50000000	50200000	0.339688933787231	HeLa Gnan2022
chr1	50200000	50400000	0.5458623273870952	HeLa Gnan2022
chr1	50400000	50600000	0.5877834291611381	HeLa Gnan2022
chr1	50600000	50800000	0.6441653152489065	HeLa Gnan2022
chr1	50800000	51000000	0.8349753059118384	HeLa Gnan2022
chr1	51000000	51200000	0.8867610201975527	HeLa Gnan2022
chr1	51200000	51400000	0.8950943535308861	HeLa Gnan2022
chr1	51400000	51600000	0.9184276868642194	HeLa Gnan2022
chr1	51600000	51800000	0.9100943535308861	HeLa Gnan2022
chr1	51800000	52000000	0.8842610201975527	HeLa Gnan2022
chr1	52000000	52200000	0.8842610201975527	HeLa Gnan2022
chr1	52200000	52400000	0.880094353530886	HeLa Gnan2022
chr1	52400000	52600000	0.8867610201975527	HeLa Gnan2022
chr1	52600000	52800000	0.8909276868642194	HeLa Gnan2022
chr1	52800000	53000000	0.8867610201975527	HeLa Gnan2022
chr1	53000000	53200000	0.864499115435648	HeLa Gnan2022
chr1	53200000	53400000	0.8160864170229495	HeLa Gnan2022
chr1	53400000	53600000	0.7637848297213622	HeLa Gnan2022
chr1	53600000	53800000	0.7977134011499336	HeLa Gnan2022
chr1	53800000	54000000	0.8805903852769178	HeLa Gnan2022
chr1	54000000	54200000	0.8591618138483463	HeLa Gnan2022
chr1	54200000	54400000	0.8121216644552558	HeLa Gnan2022
chr1	54400000	54600000	0.7732327755663669	HeLa Gnan2022
chr1	54600000	54800000	0.7749192835028749	HeLa Gnan2022
chr1	54800000	55000000	0.8581895916261242	HeLa Gnan2022
chr1	55000000	55200000	0.8581895916261242	HeLa Gnan2022
chr1	55200000	55400000	0.8312848297213622	HeLa Gnan2022
chr1	55400000	55600000	0.7551737186102511	HeLa Gnan2022
chr1	55600000	55800000	0.6641022900388226	HeLa Gnan2022
chr1	55800000	56000000	0.5683856700574966	HeLa Gnan2022
chr1	56000000	56200000	0.5316069585729029	HeLa Gnan2022
chr1	56200000	56400000	0.5255822153422772	HeLa Gnan2022
chr1	56400000	56600000	0.5753767998427441	HeLa Gnan2022
chr1	56600000	56800000	0.5611541107671139	HeLa Gnan2022
chr1	56800000	57000000	0.4726420217209691	HeLa Gnan2022
chr1	57000000	57200000	0.452437773354956	HeLa Gnan2022
chr1	57200000	57400000	0.4872918816649467	HeLa Gnan2022
chr1	57400000	57600000	0.5197615361934247	HeLa Gnan2022
chr1	57600000	57800000	0.4729828247088309	HeLa Gnan2022
chr1	57800000	58000000	0.4294720870804462	HeLa Gnan2022
chr1	58000000	58200000	0.4092423460612315	HeLa Gnan2022
chr1	58200000	58400000	0.4738116737923239	HeLa Gnan2022
chr1	58400000	58600000	0.602139171458057	HeLa Gnan2022
chr1	58600000	58800000	0.676655978180746	HeLa Gnan2022
chr1	58800000	59000000	0.6660210575458253	HeLa Gnan2022
chr1	59000000	59200000	0.6023702638950317	HeLa Gnan2022
chr1	59200000	59400000	0.5345434665094108	HeLa Gnan2022
chr1	59400000	59600000	0.4941513096466657	HeLa Gnan2022
chr1	59600000	59800000	0.44290247678018574	HeLa Gnan2022
chr1	59800000	60000000	0.37410560715514274	HeLa Gnan2022
chr1	60000000	60200000	0.2096783067293903	HeLa Gnan2022
chr1	60200000	60400000	0.1912907324014135	HeLa Gnan2022
chr1	60400000	60600000	0.20750375269725116	HeLa Gnan2022
chr1	60600000	60800000	0.3695703105803725	HeLa Gnan2022
chr1	60800000	61000000	0.6081802545579635	HeLa Gnan2022
chr1	61000000	61200000	0.7584276868642194	HeLa Gnan2022
chr1	61200000	61400000	0.7493007027372353	HeLa Gnan2022
chr1	61400000	61600000	0.7806499090864416	HeLa Gnan2022
chr1	61600000	61800000	0.7938641948007273	HeLa Gnan2022
chr1	61800000	62000000	0.7813641948007273	HeLa Gnan2022
chr1	62000000	62200000	0.7764435598800924	HeLa Gnan2022
chr1	62200000	62400000	0.7745387979753304	HeLa Gnan2022
chr1	62400000	62600000	0.7337684898520812	HeLa Gnan2022
chr1	62600000	62800000	0.689562140645732	HeLa Gnan2022
chr1	62800000	63000000	0.5624659688436778	HeLa Gnan2022
chr1	63000000	63200000	0.493406678460858	HeLa Gnan2022
chr1	63200000	63400000	0.5117260061919504	HeLa Gnan2022
chr1	63400000	63600000	0.5341069585729028	HeLa Gnan2022
chr1	63600000	63800000	0.5308763329893361	HeLa Gnan2022
chr1	63800000	64000000	0.47400891935721656	HeLa Gnan2022
chr1	64000000	64200000	0.4128464543712222	HeLa Gnan2022
chr1	64200000	64400000	0.3893777335495602	HeLa Gnan2022
chr1	64400000	64600000	0.4074496289743968	HeLa Gnan2022
chr1	64600000	64800000	0.5205098530640326	HeLa Gnan2022
chr1	64800000	65000000	0.6310770799547889	HeLa Gnan2022
chr1	65000000	65200000	0.6374823087129589	HeLa Gnan2022
chr1	65200000	65400000	0.5930845496093174	HeLa Gnan2022
chr1	65400000	65600000	0.5382106000294855	HeLa Gnan2022
