chr	start	end	RT	group
chr1	800000	1000000	0.8086662280862054	RKO
chr1	1000000	1200000	0.8086662280862054	RKO
chr1	1200000	1400000	0.8086662280862054	RKO
chr1	1400000	1600000	0.8133566024633603	RKO
chr1	1600000	1800000	0.8133566024633603	RKO
chr1	1800000	2000000	0.8049139285844816	RKO
chr1	2000000	2200000	0.7953991691336818	RKO
chr1	2200000	2400000	0.7719046574808426	RKO
chr1	2400000	2600000	0.7527807219521704	RKO
chr1	2600000	2800000	0.7527807219521704	RKO
chr1	2800000	3000000	0.7527807219521704	RKO
chr1	3000000	3200000	0.7489431429163165	RKO
chr1	3200000	3400000	0.7489431429163165	RKO
chr1	3400000	3600000	0.7489431429163165	RKO
chr1	3600000	3800000	0.7570873384257398	RKO
chr1	3800000	4000000	0.7167927585492733	RKO
chr1	4000000	4200000	0.6533051910870703	RKO
chr1	4200000	4400000	0.6312391116309102	RKO
chr1	4400000	4600000	0.6189588587161775	RKO
chr1	4600000	4800000	0.6189588587161775	RKO
chr1	4800000	5000000	0.6189588587161775	RKO
chr1	5000000	5200000	0.6189588587161775	RKO
chr1	5200000	5400000	0.6189588587161775	RKO
chr1	5400000	5600000	0.6604047123034003	RKO
chr1	5600000	5800000	0.6781306726118685	RKO
chr1	5800000	6000000	0.7238618227891281	RKO
chr1	6000000	6200000	0.784026534117905	RKO
chr1	6200000	6400000	0.8262399035122986	RKO
chr1	6400000	6600000	0.8670096122217755	RKO
chr1	6600000	6800000	0.856776068126165	RKO
chr1	6800000	7000000	0.8442125653302145	RKO
chr1	7000000	7200000	0.8019991959358211	RKO
chr1	7200000	7400000	0.8019991959358211	RKO
chr1	7400000	7600000	0.8019991959358211	RKO
chr1	7600000	7800000	0.8344054189052544	RKO
chr1	7800000	8000000	0.8697172374304057	RKO
chr1	8000000	8200000	0.9166209812019541	RKO
chr1	8200000	8400000	0.9186311416493061	RKO
chr1	8400000	8600000	0.9205499311672332	RKO
chr1	8600000	8800000	0.9224687206851602	RKO
chr1	8800000	9000000	0.9272017348293801	RKO
chr1	9000000	9200000	0.8849883654349866	RKO
chr1	9200000	9400000	0.8869985258823385	RKO
chr1	9400000	9600000	0.8869985258823385	RKO
chr1	9600000	9800000	0.8869985258823385	RKO
chr1	9800000	10000000	0.8869985258823385	RKO
chr1	10000000	10200000	0.8869985258823385	RKO
chr1	10200000	10400000	0.8878939609907045	RKO
chr1	10400000	10600000	0.8859751714727775	RKO
chr1	10600000	10800000	0.8783365617728398	RKO
chr1	10800000	11000000	0.8783365617728398	RKO
chr1	11000000	11200000	0.8783365617728398	RKO
chr1	11200000	11400000	0.8783365617728398	RKO
chr1	11400000	11600000	0.8783365617728398	RKO
chr1	11600000	11800000	0.8811507863991326	RKO
chr1	11800000	12000000	0.8811507863991326	RKO
chr1	12000000	12200000	0.8361231923784462	RKO
chr1	12200000	12400000	0.8313901782342263	RKO
chr1	12400000	12600000	0.8180226112593351	RKO
chr1	12600000	12800000	0.8048042834691715	RKO
chr1	12800000	13000000	0.7540629606617691	RKO
chr1	13000000	13200000	0.7540629606617691	RKO
chr1	13200000	13400000	0.7540629606617691	RKO
chr1	13400000	13600000	0.669362109084707	RKO
chr1	13600000	13800000	0.6655245300488529	RKO
chr1	13800000	14000000	0.6608341556716982	RKO
chr1	14000000	14200000	0.6608341556716982	RKO
chr1	14200000	14400000	0.6608341556716982	RKO
chr1	14400000	14600000	0.6608341556716982	RKO
chr1	14600000	14800000	0.6608341556716982	RKO
chr1	14800000	15000000	0.7289511835581058	RKO
chr1	15000000	15200000	0.746156329568851	RKO
chr1	15200000	15400000	0.8101586199334819	RKO
chr1	15400000	15600000	0.8303455039411327	RKO
chr1	15600000	15800000	0.8440816003313719	RKO
chr1	15800000	16000000	0.8507334039935188	RKO
chr1	16000000	16200000	0.8612867463421171	RKO
chr1	16200000	16400000	0.8565963719649623	RKO
chr1	16400000	16600000	0.8565963719649623	RKO
chr1	16600000	16800000	0.8546775824470354	RKO
chr1	16800000	17000000	0.8546775824470354	RKO
chr1	17000000	17200000	0.8490491331944496	RKO
chr1	17200000	17400000	0.8064245946176432	RKO
chr1	17400000	17600000	0.7595208508460948	RKO
chr1	17600000	17800000	0.75483047646894	RKO
chr1	17800000	18000000	0.7404395550844877	RKO
chr1	18000000	18200000	0.7404395550844877	RKO
chr1	18200000	18400000	0.7404395550844877	RKO
chr1	18400000	18600000	0.7404395550844877	RKO
chr1	18600000	18800000	0.7509928974330861	RKO
chr1	18800000	19000000	0.7700741931946932	RKO
chr1	19000000	19200000	0.7958712522690448	RKO
chr1	19200000	19400000	0.7958712522690448	RKO
chr1	19400000	19600000	0.8016276208228258	RKO
chr1	19600000	19800000	0.8391506158400642	RKO
chr1	19800000	20000000	0.8372318263221374	RKO
chr1	20000000	20200000	0.8372318263221374	RKO
chr1	20200000	20400000	0.8372318263221374	RKO
chr1	20400000	20600000	0.8888259444708405	RKO
chr1	20600000	20800000	0.8963305434742882	RKO
chr1	20800000	21000000	0.8963305434742882	RKO
chr1	21000000	21200000	0.8963305434742882	RKO
chr1	21200000	21400000	0.8963305434742882	RKO
chr1	21400000	21600000	0.8963305434742882	RKO
chr1	21600000	21800000	0.8982493329922152	RKO
