chr	start	end	RT	group
chr1	800000	1000000	0.719216335283189	JEFF
chr1	1000000	1200000	0.7188546726274115	JEFF
chr1	1200000	1400000	0.7227888971955473	JEFF
chr1	1400000	1600000	0.7201985611717764	JEFF
chr1	1600000	1800000	0.7215251659686098	JEFF
chr1	1800000	2000000	0.7064125949414695	JEFF
chr1	2000000	2200000	0.6421719026025455	JEFF
chr1	2200000	2400000	0.596092338708073	JEFF
chr1	2400000	2600000	0.5582802204232208	JEFF
chr1	2600000	2800000	0.48577779146345124	JEFF
chr1	2800000	3000000	0.4036163010612678	JEFF
chr1	3000000	3200000	0.39336231624433987	JEFF
chr1	3200000	3400000	0.4028273253740279	JEFF
chr1	3400000	3600000	0.4600859382009158	JEFF
chr1	3600000	3800000	0.5044399595128584	JEFF
chr1	3800000	4000000	0.49537154510881903	JEFF
chr1	4000000	4200000	0.38985667449504724	JEFF
chr1	4200000	4400000	0.3268736716437231	JEFF
chr1	4400000	4600000	0.3004362017771297	JEFF
chr1	4600000	4800000	0.30042243952272324	JEFF
chr1	4800000	5000000	0.31210325341888173	JEFF
chr1	5000000	5200000	0.3196084128848435	JEFF
chr1	5200000	5400000	0.31691604037511656	JEFF
chr1	5400000	5600000	0.34372267181284927	JEFF
chr1	5600000	5800000	0.45125007361813707	JEFF
chr1	5800000	6000000	0.5703263465608684	JEFF
chr1	6000000	6200000	0.6953199349348816	JEFF
chr1	6200000	6400000	0.7267862000851564	JEFF
chr1	6400000	6600000	0.7373742823795354	JEFF
chr1	6600000	6800000	0.708006958219565	JEFF
chr1	6800000	7000000	0.6589092119797515	JEFF
chr1	7000000	7200000	0.6109790783865031	JEFF
chr1	7200000	7400000	0.5988751022764548	JEFF
chr1	7400000	7600000	0.6002095127650132	JEFF
chr1	7600000	7800000	0.6077351786513296	JEFF
chr1	7800000	8000000	0.67223136922787885	JEFF
chr1	8000000	8200000	0.6940992135668359	JEFF
chr1	8200000	8400000	0.703576729624861	JEFF
chr1	8400000	8600000	0.7868156746339497	JEFF
chr1	8600000	8800000	0.8794501679116905	JEFF
chr1	8800000	9000000	0.9060982321932288	JEFF
chr1	9000000	9200000	0.9050194666614257	JEFF
chr1	9200000	9400000	0.9078462552353189	JEFF
chr1	9400000	9600000	0.9078682648832525	JEFF
chr1	9600000	9800000	0.918049692199692	JEFF
chr1	9800000	10000000	0.9234272417573214	JEFF
chr1	10000000	10200000	0.9296209718177412	JEFF
chr1	10200000	10400000	0.9218489660563435	JEFF
chr1	10400000	10600000	0.8992073268034794	JEFF
chr1	10600000	10800000	0.8982133553816197	JEFF
chr1	10800000	11000000	0.9175725337890858	JEFF
chr1	11000000	11200000	0.9136383092209499	JEFF
chr1	11200000	11400000	0.8863726994406466	JEFF
chr1	11400000	11600000	0.8803133854443929	JEFF
chr1	11600000	11800000	0.9061377356287117	JEFF
chr1	11800000	12000000	0.9370225428977932	JEFF
chr1	12000000	12200000	0.9346014816250942	JEFF
chr1	12200000	12400000	0.905890288925105	JEFF
chr1	12400000	12600000	0.7430746538037636	JEFF
chr1	12600000	12800000	0.6261072011734341	JEFF
chr1	12800000	13000000	0.5701531368354865	JEFF
chr1	13000000	13200000	0.5701531368354865	JEFF
chr1	13200000	13400000	0.5701531368354865	JEFF
chr1	13400000	13600000	0.5482692843396235	JEFF
chr1	13600000	13800000	0.5517313736266447	JEFF
chr1	13800000	14000000	0.4936441854086924	JEFF
chr1	14000000	14200000	0.43289744263819985	JEFF
chr1	14200000	14400000	0.4262240403794109	JEFF
chr1	14400000	14600000	0.42988192435657924	JEFF
chr1	14600000	14800000	0.4372808527138751	JEFF
chr1	14800000	15000000	0.4671335398088486	JEFF
chr1	15000000	15200000	0.5606238580343488	JEFF
chr1	15200000	15400000	0.7199857415400914	JEFF
chr1	15400000	15600000	0.8138684833623113	JEFF
chr1	15600000	15800000	0.9042643833272483	JEFF
chr1	15800000	16000000	0.9155503235810153	JEFF
chr1	16000000	16200000	0.9282130666046754	JEFF
chr1	16200000	16400000	0.9289643076760569	JEFF
chr1	16400000	16600000	0.9295695729942317	JEFF
chr1	16600000	16800000	0.9380004063375779	JEFF
chr1	16800000	17000000	0.9067319430045105	JEFF
chr1	17000000	17200000	0.8042276769621105	JEFF
chr1	17200000	17400000	0.737296974080853	JEFF
chr1	17400000	17600000	0.674799035812234	JEFF
chr1	17600000	17800000	0.5554009784732954	JEFF
chr1	17800000	18000000	0.4862150996011028	JEFF
chr1	18000000	18200000	0.47428784179266187	JEFF
chr1	18200000	18400000	0.4773086597471042	JEFF
chr1	18400000	18600000	0.4892187138366302	JEFF
chr1	18600000	18800000	0.5487948317957557	JEFF
chr1	18800000	19000000	0.7180281382000681	JEFF
chr1	19000000	19200000	0.8022936744822773	JEFF
chr1	19200000	19400000	0.8448806254734144	JEFF
chr1	19400000	19600000	0.8856945227176574	JEFF
chr1	19600000	19800000	0.8794865820085773	JEFF
chr1	19800000	20000000	0.8578731077377555	JEFF
chr1	20000000	20200000	0.8254249212288391	JEFF
chr1	20200000	20400000	0.8047062954035629	JEFF
chr1	20400000	20600000	0.801091331662596	JEFF
chr1	20600000	20800000	0.8366410645481813	JEFF
chr1	20800000	21000000	0.8481051887504449	JEFF
chr1	21000000	21200000	0.8604754765086111	JEFF
chr1	21200000	21400000	0.880112798818535	JEFF
chr1	21400000	21600000	0.8743708902959593	JEFF
chr1	21600000	21800000	0.8894194428759851	JEFF
chr1	21800000	22000000	0.903264711200278	JEFF
chr1	22000000	22200000	0.9042476984839302	JEFF
chr1	22200000	22400000	0.8819724040289086	JEFF
chr1	22400000	22600000	0.8715581823593251	JEFF
chr1	22600000	22800000	0.8763272014312292	JEFF
chr1	22800000	23000000	0.9022487301304846	JEFF
chr1	23000000	23200000	0.9511769221742737	JEFF
chr1	23200000	23400000	0.9855559922465993	JEFF
chr1	23400000	23600000	0.9810165023602887	JEFF
chr1	23600000	23800000	0.9854861539406561	JEFF
chr1	23800000	24000000	0.9827624600088698	JEFF
chr1	24000000	24200000	0.977315072145297	JEFF
chr1	24200000	24400000	0.9736834802362485	JEFF
chr1	24400000	24600000	0.9764071741680349	JEFF
chr1	24600000	24800000	0.9819244003375509	JEFF
chr1	24800000	25000000	0.9882796861783856	JEFF
chr1	25000000	25200000	0.9882796861783856	JEFF
chr1	25200000	25400000	0.980290183978479	JEFF
chr1	25400000	25600000	0.9712112042058578	JEFF
chr1	25600000	25800000	0.9680418149034156	JEFF
chr1	25800000	26000000	0.9680418149034156	JEFF
chr1	26000000	26200000	0.9680418149034156	JEFF
chr1	26200000	26400000	0.9808349227648363	JEFF
chr1	26400000	26600000	0.9859191514375042	JEFF
chr1	26600000	26800000	0.9795638655966693	JEFF
chr1	26800000	27000000	0.9674585592331744	JEFF
chr1	27000000	27200000	0.9601953754150775	JEFF
chr1	27200000	27400000	0.9641295999832132	JEFF
chr1	27400000	27600000	0.9741164777330966	JEFF
chr1	27600000	27800000	0.9741164777330966	JEFF
chr1	27800000	28000000	0.9822177212225124	JEFF
chr1	28000000	28200000	0.9903888030178715	JEFF
chr1	28200000	28400000	0.9767703333589397	JEFF
chr1	28400000	28600000	0.9469692700568086	JEFF
chr1	28600000	28800000	0.9393564725697439	JEFF
chr1	28800000	29000000	0.9128418004072847	JEFF
chr1	29000000	29200000	0.8182768979345887	JEFF
chr1	29200000	29400000	0.6789809787132689	JEFF
chr1	29400000	29600000	0.5646700457725029	JEFF
chr1	29600000	29800000	0.5163701472578678	JEFF
chr1	29800000	30000000	0.5068926765493922	JEFF
chr1	30000000	30200000	0.5120968138764799	JEFF
chr1	30200000	30400000	0.5626220325600798	JEFF
chr1	30400000	30600000	0.7095826707583998	JEFF
chr1	30600000	30800000	0.8648086041833762	JEFF
chr1	30800000	31000000	0.8923541656236622	JEFF
chr1	31000000	31200000	0.8865471838206467	JEFF
chr1	31200000	31400000	0.8907149888007814	JEFF
chr1	31400000	31600000	0.9056748269918672	JEFF
chr1	31600000	31800000	0.9395311679257691	JEFF
chr1	31800000	32000000	0.9726218875351227	JEFF
chr1	32000000	32200000	0.9726218875351227	JEFF
chr1	32200000	32400000	0.9650560710579383	JEFF
chr1	32400000	32600000	0.9596086831943657	JEFF
chr1	32600000	32800000	0.9487470837747671	JEFF
chr1	32800000	33000000	0.9428341072049062	JEFF
chr1	33000000	33200000	0.9272096153485954	JEFF
chr1	33200000	33400000	0.8869127218738752	JEFF
chr1	33400000	33600000	0.8115108552514188	JEFF
chr1	33600000	33800000	0.61786404785253	JEFF
chr1	33800000	34000000	0.521647202214218	JEFF
chr1	34000000	34200000	0.5071497284653849	JEFF
chr1	34200000	34400000	0.5127224927162938	JEFF
chr1	34400000	34600000	0.5518147876875579	JEFF
chr1	34600000	34800000	0.6214610122684534	JEFF
chr1	34800000	35000000	0.7604967833555312	JEFF
chr1	35000000	35200000	0.881953435655601	JEFF
chr1	35200000	35400000	0.9106839870439044	JEFF
chr1	35400000	35600000	0.9211165601644437	JEFF
chr1	35600000	35800000	0.9354967208536498	JEFF
chr1	35800000	36000000	0.9327361028414485	JEFF
chr1	36000000	36200000	0.9257632468380584	JEFF
chr1	36200000	36400000	0.9063576153755786	JEFF
chr1	36400000	36600000	0.850749671012888	JEFF
chr1	36600000	36800000	0.7534368035202528	JEFF
chr1	36800000	37000000	0.684179205295228	JEFF
chr1	37000000	37200000	0.6829686746588784	JEFF
chr1	37200000	37400000	0.7246302031841676	JEFF
chr1	37400000	37600000	0.7866898375906652	JEFF
chr1	37600000	37800000	0.8268538457474103	JEFF
chr1	37800000	38000000	0.8169223851467885	JEFF
chr1	38000000	38200000	0.7961180380028269	JEFF
chr1	38200000	38400000	0.7728007111509465	JEFF
chr1	38400000	38600000	0.7683288636976652	JEFF
chr1	38600000	38800000	0.7695393943340146	JEFF
chr1	38800000	39000000	0.8258331487924919	JEFF
chr1	39000000	39200000	0.8609446538665415	JEFF
chr1	39200000	39400000	0.9109349116695005	JEFF
chr1	39400000	39600000	0.9486941557494787	JEFF
chr1	39600000	39800000	0.9573368728577012	JEFF
