chr	start	end	RT	group
chr1	800000	1000000	0.8794182887485663	GM18507_SA928_
chr1	1000000	1200000	0.8747651636260608	GM18507_SA928_
chr1	1200000	1400000	0.8848406184274075	GM18507_SA928_
chr1	1400000	1600000	0.887023091943723	GM18507_SA928_
chr1	1600000	1800000	0.8831946031458126	GM18507_SA928_
chr1	1800000	2000000	0.8648973048261039	GM18507_SA928_
chr1	2000000	2200000	0.798082591414047	GM18507_SA928_
chr1	2200000	2400000	0.7527430350906176	GM18507_SA928_
chr1	2400000	2600000	0.7128519735286836	GM18507_SA928_
chr1	2600000	2800000	0.6244701217532265	GM18507_SA928_
chr1	2800000	3000000	0.5211665503439867	GM18507_SA928_
chr1	3000000	3200000	0.45933343364125795	GM18507_SA928_
chr1	3200000	3400000	0.47038150644876897	GM18507_SA928_
chr1	3400000	3600000	0.5407830963459841	GM18507_SA928_
chr1	3600000	3800000	0.5975826933164855	GM18507_SA928_
chr1	3800000	4000000	0.5743103390165141	GM18507_SA928_
chr1	4000000	4200000	0.47583551121848916	GM18507_SA928_
chr1	4200000	4400000	0.3965433792364039	GM18507_SA928_
chr1	4400000	4600000	0.34156071702576263	GM18507_SA928_
chr1	4600000	4800000	0.3212846875012987	GM18507_SA928_
chr1	4800000	5000000	0.32367872324495844	GM18507_SA928_
chr1	5000000	5200000	0.31179947685782244	GM18507_SA928_
chr1	5200000	5400000	0.3333449184995216	GM18507_SA928_
chr1	5400000	5600000	0.40680102519619726	GM18507_SA928_
chr1	5600000	5800000	0.5296562917517738	GM18507_SA928_
chr1	5800000	6000000	0.6611880741364924	GM18507_SA928_
chr1	6000000	6200000	0.7690512701230715	GM18507_SA928_
chr1	6200000	6400000	0.8035931010727031	GM18507_SA928_
chr1	6400000	6600000	0.7995570814522955	GM18507_SA928_
chr1	6600000	6800000	0.7426068655413036	GM18507_SA928_
chr1	6800000	7000000	0.6410684900275697	GM18507_SA928_
chr1	7000000	7200000	0.548891253301203	GM18507_SA928_
chr1	7200000	7400000	0.504894505127311	GM18507_SA928_
chr1	7400000	7600000	0.5091014189616865	GM18507_SA928_
chr1	7600000	7800000	0.5676432781104885	GM18507_SA928_
chr1	7800000	8000000	0.6557144911065759	GM18507_SA928_
chr1	8000000	8200000	0.7076372425562509	GM18507_SA928_
chr1	8200000	8400000	0.7495975401942632	GM18507_SA928_
chr1	8400000	8600000	0.8585339809231405	GM18507_SA928_
chr1	8600000	8800000	0.9297481175685381	GM18507_SA928_
chr1	8800000	9000000	0.9375082564310357	GM18507_SA928_
chr1	9000000	9200000	0.9229387150078019	GM18507_SA928_
chr1	9200000	9400000	0.9171325696561082	GM18507_SA928_
chr1	9400000	9600000	0.9176503365131576	GM18507_SA928_
chr1	9600000	9800000	0.9225571806099981	GM18507_SA928_
chr1	9800000	10000000	0.9198735218289469	GM18507_SA928_
chr1	10000000	10200000	0.9078779511715727	GM18507_SA928_
chr1	10200000	10400000	0.8887825507200904	GM18507_SA928_
chr1	10400000	10600000	0.8566458161626967	GM18507_SA928_
chr1	10600000	10800000	0.8373271493288083	GM18507_SA928_
chr1	10800000	11000000	0.8678916395329165	GM18507_SA928_
chr1	11000000	11200000	0.8907929598167558	GM18507_SA928_
chr1	11200000	11400000	0.8469857708717525	GM18507_SA928_
chr1	11400000	11600000	0.8407663997229289	GM18507_SA928_
chr1	11600000	11800000	0.875532436628408	GM18507_SA928_
chr1	11800000	12000000	0.9235757720271979	GM18507_SA928_
chr1	12000000	12200000	0.950017452258736	GM18507_SA928_
chr1	12200000	12400000	0.9465142717016638	GM18507_SA928_
chr1	12400000	12600000	0.8498063210084404	GM18507_SA928_
chr1	12600000	12800000	0.7023063178864182	GM18507_SA928_
chr1	12800000	13000000	0.5997984218733282	GM18507_SA928_
chr1	13000000	13200000	0.5997984218733282	GM18507_SA928_
chr1	13200000	13400000	0.5997984218733282	GM18507_SA928_
chr1	13400000	13600000	0.5417187078098703	GM18507_SA928_
chr1	13600000	13800000	0.5577747507177883	GM18507_SA928_
chr1	13800000	14000000	0.5054055060204143	GM18507_SA928_
chr1	14000000	14200000	0.4145590684649928	GM18507_SA928_
chr1	14200000	14400000	0.37880181855584477	GM18507_SA928_
chr1	14400000	14600000	0.38267040292103394	GM18507_SA928_
chr1	14600000	14800000	0.3999380969453876	GM18507_SA928_
chr1	14800000	15000000	0.46335948977090646	GM18507_SA928_
chr1	15000000	15200000	0.5871356172032959	GM18507_SA928_
chr1	15200000	15400000	0.7639135801028796	GM18507_SA928_
chr1	15400000	15600000	0.8615435676780813	GM18507_SA928_
chr1	15600000	15800000	0.9005052465915219	GM18507_SA928_
chr1	15800000	16000000	0.8961941506447516	GM18507_SA928_
chr1	16000000	16200000	0.8830118598280705	GM18507_SA928_
chr1	16200000	16400000	0.8843381029599997	GM18507_SA928_
chr1	16400000	16600000	0.8767280662354469	GM18507_SA928_
chr1	16600000	16800000	0.8801364539784207	GM18507_SA928_
chr1	16800000	17000000	0.8424142060009857	GM18507_SA928_
chr1	17000000	17200000	0.7446414707940232	GM18507_SA928_
chr1	17200000	17400000	0.670539125526772	GM18507_SA928_
chr1	17400000	17600000	0.5777859099329731	GM18507_SA928_
chr1	17600000	17800000	0.49061644686487776	GM18507_SA928_
