chr	start	end	RT	group
chr1	800000	1000000	0.9276567354563866	MCF-7 S1
chr1	800000	1000000	0.9911097344920874	MCF-7 S2
chr1	1000000	1200000	0.9271241371925312	MCF-7 S1
chr1	1000000	1200000	0.9927122985946515	MCF-7 S2
chr1	1200000	1400000	0.9271241371925312	MCF-7 S1
chr1	1200000	1400000	0.9927122985946515	MCF-7 S2
chr1	1400000	1600000	0.9286433003506543	MCF-7 S1
chr1	1400000	1600000	0.9927122985946515	MCF-7 S2
chr1	1600000	1800000	0.9344884614542902	MCF-7 S1
chr1	1600000	1800000	0.9927122985946515	MCF-7 S2
chr1	1800000	2000000	0.9361161362665651	MCF-7 S1
chr1	1800000	2000000	0.9927122985946515	MCF-7 S2
chr1	2000000	2200000	0.9385467973195621	MCF-7 S1
chr1	2000000	2200000	0.9914912973736503	MCF-7 S2
chr1	2200000	2400000	0.9330295825484736	MCF-7 S1
chr1	2200000	2400000	0.9914912973736503	MCF-7 S2
chr1	2400000	2600000	0.9295861460567275	MCF-7 S1
chr1	2400000	2600000	0.9811127869951399	MCF-7 S2
chr1	2600000	2800000	0.9095915036826416	MCF-7 S1
chr1	2600000	2800000	0.9636336849006533	MCF-7 S2
chr1	2800000	3000000	0.9028287453362515	MCF-7 S1
chr1	2800000	3000000	0.9421000678204774	MCF-7 S2
chr1	3000000	3200000	0.9052401154285105	MCF-7 S1
chr1	3000000	3200000	0.9568726172084114	MCF-7 S2
chr1	3200000	3400000	0.9225585754311147	MCF-7 S1
chr1	3200000	3400000	0.9698811411481095	MCF-7 S2
chr1	3400000	3600000	0.9367181406128597	MCF-7 S1
chr1	3400000	3600000	0.9745616458286142	MCF-7 S2
chr1	3600000	3800000	0.933489316059325	MCF-7 S1
chr1	3600000	3800000	0.8983212166142626	MCF-7 S2
chr1	3800000	4000000	0.5437694563597882	MCF-7 S1
chr1	3800000	4000000	0.4749109816030511	MCF-7 S2
chr1	4000000	4200000	0.3608580084987011	MCF-7 S1
chr1	4000000	4200000	0.4101023913241108	MCF-7 S2
chr1	4200000	4400000	0.3038657079849278	MCF-7 S1
chr1	4200000	4400000	0.3381760961512093	MCF-7 S2
chr1	4400000	4600000	0.252720828942751	MCF-7 S1
chr1	4400000	4600000	0.2676374656012665	MCF-7 S2
chr1	4600000	4800000	0.24346496957889613	MCF-7 S1
chr1	4600000	4800000	0.23388844061920985	MCF-7 S2
chr1	4800000	5000000	0.23124980686828195	MCF-7 S1
chr1	4800000	5000000	0.2247309314617007	MCF-7 S2
chr1	5000000	5200000	0.23121009018440944	MCF-7 S1
chr1	5000000	5200000	0.2247309314617007	MCF-7 S2
chr1	5200000	5400000	0.2517924092612995	MCF-7 S1
chr1	5200000	5400000	0.25534550919166304	MCF-7 S2
chr1	5400000	5600000	0.32620647283572685	MCF-7 S1
chr1	5400000	5600000	0.34816522872309963	MCF-7 S2
chr1	5600000	5800000	0.43660772642029	MCF-7 S1
