chr	start	end	RT	group
chr1	800000	1000000	0.7664789665452136	H7
chr1	1000000	1200000	0.7784034448492879	H7
chr1	1200000	1400000	0.7950977144749918	H7
chr1	1400000	1600000	0.7990725405763499	H7
chr1	1600000	1800000	0.8189466710831401	H7
chr1	1800000	2000000	0.814971844981782	H7
chr1	2000000	2200000	0.7962901623053991	H7
chr1	2200000	2400000	0.730705531632991	H7
chr1	2400000	2600000	0.6563762835375953	H7
chr1	2600000	2800000	0.5709175223583969	H7
chr1	2800000	3000000	0.5341503809208347	H7
chr1	3000000	3200000	0.5371315004968532	H7
chr1	3200000	3400000	0.578867174561113	H7
chr1	3400000	3600000	0.6514077509108976	H7
chr1	3600000	3800000	0.66730705531632994	H7
chr1	3800000	4000000	0.5818482941371316	H7
chr1	4000000	4200000	0.4413381914541239	H7
chr1	4200000	4400000	0.37774097383239486	H7
chr1	4400000	4600000	0.36979132162967876	H7
chr1	4600000	4800000	0.38847300430606163	H7
chr1	4800000	5000000	0.40357734349122226	H7
chr1	5000000	5200000	0.39562769128850617	H7
chr1	5200000	5400000	0.39562769128850617	H7
chr1	5400000	5600000	0.4202716131169261	H7
chr1	5600000	5800000	0.5301755548194766	H7
chr1	5800000	6000000	0.6681020205366015	H7
chr1	6000000	6200000	0.7533620404107321	H7
chr1	6200000	6400000	0.8288837363365353	H7
chr1	6400000	6600000	0.8527326929446837	H7
chr1	6600000	6800000	0.7891354753229547	H7
chr1	6800000	7000000	0.6520039748261014	H7
chr1	7000000	7200000	0.6400794965220272	H7
chr1	7200000	7400000	0.6311361377939715	H7
chr1	7400000	7600000	0.6192116594898973	H7
chr1	7600000	7800000	0.6225240145743623	H7
chr1	7800000	8000000	0.685789996687645	H7
chr1	8000000	8200000	0.8249089102351772	H7
chr1	8200000	8400000	0.8626697581980789	H7
chr1	8400000	8600000	0.8686319973501159	H7
chr1	8600000	8800000	0.897250745279894	H7
chr1	8800000	9000000	0.901225571381252	H7
chr1	9000000	9200000	0.8714143756210666	H7
chr1	9200000	9400000	0.8674395495197086	H7
chr1	9400000	9600000	0.8761841669426963	H7
chr1	9600000	9800000	0.9338191454123882	H7
chr1	9800000	10000000	0.9636303411725737	H7
chr1	10000000	10200000	0.9636303411725737	H7
chr1	10200000	10400000	0.9636303411725737	H7
chr1	10400000	10600000	0.981517058628685	H7
chr1	10600000	10800000	0.9576681020205366	H7
chr1	10800000	11000000	0.952898310698907	H7
chr1	11000000	11200000	0.9469360715468698	H7
chr1	11200000	11400000	0.9310367671414376	H7
chr1	11400000	11600000	0.9310367671414376	H7
chr1	11600000	11800000	0.9429612454455119	H7
chr1	11800000	12000000	0.9477310367671415	H7
chr1	12000000	12200000	0.9298443193110302	H7
chr1	12200000	12400000	0.8761841669426963	H7
chr1	12400000	12600000	0.8324610798277575	H7
chr1	12600000	12800000	0.7609142100033124	H7
chr1	12800000	13000000	0.7255382577012256	H7
chr1	13000000	13200000	0.7255382577012256	H7
chr1	13200000	13400000	0.7255382577012256	H7
chr1	13400000	13600000	0.6535939052666446	H7
chr1	13600000	13800000	0.6476316661146074	H7
chr1	13800000	14000000	0.6198078834051011	H7
chr1	14000000	14200000	0.6198078834051011	H7
chr1	14200000	14400000	0.6277575356078172	H7
chr1	14400000	14600000	0.7257369990062934	H7
chr1	14600000	14800000	0.7764160317986089	H7
chr1	14800000	15000000	0.7943027492547201	H7
chr1	15000000	15200000	0.810997018880424	H7
chr1	15200000	15400000	0.8408082146406095	H7
chr1	15400000	15600000	0.9143424975157337	H7
chr1	15600000	15800000	0.9389864193441537	H7
chr1	15800000	16000000	0.9477310367671415	H7
chr1	16000000	16200000	0.9477310367671415	H7
chr1	16200000	16400000	0.9477310367671415	H7
chr1	16400000	16600000	0.9596555150712156	H7
chr1	16600000	16800000	0.9644253063928454	H7
chr1	16800000	17000000	0.9596555150712156	H7
chr1	17000000	17200000	0.9596555150712156	H7
chr1	17200000	17400000	0.9548857237495859	H7
chr1	17400000	17600000	0.9548857237495859	H7
chr1	17600000	17800000	0.9310367671414376	H7
chr1	17800000	18000000	0.8904935409075853	H7
chr1	18000000	18200000	0.8904935409075853	H7
chr1	18200000	18400000	0.8706194104007949	H7
chr1	18400000	18600000	0.8944683670089434	H7
chr1	18600000	18800000	0.9024180192116595	H7
chr1	18800000	19000000	0.9024180192116595	H7
chr1	19000000	19200000	0.8984431931103014	H7
chr1	19200000	19400000	0.9091752235839682	H7
chr1	19400000	19600000	0.8575024842663134	H7
chr1	19600000	19800000	0.8495528320635972	H7
chr1	19800000	20000000	0.8137793971513747	H7
chr1	20000000	20200000	0.80284862537264	H7
chr1	20200000	20400000	0.80284862537264	H7
chr1	20400000	20600000	0.831666114607486	H7
chr1	20600000	20800000	0.8781715799933754	H7
chr1	20800000	21000000	0.8735342828751241	H7
chr1	21000000	21200000	0.8801589930440544	H7
chr1	21200000	21400000	0.9079827757535608	H7
chr1	21400000	21600000	0.9207022192779066	H7
chr1	21600000	21800000	0.9207022192779066	H7
chr1	21800000	22000000	0.93680026498840685	H7
chr1	22000000	22200000	0.9328254388870487	H7
chr1	22200000	22400000	0.928055647565419	H7
chr1	22400000	22600000	0.928055647565419	H7
chr1	22600000	22800000	0.928055647565419	H7
chr1	22800000	23000000	0.9320304736667772	H7
chr1	23000000	23200000	0.9329579330904273	H7
chr1	23200000	23400000	0.937727724412057	H7
chr1	23400000	23600000	0.937727724412057	H7
chr1	23600000	23800000	0.940377608479629	H7
chr1	23800000	24000000	0.940377608479629	H7
chr1	24000000	24200000	0.93839019542895	H7
chr1	24200000	24400000	0.93839019542895	H7
chr1	24400000	24600000	0.9463398476316661	H7
chr1	24600000	24800000	0.9582643259357404	H7
chr1	24800000	25000000	0.9582643259357404	H7
chr1	25000000	25200000	0.9582643259357404	H7
chr1	25200000	25400000	0.9582643259357404	H7
chr1	25400000	25600000	0.9642265650877775	H7
chr1	25600000	25800000	0.9642265650877775	H7
chr1	25800000	26000000	0.9642265650877775	H7
chr1	26000000	26200000	0.9564756541901293	H7
chr1	26200000	26400000	0.9564756541901293	H7
chr1	26400000	26600000	0.9564756541901293	H7
chr1	26600000	26800000	0.961245445511759	H7
chr1	26800000	27000000	0.961245445511759	H7
chr1	27000000	27200000	0.961245445511759	H7
chr1	27200000	27400000	0.961245445511759	H7
chr1	27400000	27600000	0.961245445511759	H7
chr1	27600000	27800000	0.961245445511759	H7
chr1	27800000	28000000	0.9691950977144751	H7
chr1	28000000	28200000	0.9811195760185493	H7
chr1	28200000	28400000	0.9731699238158331	H7
chr1	28400000	28600000	0.9791321629678702	H7
chr1	28600000	28800000	0.9731699238158331	H7
chr1	28800000	29000000	0.961245445511759	H7
chr1	29000000	29200000	0.9246770453792647	H7
chr1	29200000	29400000	0.8730043060616098	H7
chr1	29400000	29600000	0.6661146074859224	H7
chr1	29600000	29800000	0.6402782378270951	H7
chr1	29800000	30000000	0.634315998675058	H7
chr1	30000000	30200000	0.6174229877442862	H7
chr1	30200000	30400000	0.6144418681682676	H7
chr1	30400000	30600000	0.6174229877442862	H7
chr1	30600000	30800000	0.7831732361709176	H7
chr1	30800000	31000000	0.9143424975157337	H7
chr1	31000000	31200000	0.9624378933421663	H7
chr1	31200000	31400000	0.9576681020205366	H7
chr1	31400000	31600000	0.9576681020205366	H7
chr1	31600000	31800000	0.9576681020205366	H7
chr1	31800000	32000000	0.9576681020205366	H7
chr1	32000000	32200000	0.9743623716462404	H7
chr1	32200000	32400000	0.9743623716462404	H7
chr1	32400000	32600000	0.9684001324942034	H7
chr1	32600000	32800000	0.9525008280887711	H7
chr1	32800000	33000000	0.9087777409738323	H7
chr1	33000000	33200000	0.8730043060616098	H7
chr1	33200000	33400000	0.7907254057634978	H7
chr1	33400000	33600000	0.7283206359721762	H7
chr1	33600000	33800000	0.7004968532626697	H7
chr1	33800000	34000000	0.7004968532626697	H7
chr1	34000000	34200000	0.7004968532626697	H7
chr1	34200000	34400000	0.6945346141106327	H7
