chr	start	end	RT	group
chr1	800000	1000000	0.8843676546261333	HCT-116 WT S1
chr1	800000	1000000	0.7758303746613099	HCT-116 WT S2
chr1	1000000	1200000	0.8843676546261333	HCT-116 WT S1
chr1	1000000	1200000	0.8037080725030366	HCT-116 WT S2
chr1	1200000	1400000	0.8927640984852049	HCT-116 WT S1
chr1	1200000	1400000	0.8101828926469214	HCT-116 WT S2
chr1	1400000	1600000	0.904213794656666	HCT-116 WT S1
chr1	1400000	1600000	0.8405785761001588	HCT-116 WT S2
chr1	1600000	1800000	0.902602355936238	HCT-116 WT S1
chr1	1600000	1800000	0.8697152667476409	HCT-116 WT S2
chr1	1800000	2000000	0.8774130243590237	HCT-116 WT S1
chr1	1800000	2000000	0.8531685041577127	HCT-116 WT S2
chr1	2000000	2200000	0.8715609574269436	HCT-116 WT S1
chr1	2000000	2200000	0.8337440437260581	HCT-116 WT S2
chr1	2200000	2400000	0.859486071496279	HCT-116 WT S1
chr1	2200000	2400000	0.777449079697281	HCT-116 WT S2
chr1	2400000	2600000	0.6386940219258297	HCT-116 WT S1
chr1	2400000	2600000	0.6575749789778567	HCT-116 WT S2
chr1	2600000	2800000	0.5317755617228782	HCT-116 WT S1
chr1	2600000	2800000	0.5373411660282165	HCT-116 WT S2
chr1	2800000	3000000	0.46100532109751735	HCT-116 WT S1
chr1	2800000	3000000	0.509243903578436	HCT-116 WT S2
chr1	3000000	3200000	0.4965613850533179	HCT-116 WT S1
chr1	3000000	3200000	0.5376611697654863	HCT-116 WT S2
chr1	3200000	3400000	0.5918573880295974	HCT-116 WT S1
chr1	3200000	3400000	0.6683009436606558	HCT-116 WT S2
chr1	3400000	3600000	0.7116286934446302	HCT-116 WT S1
chr1	3400000	3600000	0.7700749789778567	HCT-116 WT S2
chr1	3600000	3800000	0.7486130294905402	HCT-116 WT S1
chr1	3600000	3800000	0.7594634681864898	HCT-116 WT S2
chr1	3800000	4000000	0.6871990401213318	HCT-116 WT S1
chr1	3800000	4000000	0.7028228066897131	HCT-116 WT S2
chr1	4000000	4200000	0.4924372493931269	HCT-116 WT S1
chr1	4000000	4200000	0.4978090255068673	HCT-116 WT S2
chr1	4200000	4400000	0.286400626045012	HCT-116 WT S1
chr1	4200000	4400000	0.26600369055405026	HCT-116 WT S2
chr1	4400000	4600000	0.11039759274859702	HCT-116 WT S1
chr1	4400000	4600000	0.12717228814351117	HCT-116 WT S2
chr1	4600000	4800000	0.09470726836548371	HCT-116 WT S1
chr1	4600000	4800000	0.10819746799962626	HCT-116 WT S2
chr1	4800000	5000000	0.09843902119173768	HCT-116 WT S1
chr1	4800000	5000000	0.1020169578622816	HCT-116 WT S2
chr1	5000000	5200000	0.11865409587668393	HCT-116 WT S1
chr1	5000000	5200000	0.10790315799308604	HCT-116 WT S2
chr1	5200000	5400000	0.1870798749050313	HCT-116 WT S1
chr1	5200000	5400000	0.15860973558815283	HCT-116 WT S2
chr1	5400000	5600000	0.3432385143119421	HCT-116 WT S1
chr1	5400000	5600000	0.2980122395590022	HCT-116 WT S2
chr1	5600000	5800000	0.6054122532061288	HCT-116 WT S1
chr1	5600000	5800000	0.5292476408483603	HCT-116 WT S2
chr1	5800000	6000000	0.7758783445727799	HCT-116 WT S1
chr1	5800000	6000000	0.7496005792768383	HCT-116 WT S2
chr1	6000000	6200000	0.8999368182031995	HCT-116 WT S1
chr1	6000000	6200000	0.8416612164813604	HCT-116 WT S2
chr1	6200000	6400000	0.9198483850689975	HCT-116 WT S1
chr1	6200000	6400000	0.8731360366252452	HCT-116 WT S2
chr1	6400000	6600000	0.9257513395396175	HCT-116 WT S1
chr1	6400000	6600000	0.8472367560497057	HCT-116 WT S2
chr1	6600000	6800000	0.8911605352171701	HCT-116 WT S1
chr1	6600000	6800000	0.8205281229561805	HCT-116 WT S2
chr1	6800000	7000000	0.7887493639057682	HCT-116 WT S1
chr1	6800000	7000000	0.7292511445389143	HCT-116 WT S2
chr1	7000000	7200000	0.715485847705143	HCT-116 WT S1
chr1	7000000	7200000	0.6356360366252453	HCT-116 WT S2
chr1	7200000	7400000	0.676073449106047	HCT-116 WT S1
chr1	7200000	7400000	0.6046610763337381	HCT-116 WT S2
chr1	7400000	7600000	0.6869779216502957	HCT-116 WT S1
chr1	7400000	7600000	0.6276826590675512	HCT-116 WT S2
chr1	7600000	7800000	0.8280563526036032	HCT-116 WT S1
chr1	7600000	7800000	0.7168655984303466	HCT-116 WT S2
chr1	7800000	8000000	0.9616397760948304	HCT-116 WT S1
chr1	7800000	8000000	0.8532864617396991	HCT-116 WT S2
chr1	8000000	8200000	0.9784326638129733	HCT-116 WT S1
chr1	8000000	8200000	0.8604807063440157	HCT-116 WT S2
chr1	8200000	8400000	0.9616397760948304	HCT-116 WT S1
chr1	8200000	8400000	0.8604807063440157	HCT-116 WT S2
chr1	8400000	8600000	0.947645702996378	HCT-116 WT S1
chr1	8400000	8600000	0.8929202092871158	HCT-116 WT S2
chr1	8600000	8800000	0.878235100428054	HCT-116 WT S1
chr1	8600000	8800000	0.9022727272727272	HCT-116 WT S2
chr1	8800000	9000000	0.8575493160116143	HCT-116 WT S1
chr1	8800000	9000000	0.8785317200784827	HCT-116 WT S2
chr1	9000000	9200000	0.8293067321220104	HCT-116 WT S1
chr1	9000000	9200000	0.8380640941792021	HCT-116 WT S2
chr1	9200000	9400000	0.8245087642025409	HCT-116 WT S1
chr1	9200000	9400000	0.8283518639633748	HCT-116 WT S2
chr1	9400000	9600000	0.8715288498133411	HCT-116 WT S1
chr1	9400000	9600000	0.7891432308698495	HCT-116 WT S2
chr1	9600000	9800000	0.9180037117969289	HCT-116 WT S1
chr1	9600000	9800000	0.8332079790712884	HCT-116 WT S2
chr1	9800000	10000000	0.9784326638129733	HCT-116 WT S1
chr1	9800000	10000000	0.9101863963374754	HCT-116 WT S2
chr1	10000000	10200000	0.9784326638129733	HCT-116 WT S1
chr1	10000000	10200000	0.9263734466971877	HCT-116 WT S2
