chr	start	end	RT	group
chr1	800000	1000000	0.752690646180099	HCT-116 DKO1
chr1	1000000	1200000	0.7544401564083554	HCT-116 DKO1
chr1	1200000	1400000	0.7636350255057258	HCT-116 DKO1
chr1	1400000	1600000	0.757639308160972	HCT-116 DKO1
chr1	1600000	1800000	0.7712207925110562	HCT-116 DKO1
chr1	1800000	2000000	0.7690339047257357	HCT-116 DKO1
chr1	2000000	2200000	0.7437935748701614	HCT-116 DKO1
chr1	2200000	2400000	0.7289956341894926	HCT-116 DKO1
chr1	2400000	2600000	0.6468581170526589	HCT-116 DKO1
chr1	2600000	2800000	0.5344785926179156	HCT-116 DKO1
chr1	2800000	3000000	0.4904829600214356	HCT-116 DKO1
chr1	3000000	3200000	0.5448088974217726	HCT-116 DKO1
chr1	3200000	3400000	0.608481964069918	HCT-116 DKO1
chr1	3400000	3600000	0.7038145325447708	HCT-116 DKO1
chr1	3600000	3800000	0.7164073613752414	HCT-116 DKO1
chr1	3800000	4000000	0.7173869048624162	HCT-116 DKO1
chr1	4000000	4200000	0.6125786510177598	HCT-116 DKO1
chr1	4200000	4400000	0.42404636686380726	HCT-116 DKO1
chr1	4400000	4600000	0.2805518004707034	HCT-116 DKO1
chr1	4600000	4800000	0.23811085265365642	HCT-116 DKO1
chr1	4800000	5000000	0.22725864504077634	HCT-116 DKO1
chr1	5000000	5200000	0.24561110673917635	HCT-116 DKO1
chr1	5200000	5400000	0.3257765697785744	HCT-116 DKO1
chr1	5400000	5600000	0.4460877998487912	HCT-116 DKO1
chr1	5600000	5800000	0.6325400555069333	HCT-116 DKO1
chr1	5800000	6000000	0.7544538244570137	HCT-116 DKO1
chr1	6000000	6200000	0.7915580205479518	HCT-116 DKO1
chr1	6200000	6400000	0.8337285066748824	HCT-116 DKO1
chr1	6400000	6600000	0.8315416188895618	HCT-116 DKO1
chr1	6600000	6800000	0.8044327488994671	HCT-116 DKO1
chr1	6800000	7000000	0.7370621086963517	HCT-116 DKO1
chr1	7000000	7200000	0.6880476578412702	HCT-116 DKO1
chr1	7200000	7400000	0.6665987618468369	HCT-116 DKO1
chr1	7400000	7600000	0.6780853071025744	HCT-116 DKO1
chr1	7600000	7800000	0.7326436013301019	HCT-116 DKO1
chr1	7800000	8000000	0.8163011711510504	HCT-116 DKO1
chr1	8000000	8200000	0.7815379390303077	HCT-116 DKO1
chr1	8200000	8400000	0.7692184711730021	HCT-116 DKO1
chr1	8400000	8600000	0.772936180408047	HCT-116 DKO1
chr1	8600000	8800000	0.8078816531775663	HCT-116 DKO1
chr1	8800000	9000000	0.7508767782402116	HCT-116 DKO1
chr1	9000000	9200000	0.719895867948171	HCT-116 DKO1
chr1	9200000	9400000	0.7087427402430363	HCT-116 DKO1
chr1	9400000	9600000	0.7603077318144064	HCT-116 DKO1
chr1	9600000	9800000	0.8116631466396831	HCT-116 DKO1
chr1	9800000	10000000	0.879019290427555	HCT-116 DKO1
chr1	10000000	10200000	0.9103282338873937	HCT-116 DKO1
chr1	10200000	10400000	0.887384136206406	HCT-116 DKO1
chr1	10400000	10600000	0.8158364574966699	HCT-116 DKO1
chr1	10600000	10800000	0.7809920454505629	HCT-116 DKO1
chr1	10800000	11000000	0.781538767396893	HCT-116 DKO1
chr1	11000000	11200000	0.7946783181736938	HCT-116 DKO1
chr1	11200000	11400000	0.7790420705086522	HCT-116 DKO1
chr1	11400000	11600000	0.7863499205245982	HCT-116 DKO1
chr1	11600000	11800000	0.860521864576719	HCT-116 DKO1
chr1	11800000	12000000	0.8663535653375737	HCT-116 DKO1
chr1	12000000	12200000	0.8362838582894166	HCT-116 DKO1
chr1	12200000	12400000	0.7812836304886056	HCT-116 DKO1
chr1	12400000	12600000	0.7158029086499632	HCT-116 DKO1
chr1	12600000	12800000	0.6281661843555323	HCT-116 DKO1
chr1	12800000	13000000	0.42681610612268045	HCT-116 DKO1
chr1	13000000	13200000	0.42681610612268045	HCT-116 DKO1
chr1	13200000	13400000	0.42681610612268045	HCT-116 DKO1
chr1	13400000	13600000	0.24751902614675406	HCT-116 DKO1
chr1	13600000	13800000	0.23544019878249228	HCT-116 DKO1
chr1	13800000	14000000	0.22125276427522542	HCT-116 DKO1
chr1	14000000	14200000	0.22201444735045353	HCT-116 DKO1
chr1	14200000	14400000	0.25416625381088453	HCT-116 DKO1
chr1	14400000	14600000	0.34356408546576667	HCT-116 DKO1
chr1	14600000	14800000	0.42922343500046356	HCT-116 DKO1
chr1	14800000	15000000	0.620185796253043	HCT-116 DKO1
chr1	15000000	15200000	0.7648173595050445	HCT-116 DKO1
chr1	15200000	15400000	0.8567312590821635	HCT-116 DKO1
chr1	15400000	15600000	0.9094534787732655	HCT-116 DKO1
chr1	15600000	15800000	0.9393591692375236	HCT-116 DKO1
chr1	15800000	16000000	0.9258733612280471	HCT-116 DKO1
chr1	16000000	16200000	0.9335274684766688	HCT-116 DKO1
chr1	16200000	16400000	0.940671301908716	HCT-116 DKO1
chr1	16400000	16600000	0.9257822409036587	HCT-116 DKO1
chr1	16600000	16800000	0.935732580326867	HCT-116 DKO1
chr1	16800000	17000000	0.9194038181964738	HCT-116 DKO1
chr1	17000000	17200000	0.8617064287937676	HCT-116 DKO1
chr1	17200000	17400000	0.7609182379878083	HCT-116 DKO1
chr1	17400000	17600000	0.7248892617246528	HCT-116 DKO1
chr1	17600000	17800000	0.6361612600347849	HCT-116 DKO1
chr1	17800000	18000000	0.5096669424702592	HCT-116 DKO1
chr1	18000000	18200000	0.4122092632412009	HCT-116 DKO1
chr1	18200000	18400000	0.40231499786377	HCT-116 DKO1
chr1	18400000	18600000	0.4903414686366073	HCT-116 DKO1
chr1	18600000	18800000	0.6181111521400373	HCT-116 DKO1
chr1	18800000	19000000	0.7424564319001422	HCT-116 DKO1
chr1	19000000	19200000	0.8012572055945331	HCT-116 DKO1
chr1	19200000	19400000	0.828338166002752	HCT-116 DKO1
chr1	19400000	19600000	0.8187705319419748	HCT-116 DKO1
chr1	19600000	19800000	0.7974666000999775	HCT-116 DKO1
chr1	19800000	20000000	0.7587951344295597	HCT-116 DKO1
chr1	20000000	20200000	0.6885117980110919	HCT-116 DKO1
chr1	20200000	20400000	0.6753540231694134	HCT-116 DKO1
chr1	20400000	20600000	0.7418453522421813	HCT-116 DKO1
chr1	20600000	20800000	0.7691450014289323	HCT-116 DKO1
chr1	20800000	21000000	0.8022959772925603	HCT-116 DKO1
chr1	21000000	21200000	0.8773062283290539	HCT-116 DKO1
chr1	21200000	21400000	0.8683764365389951	HCT-116 DKO1
chr1	21400000	21600000	0.867829714592665	HCT-116 DKO1
chr1	21600000	21800000	0.8651325529907697	HCT-116 DKO1
chr1	21800000	22000000	0.8311993441885465	HCT-116 DKO1
chr1	22000000	22200000	0.802860923303768	HCT-116 DKO1
chr1	22200000	22400000	0.7807733566720308	HCT-116 DKO1
chr1	22400000	22600000	0.7658296234723407	HCT-116 DKO1
chr1	22600000	22800000	0.7407698775323723	HCT-116 DKO1
chr1	22800000	23000000	0.790276378139151	HCT-116 DKO1
chr1	23000000	23200000	0.8303875449349046	HCT-116 DKO1
chr1	23200000	23400000	0.8495228130564593	HCT-116 DKO1
chr1	23400000	23600000	0.8471454009565085	HCT-116 DKO1
chr1	23600000	23800000	0.8394912937078867	HCT-116 DKO1
chr1	23800000	24000000	0.8192625816936719	HCT-116 DKO1
chr1	24000000	24200000	0.8217228304521575	HCT-116 DKO1
chr1	24200000	24400000	0.8115173541206617	HCT-116 DKO1
chr1	24400000	24600000	0.8159079519050361	HCT-116 DKO1
chr1	24600000	24800000	0.7856110175304671	HCT-116 DKO1
chr1	24800000	25000000	0.7401684833914092	HCT-116 DKO1
chr1	25000000	25200000	0.7284504096750668	HCT-116 DKO1
chr1	25200000	25400000	0.7531539579833352	HCT-116 DKO1
chr1	25400000	25600000	0.7791514148979181	HCT-116 DKO1
chr1	25600000	25800000	0.8003824504804048	HCT-116 DKO1
chr1	25800000	26000000	0.8445940318736346	HCT-116 DKO1
chr1	26000000	26200000	0.8568041553416741	HCT-116 DKO1
chr1	26200000	26400000	0.8690507269394689	HCT-116 DKO1
chr1	26400000	26600000	0.8812608504075085	HCT-116 DKO1
chr1	26600000	26800000	0.894746658416985	HCT-116 DKO1
chr1	26800000	27000000	0.8952933803633152	HCT-116 DKO1
chr1	27000000	27200000	0.8867508499519069	HCT-116 DKO1
chr1	27200000	27400000	0.9013073217729466	HCT-116 DKO1
chr1	27400000	27600000	0.9140641671873163	HCT-116 DKO1
chr1	27600000	27800000	0.9222649963822682	HCT-116 DKO1
chr1	27800000	28000000	0.9040409315045972	HCT-116 DKO1
chr1	28000000	28200000	0.9053166160460342	HCT-116 DKO1
chr1	28200000	28400000	0.9016718030705001	HCT-116 DKO1
chr1	28400000	28600000	0.9195313866506176	HCT-116 DKO1
chr1	28600000	28800000	0.917125810086765	HCT-116 DKO1
chr1	28800000	29000000	0.8734609506398653	HCT-116 DKO1
chr1	29000000	29200000	0.8330581988060689	HCT-116 DKO1
chr1	29200000	29400000	0.738766058762414	HCT-116 DKO1
chr1	29400000	29600000	0.6004405954426456	HCT-116 DKO1
chr1	29600000	29800000	0.4810433723186012	HCT-116 DKO1
chr1	29800000	30000000	0.4025695931477516	HCT-116 DKO1
chr1	30000000	30200000	0.38974112588400256	HCT-116 DKO1
chr1	30200000	30400000	0.4447758264788653	HCT-116 DKO1
chr1	30400000	30600000	0.5939983885083889	HCT-116 DKO1
chr1	30600000	30800000	0.7080676214759771	HCT-116 DKO1
chr1	30800000	31000000	0.785967215162167	HCT-116 DKO1
chr1	31000000	31200000	0.8343703314772611	HCT-116 DKO1
chr1	31200000	31400000	0.8844417780952475	HCT-116 DKO1
chr1	31400000	31600000	0.9037592868655787	HCT-116 DKO1
chr1	31600000	31800000	0.8903546587814664	HCT-116 DKO1
chr1	31800000	32000000	0.9019451640436651	HCT-116 DKO1
chr1	32000000	32200000	0.905772217667976	HCT-116 DKO1
chr1	32200000	32400000	0.9230850793017634	HCT-116 DKO1
chr1	32400000	32600000	0.9317597341835347	HCT-116 DKO1
chr1	32600000	32800000	0.96173003724145	HCT-116 DKO1
chr1	32800000	33000000	0.9215459741861856	HCT-116 DKO1
chr1	33000000	33200000	0.9160787547228842	HCT-116 DKO1
chr1	33200000	33400000	0.8973990882232715	HCT-116 DKO1
chr1	33400000	33600000	0.8366036077913612	HCT-116 DKO1
chr1	33600000	33800000	0.7063559612286205	HCT-116 DKO1
chr1	33800000	34000000	0.5038668152204077	HCT-116 DKO1
chr1	34000000	34200000	0.41714884504988836	HCT-116 DKO1
chr1	34200000	34400000	0.41036480945816217	HCT-116 DKO1
chr1	34400000	34600000	0.4897635873625668	HCT-116 DKO1
chr1	34600000	34800000	0.6854430184149077	HCT-116 DKO1
chr1	34800000	35000000	0.7430313183103743	HCT-116 DKO1
chr1	35000000	35200000	0.8095226473831421	HCT-116 DKO1
chr1	35200000	35400000	0.8124384977635696	HCT-116 DKO1
chr1	35400000	35600000	0.8200379328175583	HCT-116 DKO1
chr1	35600000	35800000	0.8653247340385707	HCT-116 DKO1
chr1	35800000	36000000	0.9253730278104965	HCT-116 DKO1
chr1	36000000	36200000	0.9515245609099543	HCT-116 DKO1
chr1	36200000	36400000	0.9257921813026828	HCT-116 DKO1
chr1	36400000	36600000	0.8964514368496326	HCT-116 DKO1
chr1	36600000	36800000	0.7221479418117077	HCT-116 DKO1
chr1	36800000	37000000	0.6062321204241109	HCT-116 DKO1
chr1	37000000	37200000	0.590524378350703	HCT-116 DKO1
chr1	37200000	37400000	0.6864917305119591	HCT-116 DKO1
chr1	37400000	37600000	0.8084761655038205	HCT-116 DKO1
chr1	37600000	37800000	0.8142167459402869	HCT-116 DKO1
chr1	37800000	38000000	0.7927852456441458	HCT-116 DKO1
chr1	38000000	38200000	0.7570826458156177	HCT-116 DKO1
chr1	38200000	38400000	0.6514816451487825	HCT-116 DKO1
