chr	start	end	RT	group
chr1	800000	1000000	0.7118312414854253	MCF-7 Massey2022
chr1	1000000	1200000	0.7118312414854253	MCF-7 Massey2022
chr1	1200000	1400000	0.7162111813607961	MCF-7 Massey2022
chr1	1400000	1600000	0.7162111813607961	MCF-7 Massey2022
chr1	1600000	1800000	0.7162111813607961	MCF-7 Massey2022
chr1	1800000	2000000	0.7162111813607961	MCF-7 Massey2022
chr1	2000000	2200000	0.7124569471819069	MCF-7 Massey2022
chr1	2200000	2400000	0.7044934201357781	MCF-7 Massey2022
chr1	2400000	2600000	0.6934013646072417	MCF-7 Massey2022
chr1	2600000	2800000	0.6890214247318708	MCF-7 Massey2022
chr1	2800000	3000000	0.6890214247318708	MCF-7 Massey2022
chr1	3000000	3200000	0.6934013646072417	MCF-7 Massey2022
chr1	3200000	3400000	0.6934013646072417	MCF-7 Massey2022
chr1	3400000	3600000	0.7009098329650202	MCF-7 Massey2022
chr1	3600000	3800000	0.7009098329650202	MCF-7 Massey2022
chr1	3800000	4000000	0.6139367411540857	MCF-7 Massey2022
chr1	4000000	4200000	0.6058025670998257	MCF-7 Massey2022
chr1	4200000	4400000	0.5750178468329338	MCF-7 Massey2022
chr1	4400000	4600000	0.5592500632815988	MCF-7 Massey2022
chr1	4600000	4800000	0.5592500632815988	MCF-7 Massey2022
chr1	4800000	5000000	0.5592500632815988	MCF-7 Massey2022
chr1	5000000	5200000	0.5592500632815988	MCF-7 Massey2022
chr1	5200000	5400000	0.5592500632815988	MCF-7 Massey2022
chr1	5400000	5600000	0.6050076364536139	MCF-7 Massey2022
chr1	5600000	5800000	0.6257028523647409	MCF-7 Massey2022
chr1	5800000	6000000	0.7597460772519006	MCF-7 Massey2022
chr1	6000000	6200000	0.8166284132956771	MCF-7 Massey2022
chr1	6200000	6400000	0.8203826474745665	MCF-7 Massey2022
chr1	6400000	6600000	0.8466622867267912	MCF-7 Massey2022
chr1	6600000	6800000	0.851042226602162	MCF-7 Massey2022
chr1	6800000	7000000	0.8895060622349639	MCF-7 Massey2022
chr1	7000000	7200000	0.8913831793244085	MCF-7 Massey2022
chr1	7200000	7400000	0.8913831793244085	MCF-7 Massey2022
chr1	7400000	7600000	0.8957631191997792	MCF-7 Massey2022
chr1	7600000	7800000	0.9081065861212788	MCF-7 Massey2022
chr1	7800000	8000000	0.9275034627122066	MCF-7 Massey2022
chr1	8000000	8200000	0.9350119310699851	MCF-7 Massey2022
chr1	8200000	8400000	0.9423497524196324	MCF-7 Massey2022
chr1	8400000	8600000	0.9461039865985216	MCF-7 Massey2022
chr1	8600000	8800000	0.9496875737692795	MCF-7 Massey2022
chr1	8800000	9000000	0.9532711609400375	MCF-7 Massey2022
chr1	9000000	9200000	0.9532711609400375	MCF-7 Massey2022
chr1	9200000	9400000	0.9532711609400375	MCF-7 Massey2022
chr1	9400000	9600000	0.9532711609400375	MCF-7 Massey2022
chr1	9600000	9800000	0.9532711609400375	MCF-7 Massey2022
