chr	start	end	RT	group
chr1	800000	1000000	0.8891101457870112	T-47D_SA1044_S1
chr1	1000000	1200000	0.8865440186650214	T-47D_SA1044_S1
chr1	1200000	1400000	0.8865440186650214	T-47D_SA1044_S1
chr1	1400000	1600000	0.8905098514899146	T-47D_SA1044_S1
chr1	1600000	1800000	0.896326406299758	T-47D_SA1044_S1
chr1	1800000	2000000	0.8992346837046797	T-47D_SA1044_S1
chr1	2000000	2200000	0.8596094040626217	T-47D_SA1044_S1
chr1	2200000	2400000	0.8012014995137774	T-47D_SA1044_S1
chr1	2400000	2600000	0.7233506459325646	T-47D_SA1044_S1
chr1	2600000	2800000	0.6648601198665351	T-47D_SA1044_S1
chr1	2800000	3000000	0.6041517730744932	T-47D_SA1044_S1
chr1	3000000	3200000	0.5915492376531658	T-47D_SA1044_S1
chr1	3200000	3400000	0.6560795586284138	T-47D_SA1044_S1
chr1	3400000	3600000	0.7733910968292137	T-47D_SA1044_S1
chr1	3600000	3800000	0.8070794303078156	T-47D_SA1044_S1
chr1	3800000	4000000	0.77262074954041	T-47D_SA1044_S1
chr1	4000000	4200000	0.6454196240220718	T-47D_SA1044_S1
chr1	4200000	4400000	0.4185913901863369	T-47D_SA1044_S1
chr1	4400000	4600000	0.35409782074310303	T-47D_SA1044_S1
chr1	4600000	4800000	0.34635893863341555	T-47D_SA1044_S1
chr1	4800000	5000000	0.3405356046221621	T-47D_SA1044_S1
chr1	5000000	5200000	0.337022732115014	T-47D_SA1044_S1
chr1	5200000	5400000	0.3602064686968951	T-47D_SA1044_S1
chr1	5400000	5600000	0.41994559619658317	T-47D_SA1044_S1
chr1	5600000	5800000	0.5835056973775884	T-47D_SA1044_S1
chr1	5800000	6000000	0.6881305511832555	T-47D_SA1044_S1
chr1	6000000	6200000	0.8286799812461084	T-47D_SA1044_S1
chr1	6200000	6400000	0.8527277028362698	T-47D_SA1044_S1
chr1	6400000	6600000	0.8575748318444726	T-47D_SA1044_S1
chr1	6600000	6800000	0.8088076780437617	T-47D_SA1044_S1
chr1	6800000	7000000	0.6999572312146335	T-47D_SA1044_S1
chr1	7000000	7200000	0.6784873009606528	T-47D_SA1044_S1
chr1	7200000	7400000	0.6880230951440979	T-47D_SA1044_S1
chr1	7400000	7600000	0.6927704303197789	T-47D_SA1044_S1
chr1	7600000	7800000	0.7157826288945515	T-47D_SA1044_S1
chr1	7800000	8000000	0.7911775173766883	T-47D_SA1044_S1
chr1	8000000	8200000	0.8685002412598148	T-47D_SA1044_S1
chr1	8200000	8400000	0.8685002412598148	T-47D_SA1044_S1
chr1	8400000	8600000	0.8990371540114928	T-47D_SA1044_S1
chr1	8600000	8800000	0.9186239616855487	T-47D_SA1044_S1
chr1	8800000	9000000	0.9039503802334438	T-47D_SA1044_S1
chr1	9000000	9200000	0.8816535867957107	T-47D_SA1044_S1
chr1	9200000	9400000	0.8535402385481343	T-47D_SA1044_S1
chr1	9400000	9600000	0.8600838627092081	T-47D_SA1044_S1
chr1	9600000	9800000	0.8932866964153975	T-47D_SA1044_S1
chr1	9800000	10000000	0.9170376285555915	T-47D_SA1044_S1
chr1	10000000	10200000	0.9239117387854063	T-47D_SA1044_S1
chr1	10200000	10400000	0.91300569851695	T-47D_SA1044_S1
chr1	10400000	10600000	0.8885276970255257	T-47D_SA1044_S1
chr1	10600000	10800000	0.8866769750405755	T-47D_SA1044_S1
chr1	10800000	11000000	0.9121244023336403	T-47D_SA1044_S1
chr1	11000000	11200000	0.8985524411106725	T-47D_SA1044_S1
chr1	11200000	11400000	0.8643801816028426	T-47D_SA1044_S1
chr1	11400000	11600000	0.8534741413343861	T-47D_SA1044_S1
chr1	11600000	11800000	0.8731050138176076	T-47D_SA1044_S1
chr1	11800000	12000000	0.8885717618346912	T-47D_SA1044_S1
chr1	12000000	12200000	0.8689408893514697	T-47D_SA1044_S1
chr1	12200000	12400000	0.855853641029322	T-47D_SA1044_S1
chr1	12400000	12600000	0.7999140138056443	T-47D_SA1044_S1
chr1	12600000	12800000	0.6976116346477578	T-47D_SA1044_S1
chr1	12800000	13000000	0.5420461488439183	T-47D_SA1044_S1
chr1	13000000	13200000	0.5420461488439183	T-47D_SA1044_S1
chr1	13200000	13400000	0.5420461488439183	T-47D_SA1044_S1
chr1	13400000	13600000	0.42846081792489216	T-47D_SA1044_S1
chr1	13600000	13800000	0.4307418198111052	T-47D_SA1044_S1
chr1	13800000	14000000	0.42958039734095793	T-47D_SA1044_S1
chr1	14000000	14200000	0.4239496830865761	T-47D_SA1044_S1
chr1	14200000	14400000	0.43140293080828024	T-47D_SA1044_S1
chr1	14400000	14600000	0.4545528319116949	T-47D_SA1044_S1
chr1	14600000	14800000	0.4469578084436947	T-47D_SA1044_S1
chr1	14800000	15000000	0.5197475039436152	T-47D_SA1044_S1
chr1	15000000	15200000	0.6069351444055352	T-47D_SA1044_S1
chr1	15200000	15400000	0.7282285305824587	T-47D_SA1044_S1
chr1	15400000	15600000	0.8395342944987635	T-47D_SA1044_S1
chr1	15600000	15800000	0.8989116248492482	T-47D_SA1044_S1
